0	de quei franceis ont li plusur envie . fillol , fait il , 	puis dit , |dont plusors ont envie : filloeil dit il , jhesu te b beneïe ! 	0|1
1	or as ta lei cumplie . baptizé es ,	Or as mahom et ta loi degrepie , 	2
2	si as ta lei guerpie . pernez ma fillie belesent a amie ; 	si crois en dieu le fix sainte marie , Jhesu de gloire croiras mes an aïe . ber , |pren ma fille belissant l' echevie : 	3|4
3	pur lui te doins vercels e morie , auste e plesence , melan e pavie . sire serras de tute lumbardie . otinel l' ot , vers la terre se plie , les piez li baise , 	por li avrez mout riche manantie : sires serez de tote lanbardie .	5
4	forment s' umilie : sire , fait il , 	Otinel l' entent , vers la terre se plie . sire , dit il , 	6
5	ço ne refuis jo mie ,	ce ne refuse je mie 	7
6	si la pucele le comant e otrie . dit belisent jo me tienc pur garrie ; de bon mari , ne me deit peser mie . la meie amur n' iert ja vers vus guenchie . dist otinel : 	se la pucelle me veut , je bien l' otriee . dit belissant : |ge m' en tien a garnie de tel mari 	8|9
		doi je bien estre lie . 	10
7	quant vus estes m' amie , 	jamés m' amor n' ert de vus eslongnie . dit Otinel : |par foi , je vos afie , 	11|12
8	pur vostre amur frai chevalerie devant atille de m' espee furbie . mort sunt paien 	por vostre amor feraie chevalerie desus paien , la pugent haïe , au branc d' acier , par devant atilie . droiz emperere , je vos lais en balie la vostre file |qui a ma druerie , 	13|14
		Tant que vendrons plains de lombardie . les nosces erent es prez souz atylie , 	15
9	quant ai pris baptisterie . dreiz emperere 	quant j avrai mort l' empereor garsilie . ens	16
10	a vus coment m' amie treske vendruns as pleins de lumbardie . les noeces erent es prez de suz hatilie , 	ou palés 	17
11	quant averai mort l' emperur garsie . en sun paleis est li reis muntez , si grant barnage est apres lui alé ; li mangier est ja prest e conreez ; cil le mangerent 	s' en est li rois entrez ; son grant barnage est avec lui alez . le megier est tot prest|et conreaez : 	18|19
		Cil le mengierent 	20
12	a ki il fu donez .	a qui il fu donnez . aprés mengier 	21
13|14	aprés supers est li vins aportez enz en la chambre u li reis est entrez . dormir s' en vont ,|si ont les uis fermez desk' al demain 	si est checuns levez , li rois meïsme est en sa chebre alez . dormir se vont , sil ont les huis fremez jusqu au matin 	22
15	que li soleil est levez . li reis se leve , ses baruns at mandé .	que le jor paru cler . li rois se leve , |s' a sé homes mandez	23|24
