0|1	de quei franceis ont li plusur envie . fillol , fait il , |or as ta lei cumplie . baptizé es ,	de quei franceis unt li plusur envie . est la lei empli . ptize avez vostre lei gerpie . prenez mea filhe belissent a amie ; 	0
2|3	si as ta lei guerpie . pernez ma fillie belesent a amie ; |pur lui te doins vercels e morie , auste e plesence , melan e pavie . sire serras de tute lumbardie . otinel l' ot , vers la terre se plie , les piez li baise , 	pur li vos doins verceles e inorie , chaste e placence , mela e pavie . sire serez de tute lumbardie . 	1
4	forment s' umilie : sire , fait il , 	otinel l' ot , vers la terre se plie , les piez lui beise , forment se humilie : sire fait il ço 	2
5	ço ne refuis jo mie ,	ne rufs jo mie , 	3
6	si la pucele le comant e otrie . dit belisent jo me tienc pur garrie ; de bon mari , ne me deit peser mie . la meie amur n' iert ja vers vus guenchie . dist otinel : 	si la pucele cummande e jo l otrie . dist belissant : |e jo me tient pur garie ; de bon marri ne me deit peser mie . la mei amur n' ert ja vers lui guenchie . dit otinel : 	4|5
7	quant vus estes m' amie , 	quant vus estes m' amie , 	6
8	pur vostre amur frai chevalerie devant atille de m' espee furbie . mort sunt paien 	pur la vostre amur |frai jo chevalerie devant atilie a m' espee forbiee . mort sunt paen 	7|8
9	quant ai pris baptisterie . dreiz emperere 	quant ai baptesmerie . dreiz empereres 	9
10	a vus coment m' amie treske vendruns as pleins de lumbardie . les noeces erent es prez de suz hatilie , 	a vus commant m' amie treske nos venums al pleins de lumbadie . les noces serrunt aprez toz atelie , 	10
		quant averai mort l' emperur garsie . 	11
11	quant averai mort l' emperur garsie . en sun paleis est li reis muntez , si grant barnage est apres lui alé ; li mangier est ja prest e conreez ; cil le mangerent 	den sun palais est li reis muntez , cis granz barnages |apres lui est alez ; li mangir est prest e cunrez 	12|13
		; cil le mangerent 	14
12	a ki il fu donez .	a qui il fud donez . 	15
13	aprés supers est li vins aportez enz en la chambre u li reis est entrez . dormir s' en vont ,	apres li supers est li vins aportez enz en la chambre |u li reis est entrez . dormir s' en unt ; 	16|17
14	si ont les uis fermez desk' al demain 	si unt les hus fermez |desque al deman	18|19
15	que li soleil est levez . li reis se leve , ses baruns at mandé .	que li soleil est levez . li rei se live si ad ses baruns mandez ;	20
