A	B
0	0
1	1
2	2
3	3
4	4
5	5
6	6
7	7
8	8
9	9
10	10
11	11
12	12
13	13
14	14
15	15
16	16
17	17
18	18
19	19
20	20
21	21
22	22
23	23
24	24
25	25
26	26
27	27
28	28
29	29
30	30
31	31
32	32
33	33
34	34
35	35
36	36
37	37
38	38
39	39
40	40
41	41
42	42
43	43
44	44
45	45
46	46
47	47
48	48
49	49
50	50
51	51
52	52
53	53
54	54
55	55
56	56
57	57
58	58
59	59
60	60
61	61
62	62
63	63
64	64
65	65
66	66
67	67
68	68
69	69
70	70
71	71
72	72
73	73
74	74
75	75
76	76
77	77
78	78
79	79
80	80
81|82	81
83	
84|85	82
86	83|84
87	85
88	86|87
89	
90	88
91	89
92|93	90
94	91
95	92
96	93
97	94
98	95
99	96
100|101	97
102	98
103	99
104	100
105	101
106	102
107	103
108	104
109	105
110	106
111	107
112	108
113	109
114	110|111
115	112
116	113
117	114
118	115
119	116
120	117
121	118
122	119
123	120
124|125	121
126	122
127|128	123
129	124
130|131	125
132	126|127
133	128
134	129
135	130
136	131
137	132
138	133
139	134|135
140	136
141	137
142	138
143	139
144	140
145	141
146	142
147	143|144
148	145
149	146
150	147
151	148
152	149
153	150
154	151
155	152
156	153
157	154
