A	B
0	0
1	1
2|3	2
4|5	3
6	4
7	5
8	6
9	7
10	8
11|12	9
13|14	10
15|16	11
17|18	12
19	13
20|21	14
22	15
23|24	16
25	17
26	18|19
27	20|21
28	22
29|30	23
31	24
32	25|26
33|34	27
35|36	28
37|38	29
39	30
40|41	31
42	32|33
43	34|35
44|45	36
46	37
47	38|39
48	40
49|50	41
51|52	42
53	43|44
54	45
55|56	46
57	47
58	48|49
59	50
60|61	51
62	52
63	53
64	54
65	55
66|67	56
68	57
69|70	58
71	59
72	60
73	61
74	62
75	63
76	64|65
77	66
78	67
79|80	68
81	69
82	70
83	71
84|85	72
86|87	73
88	74
89|90	75
91|92	76
93	77
94	78
95	79
96|97	80
98	81
99|100	82
101	83
102	84
103	85
104	86
105	87
106	88|89
107	90
108|109	91
110|111	92
112|113	93
114|115	94
116|117	95
118	96
119	97
120	98
121	99|100
122|123	101
124|125	102
126|127	103
128|129	104
130	105|106
131	107
132	108
133	109
134	110|111
135	112
136	113|114
137	115|116
138	117|118
139	119|120
140	121
141	122|123
142	124|125
143	126|127
	128
	129
144	130|131
145	132|133
146	134|135
147	136|137
148	138|139
149	140|141
	142
	143
	144
	145
	146
	147
	148
	149
	150
	151
	152
	153
	154
	155
	156
	157
	158
	159
	160
	161
	162
	163
	164
	165
	166
	167
	168
	169
	170
	171
	172
	173
	174
	175
	176
	177
	178
	179
	180
	181
	182
	183
	184
	185
	186
	187
	188
	189
	190
150	191|192
	193
	194
151	195|196
	197
	198
152	199|200
	201
153	202|203
	204
	205
	206
154	207|208
	209
	210
	211
	212
	213
	214
	215
	216
	217
	218
	219
	220
	221
	222
	223
	224
	225
	226
	227
	228
	229
	230
	231
	232
	233
	234
	235
	236
	237
	238
	239
	240
	241
	242
	243
	244
	245
	246
	247
	248
	249
	250
	251
	252
	253
	254
	255
	256
	257
	258
	259
	260
	261
	262
	263
	264
	265
	266
	267
	268
	269
	270
	271
	272
	273
	274
	275
	276
	277
	278
	279
	280
	281
	282
	283
	284
	285
	286
	287
	288
	289
	290
	291
	292
	293
	294
	295
	296
	297
155	298|299
	300
	301
	302
	303
	304
	305
	306
	307
	308
	309
	310
	311
	312
156	313|314
	315
	316
	317
	318
	319
	320
	321
	322
	323
	324
	325
	326
	327
	328
	329
	330
	331
	332
	333
	334
	335
	336
	337
	338
	339
	340
	341
	342
	343
	344
	345
	346
	347
	348
	349
	350
	351
	352
	353
	354
	355
	356
	357
	358
	359
	360
	361
	362
	363
	364
	365
	366
	367
	368
	369
	370
	371
	372
	373
	374
	375
	376
	377
	378
	379
	380
	381
	382
	383
	384
	385
	386
	387
	388
	389
157	390|391
	392
	393
	394
	395
	396
	397
	398
	399
	400
