A	B
0	0
1	1
2|3	2
4	3
5|6	4
7|8	5
9	6
10	7
11	8
12	9
13|14	10
15|16	11
17|18	12
19	13
20	14
21|22	15
23	
24|25	16
26|27	17
28|29	18
30|31	19
32|33	20
34	
35|36	21
37|38	22
39	23
40	24
41|42	25
43	26
44|45	27
46	28
47	29|30
48	31
49|50	32
51	33|34
52	35|36
53	37|38
54	39|40
55	41|42
56	43
57	44
58|59	45
60|61	46
62	47
63|64	48
65	49
66|67	50
68	51
69|70	52
71|72	53
73|74	54
75|76	55
77|78	56
79|80	57
81|82	58
83|84	59
85|86	60
87	61
88|89	62
90|91	63
92|93	64
94	
95	
96|97	65
98|99	66
100|101	67
102	
103|104	68
105	69
106	70
107|108	71
109	72
110	73
111	74
112|113	75
114	76
115	77
116|117	78
118	
119|120	79
121|122	80
123|124	81
125|126	82
127|128	83
129	84
130|131	85
132|133	86
134	87
135	88
136	89
137	90
138	91
139	92|93
140|141	94
142|143	95
144|145	96
146|147	97
148	98|99
149	100|101
150	102|103
151	104
152|153	105
154|155	106
156|157	107
