A	B
0|1	0
2|3	1
4	2|3
5|6	4
7	5
8|9	6
10|11	7
12	
13	
14|15	8
16	9
17|18	10
19|20	11
21|22	12
23|24	13
25|26	14
27|28	15
29	16
30	17
31	18
32|33	19
34	20
35|36	21
37	22
38|39	23
40|41	24
42	
43|44	25
45	
46|47	26
48|49	27
50	
51|52	28
53|54	29
55	
56|57	30
58	
59|60	31
61	
62	
63	
64	
65	
66	
67	
68	
69	
70	
71	
72	
73	
74	
75|76	32
77	
78	
79	33
80	
81	
82	
83	
84	
85	
86	
87|88	34
89|90	35
91	
92	
93|94	36
95|96	37
97|98	38
99|100	39
101|102	40
103|104	41
105	
106|107	42
108	
109	
110|111	43
112	
113|114	44
115|116	45
117|118	46
119|120	47
121|122	48
123	
124|125	49
126|127	50
128	51
129|130	52
131	53
132|133	54
134|135	55
136	56
137|138	57
139|140	58
141	59
142|143	60
144|145	61
146|147	62
148|149	63
150|151	64
152|153	65
154|155	66
156|157	67
