A	B
0|1	0
2|3	1
4	2
5	3
6	4|5
7|8	6
9|10	7
11|12	8
13|14	9
15|16	10
17|18	11
19	12
20|21	13
22|23	14
24|25	15
26|27	16
28	17|18
29|30	19
31|32	20
33	21
34|35	22
36	23
37|38	24
39	25
40|41	26
42|43	27
44	28|29
45	30|31
46	32
47	33|34
48	35
49|50	36
51	37
52	38
53	39
54	40
55	41|42
56	43|44
57	45
58|59	46
60|61	47
62	48
63	49
64	50
65	51
66	52
67	53
68|69	54
70|71	55
72	56
73	57|58
74	59|60
75|76	61
77	62
78	63
79	64
80|81	65
82	66
83	67
84|85	68
86|87	69
88	70
89|90	71
91	72
92	73
93	74
94|95	75
96|97	76
98|99	77
100	78
101|102	79
103	80|81
104|105	82
106|107	83
108|109	84
110|111	85
112|113	86
114|115	87
116	88
117	89
118|119	90
120|121	91
122|123	92
124|125	93
126	94
127|128	95
129	96
130|131	97
132|133	98
134|135	99
136	100
137|138	101
139	102|103
140	104|105
141|142	106
143	107
144	108
145|146	109
147	110|111
148	112
149	113
150	114|115
151	116|117
152	118|119
153	120|121
	122
154	123|124
155	125|126
	127
	128
	129
	130
	131
	132
	133
	134
	135
	136
	137
	138
	139
	140
	141
	142
	143
	144
	145
	146
	147
	148
	149
	150
	151
	152
	153
	154
	155
	156
	157
	158
	159
	160
	161
	162
	163
	164
	165
	166
	167
	168
	169
	170
	171
	172
	173
	174
	175
	176
	177
	178
156	179|180
	181
	182
	183
	184
	185
	186
	187
	188
	189
	190
	191
	192
	193
	194
	195
	196
	197
	198
	199
	200
	201
	202
	203
	204
	205
	206
	207
	208
	209
	210
	211
	212
	213
	214
	215
	216
	217
	218
	219
	220
	221
	222
	223
	224
	225
	226
	227
	228
	229
	230
	231
	232
	233
	234
	235
	236
	237
	238
	239
	240
	241
	242
	243
	244
	245
	246
	247
	248
	249
	250
	251
	252
	253
	254
	255
	256
	257
	258
	259
	260
	261
	262
	263
	264
	265
	266
	267
	268
	269
	270
	271
	272
	273
	274
	275
	276
	277
	278
	279
	280
	281
	282
	283
	284
	285
	286
	287
	288
	289
	290
	291
	292
	293
	294
	295
	296
	297
	298
	299
	300
	301
	302
	303
	304
	305
	306
	307
	308
	309
	310
	311
	312
	313
	314
	315
	316
	317
	318
	319
	320
	321
	322
	323
	324
	325
	326
	327
	328
	329
	330
	331
	332
	333
	334
	335
	336
	337
	338
	339
	340
	341
	342
	343
	344
	345
	346
	347
	348
	349
	350
	351
	352
	353
157	354|355
	356
	357
	358
	359
	360
