A	B
0	0
1	
2|3	1
4	2
5|6	3
7	4
8|9	5
10|11	6
12|13	7
14|15	8
16|17	9
18	10
19|20	11
21	
22|23	12
24|25	13
26	14
27	15|16
28	17
29|30	18
31|32	19
33	20
34	21
35	22
36	23
37	24
38	25
39|40	26
41|42	27
43	
44|45	28
46|47	29
48|49	30
50	31|32
51	33|34
52	35|36
53	37
54	38
55	39|40
	41
56	42|43
57	44
58	45|46
59	47
60|61	48
62	49
63	50|51
64	52
65	53
66|67	54
68|69	55
70|71	56
72	57
73|74	58
75	59
76|77	60
78	61
79|80	62
81|82	63
83	
84	
85|86	64
87|88	65
89	
90|91	66
92|93	67
94	68
95|96	69
97	70
98|99	71
100	72
101	73
102	74
103|104	75
105|106	76
107	
108	
109	77
110	78
111	79|80
112	81
113|114	82
115	83
116|117	84
118	85
119	86
120	87
121	88
122|123	89
124|125	90
126|127	91
128	
129|130	92
131	93
132|133	94
134|135	95
136	96
137|138	97
139	98|99
140	100
141	101
142|143	102
144	103
145|146	104
147	105|106
	107
148|149	108
150	109
151	110
152	
153|154	111
155|156	112
157	113
