A	B
0	
1	
2	
3	
4	
5	
6|7	0
8	
9	
10|11	1
12	
13|14	2
15	
16	
17	
18	
19	
20|21	3
22|23	4
24|25	5
26	
27|28	6
29	
30|31	7
32|33	8
34|35	9
36|37	10
38|39	11
40	
41|42	12
43|44	13
45|46	14
47|48	15
49	
50|51	16
52|53	17
54	
55|56	18
57|58	19
59|60	20
61|62	21
63	
64|65	22
66|67	23
68	
69|70	24
71	
72|73	25
74	
75	
76	
77	
78|79	26
80|81	27
82|83	28
84|85	29
86	
87|88	30
89|90	31
91|92	32
93|94	33
95	
96	
97|98	34
99|100	35
101	
102	
103|104	36
105	37
106	
107|108	38
109	
110	
111	
112|113	39
114	
115|116	40
117|118	41
119	
120|121	42
122|123	43
124	
125|126	44
127|128	45
129|130	46
131|132	47
133|134	48
135|136	49
137	50
138|139	51
140	52
141|142	53
143|144	54
145|146	55
147|148	56
149	57
150	58
151	59
152|153	60
154|155	61
156|157	62
