A	B
0|1	0
2|3	1
4	
5	
6	
7|8	2
9|10	3
11|12	4
13	
14|15	5
16|17	6
18|19	7
20	
21	
22|23	8
24	
25|26	9
27	
28|29	10
30|31	11
32|33	12
34|35	13
36	
37|38	14
39	
40|41	15
42|43	16
44|45	17
46	
47	
48|49	18
50|51	19
52|53	20
54|55	21
56|57	22
58|59	23
60|61	24
62|63	25
64	26
65|66	27
67	28
68|69	29
70|71	30
72|73	31
74|75	32
76	33|34
77|78	35
79	36
80|81	37
82|83	38
84|85	39
86|87	40
88|89	41
90|91	42
92|93	43
94|95	44
96|97	45
98|99	46
100	47|48
101|102	49
103	50
104|105	51
106|107	52
108|109	53
110	54
111|112	55
113|114	56
115|116	57
117|118	58
119|120	59
121|122	60
123|124	61
125	62|63
126	64|65
127	66
128	67
129	68|69
130	70|71
131	72
132	73|74
133|134	75
135	76|77
136|137	78
138	79
139	80|81
140	82|83
141	84|85
142|143	86
144|145	87
146|147	88
148	89
149	90
150	91|92
151	93
152	94|95
153|154	96
155	97|98
	99
156	100|101
	102
157	103|104
