A	B
0	0
1	1
2	2
3	3
4	4
5	5|6
6	7
7	8
8	9
9	10|11
10	12
11|12	13
13|14	14
15|16	15
17|18	16
19|20	17
21	18
22|23	19
24	20
25	21|22
26|27	23
28	24|25
29	26|27
30	28
31|32	29
33	30
34	31
35|36	32
37	33
38	34
39	35
40	36
41|42	37
	38
43|44	39
45|46	40
47|48	41
49|50	42
51	
52	
53|54	43
55|56	44
57|58	45
59	46
60	47
61|62	48
63	49
64|65	50
66|67	51
68|69	52
70	53
71	54
72|73	55
74	
75	
76	56
77	57
78	58|59
79	60
80|81	61
82|83	62
84|85	63
86	64
87	65
88	66
89	67
90	
91|92	68
93	
94|95	69
96	70
97|98	71
99	72
100|101	73
102|103	74
104	
105	
106|107	75
108	76|77
109	78|79
110|111	80
112|113	81
114	82
115	83
116|117	84
118	
119|120	85
121	86|87
	88
122	89
123|124	90
125|126	91
127	
128	92
129	93|94
130|131	95
132	96
133|134	97
135|136	98
137	99
138	
139|140	100
141	101
142	102
143	103
144	104
145|146	105
147|148	106
149	107
150|151	108
152|153	109
154	110
155|156	111
157|158	112
159|160	113
161|162	114
163|164	115
165|166	116
167|168	117
169	118
170	
171|172	119
173	
174|175	120
176|177	121
178	122
179|180	123
181	124
182	125
183|184	126
185	
186|187	127
188|189	128
190	129
191	130
192	131
193	132
194|195	133
196	134
197	135
198	136
199	137
200|201	138
202	139
203|204	140
205|206	141
207|208	142
209|210	143
211	144
212	145
213|214	146
215	
216|217	147
218|219	148
