A	B
0	0
1	1
2	2
3	3
4	4
5	5|6
6|7	7
8	8
9	9
10	10
11|12	11
13|14	12
15|16	13
17|18	14
19|20	15
21	16
22	17|18
23|24	19
25|26	20
27	21
28	22
29|30	23
31	24
32	25
33	26
34	27
35	28|29
36	30
37	31
38	32
39	33
40|41	34
42|43	35
44	
45|46	36
47|48	37
49|50	38
51|52	39
53|54	40
55|56	41
57|58	42
59	43|44
60	45
61|62	46
63	47
64	48
65	49
66|67	50
68|69	51
70	52
71|72	53
73	
74|75	54
76	55
77|78	56
79|80	57
81|82	58
83	59
84|85	60
86	61
87	62
88	63
89	64|65
90|91	66
92	67
93	68
94	69|70
95	71
96	72|73
97|98	74
99|100	75
101|102	76
103	77|78
104|105	79
106|107	80
108|109	81
110	82
111	83
112	84
113|114	85
115	86
116	87
117|118	88
119	89|90
120	91
121	92
122	93
123|124	94
125	95
126	96
127	
128	97|98
129	99|100
130	101
131	102
132	103|104
133	105
134	106|107
135	108|109
	110
136	111|112
137	113
138|139	114
140	115
141	116|117
142	118|119
143	120
144|145	121
146	122
147	123
148	124
149|150	125
151|152	126
153|154	127
155	128
156	129
157|158	130
159	131
160	132
161	133
162	134
163|164	135
165|166	136
167	137|138
168	139
169|170	140
171	
172|173	141
174|175	142
176|177	143
178	144
179	145
180	146
181|182	147
183|184	148
185|186	149
187	150
188	
189|190	151
191	152
192	153
193|194	154
195	
196	
197	
198|199	155
200|201	156
202	
203	157
204	158
205	159
206	
207|208	160
209	161
210|211	162
212	163
213|214	164
215|216	165
217|218	166
219	167
