A	B
0|1	0
2|3	1
4|5	2
6|7	3
8	4
9	5
10|11	6
12	7
13	8
14	9|10
15	11
16|17	12
18|19	13
20|21	14
22|23	15
24	16
25|26	17
27	18
28	19
29|30	20
31	21
32	22
33	23
34|35	24
36	25|26
37	27
38	28
39|40	29
41|42	30
43	31
44	32|33
45|46	34
47|48	35
49|50	36
51	37
52|53	38
54	39|40
55	41|42
56	43
57	44
58	45
59	46
60|61	47
62	48
63|64	49
65	50
66|67	51
68|69	52
70	53
71	54
72	55|56
73	57|58
74	59|60
75	61|62
76	63
77	64
78|79	65
80	66
81|82	67
83	68|69
84	70
85|86	71
87	72|73
88	74|75
89|90	76
91	77
92	78
93	79|80
94|95	81
96|97	82
98|99	83
100	84
101	85|86
102	87|88
103|104	89
105|106	90
107	91|92
108	93|94
109|110	95
111	96|97
112	98
113	99
114	100|101
115	102
116	103|104
117|118	105
119	106
120|121	107
122	108
123|124	109
125	110
126|127	111
128	112
129	113|114
130	115
131	116
132	117|118
133	119
134	120
135	121
136	122
137	123|124
138	125
139|140	126
141	127
142	128
143	129
144|145	130
146	131
147	132|133
148	134
149	135
150	136
151	137
152	138
153	139
154	140
155	141
156	142
157	143
