0	Postquam auxiliante Deo compleuimus primam partem huius primi libri, 	Iiençant la aĩuda diuina hauem acabada la primera part de aquest primer libre. 	0
1	in quo agitur de regimine sui, 	lo qual tracta del regiment de simateix 	1
2|3	ostendentes in quo Reges |et Principes suam felicitatem debeant ponere, 	mostrãt en q̃ los Reys e Princeps deuen posar sa felicitat. 	2
4|5	quia non decet eos suum finem ponere in diuitiis, |nec in ciuili potentia, 	Car no la ḋuen posar en riquesas 	3
6	nec in aliquibus talibus, 	ne en ꝑotẽcia ciuilne en altras cosas tals. 	4
7	sed omnibus his 	ans de aquellas segons damunt es prouat deuen xsar 	5
8	(ut supra plenius probabatur) debent uti tanquam organis ad felicitatem. 	com de instruments a felicitat. 	6
9	Suam autem felicitatem ponere debent in actu prudentiae, 	Mas la sua felicitat deue posar en obra de prudencia 	7
10	prout talis actus est imperatus a charitate: 	segons es manada per caritat. 	8
11|12	nam tunc Reges habent felicitatem suo statui debitam, |et condignam, 	car lauors los Reys han felicitat condigna a son 	9
13|14	quando instigante Dei dilectione |secundum prudentiam regitiuam, 	stat:quant in¬stigant la amor diuina segons prudencia regitius 	10
15|16	gentem sibi commissam |secundum legem, 	ley:ereo regexen lo poble quils es comanat sanctament 	11
17|18	et rationem sancte, |et iuste regant. 	e iusta segõsdamunt bauem dit. 	12
19	Principaliter ergo Regum felicitas ponenda est in ipso Deo, 	Donchs principalment felicitat deu es¬ler posada en 	13
20|21	et ex cognitione et dilectione eius studium suum, |et vitam suam ad hoc ordinare debet, 	deu.ço es que per conaxença e dileccio de aq̃lllo leu studi e xida deuen ordenar a amar 	14
22	ut cognoscentes, 	e coneixer deu 	15
23|24	et diligentes Deum, |tanquam veri ministri eius 	e coa utaders ministres seꝰ segõs orde de rao regescan lo 	16
25	secundum ordinem rationis dirigant Populum sibi commissum. 	poble.did. 	17
26	His ergo itaque peractis, 	quils es |comanat.¶ Aquestas cosas axi cõplidas e mostraten 	18|19
