0	Postquam auxiliante Deo compleuimus primam partem huius primi libri, 	Epus q̃ deus auidãt hauẽ cõplida la pͥmã ꝑtida da q̃st pͥmer libre 	0
1	in quo agitur de regimine sui, 	en lo qͥl es tractar del uirtuts. 	1
2|3	ostendentes in quo Reges |et Principes suam felicitatem debeant ponere, 	regimẽt desimatex demostrãt en qͣ̈l cosa los Reys els pͥnceps degen posar la sua benauẽturança. 	2
4	quia non decet eos suum finem ponere in diuitiis, 	Quar nos ꝑtãy dells posar la sua 	3
5|6	nec in ciuili potentia, |nec in aliquibus talibus, 	si en riq̃hes ne enpotencia ciuil/ 	4
7|8	sed omnibus his |(ut supra plenius probabatur) debent uti tanquam organis ad felicitatem. 	ne en alc̾s coses aytals ans de cots coses aytals segons q̃ damũt era ꝓuat deuẽ usar axi cõ dorgues o de instrumens abenauẽturanca/ 	5
9	Suam autem felicitatem ponere debent in actu prudentiae, 	Mas la sua benauẽturãça deuẽ posar en fer o en obra deprudẽcia 	6
10	prout talis actus est imperatus a charitate: 	o desauieasegons q̃ tal fer oral obra es manada ꝑ caritat/ 	7
11	nam tunc Reges habent felicitatem suo statui debitam, 	Quar lauos los Reys han benauẽturãca deguda 	8
12	et condignam, 	e cõdigͤal lur estament 	9
13|14	quando instigante Dei dilectione |secundum prudentiam regitiuam, 	quan ells ꝑ instigacio dela amor de deusegõs sauiea 	10
15|16	gentem sibi commissam |secundum legem, 	o segõs pruden̾cia regitiua esegons ley 	11
17|18	et rationem sancte, |et iuste regant. 	e segons raho regexẽ lagent quils ͤ comanada santamẽt eiustament. 	12
19	Principaliter ergo Regum felicitas ponenda est in ipso Deo, 	Donq̃s pͥncipalment la benauenturança dels Reys deu esser posada en deu axi q̃ 	13
20	et ex cognitione et dilectione eius studium suum, 	per couexença e ꝑ dilectio dell lur estudi 	14
21|22	et vitam suam ad hoc ordinare debet, |ut cognoscentes, 	e lur uida studien ordonar a aço q̃ ells conexent 	15
23	et diligentes Deum, 		
24|25	tanquam veri ministri eius |secundum ordinem rationis dirigant Populum sibi commissum. 	e amant deu axi cõ au̾rades ministres o au̾tades ẜutdos seus segõs orde de raho endreçen o regesq̃n lo poble qͥls comanar/ aq̃stes coses donq̃s axi cõplides/. 	16
26|27	His ergo itaque peractis, |et ostenso in quo Reges ponere debeant suum finem secundum ordinem superius praetaxatum, 	E de mostrar en qual cosa los Reys deuen posar la sua 	17
