0|1	Postquam auxiliante Deo compleuimus primam partem huius primi libri, |in quo agitur de regimine sui, 	A ꝑui chenoi auiamo iuseguiato a laude didio nella prima ꝑte di questo liro 	0
2|3	ostendentes in quo Reges |et Principes suam felicitatem debeant ponere, 	che li Re elli principi sono ingraçia 	1
4	quia non decet eos suum finem ponere in diuitiis, 	quando eglino amano dio. |Eꝑ lamore didio 	2|3
5|6	nec in ciuili potentia, |nec in aliquibus talibus, 	sichome buoni sergienti e leaglieglio attendono aghouernare samamẽte lopoplo sicondo leggie eragione. 	4
7	sed omnibus his 	Noi diremo 	5
8|9	(ut supra plenius probabatur) debent uti tanquam organis ad felicitatem. |Suam autem felicitatem ponere debent in actu prudentiae, 	che uirtu li Re elli principi de bono auere 	6
10|11	prout talis actus est imperatus a charitate: |nam tunc Reges habent felicitatem suo statui debitam, 	Et imꝑo chele uirtu fano lanima ꝑfetta. 	7
12	et condignam, 		
13	quando instigante Dei dilectione 		
14|15	secundum prudentiam regitiuam, |gentem sibi commissam 	Econuiene p̾meramente sapere 	8
16	secundum legem, 	quante potençe lamina a 	9
17|18	et rationem sancte, |et iuste regant. 	e chomelouirtu delle buone huopredebono essare fatte. 	10
19|20	Principaliter ergo Regum felicitas ponenda est in ipso Deo, |et ex cognitione et dilectione eius studium suum, 	Et ap̃sso noi diremo 	11
21|22	et vitam suam ad hoc ordinare debet, |ut cognoscentes, 	chomesi de diuisare le uirtu delle buone huopre 	12
23|24	et diligentes Deum, |tanquam veri ministri eius 	e quante ne sonno. 	13
25|26	secundum ordinem rationis dirigant Populum sibi commissum. |His ergo itaque peractis, 	Epoi noi diremo di craschuna 	14
27|28	et ostenso in quo Reges ponere debeant suum finem secundum ordinem superius praetaxatum, |restat ostendere quibus virtutibus Reges pollere debeant. 	quale ella e etchome li Rs elli principi debono auere tale uirtu. 	15
29	Virtutes autem quaedam sunt quidam ornatus, 	Et diremo le 	16
30	et quaedam perfectiones animae. 	quale sonno pui principale dellaltre. 	17
31	Oportet ergo prius ostendere, 	Donde luomo de sapere 	18
32|33	quot sunt potentiae animae, |et in quibus potentiis habent esse virtutes. 	che lauima sia .iiii. manie¬re di potencie. 	19
34	Consequenter autem manifestabitur, 	⟦Luuqͥ soeͣ naturale fich⟧. 	20
35|36	quomodo virtutes sunt distinguendae. Postea vero ostendemus, |quot sunt numero huiusmodi virtutes, 	Lune sonno naturagli	21
37	et quae illarum sunt principales, 	si chome la uirtuche notriscie. ella uirtu 	22
38|39	et secundariae. |Deinde autem declarabitur singulariter, 	cho acrescie. ela uirtu 	23
40|41	quae sit unaquaeque illarum virtutum, |et quomodo decet Reges, 	che ingenera . Laltre potençie delamma sono coquoscienti. 	24
42	et Principes tales virtutes habere. 		
43|44	Potentiae autem animae sic distingui possunt, |quia potentiae animae quaedam sunt naturales, 	Sichome el uedere il ghustare	25
45	quaedam cognitiuae sensitiuae, 		
46|47	quaedam appetitiuae, |et quaedam intellectiuae. Naturales potentiae sunt illae, in quibus communicamus cum vegetabilibus, et plantis, 	e lo tocchare eglialtasençi delluomo. 	26
48|49	ut potentia nutritiua, |augmentatiua, 	¶Unaltra potença dellamina 	27
50	generatiua, 		
51|52	et talia quae etiam ipsis arboribus competunt. Potentiae vero cognitiuae sensitiuae, sunt visus, |gustus, auditus, et talia, 	e chesi chiama lontellecto: Lal.¬tre potençe dellanima sonno dette potençe desiderose. 	28
53|54	in quibus communicamus cum brutis. Appetitiuae vero distinguuntur: |nam quidam appetitus est in homine, 	Donde luna sie nominatauolonta 	29
55	in quo non communicat cum brutis, ut est appetitus sequens intellectum: 		
56|57	quidam vero in quo communicat cum eis, |ut appetitus sequens sensum. 	che e desidero delintellecto. 	30
58	Appetitus autem sequens sensum potest nominari sensualitas: 		
59|60	sequens intellectum nominatur voluntas: |secundum quem modum loquendi bruta habent sensualitatem, 	elaltre sie detta desidero delli .u. sensi deluomo 	31
61	et appetitum sensitiuum, 		
62	sed non habent voluntatem, 		
63	et intellectum. Virtutes ergo, 		
64	de quibus loqui intendimus, 		
65	quae sunt quidam habitus laudabiles, 		
66	vel erit in potentiis naturalibus, 		
67	vel in ipsis sensibus, 		
68	vel in appetitu sensitiuo, 		
69	vel in appetitu intellectiuo, 		
70	vel in ipso intellectu, 		
71	vel in omnibus his, 		
72	vel in aliquibus horum. In potentiis autem naturalibus esse non possunt, 		
73	quod tripliciter patet. Primo, 		
74	quia ex naturalibus nec laudamur, 		
75|76	nec vituperamur nullus enim dicitur bonus homo ex eo quod habeat digestiuam bonam, |vel bonam augmentatiuam. Secundo, 	E potiamo prouare ꝑ .iij. 	32
77	in talibus non habent esse virtutes: 		
78	quia virtus est aliquid 		
79	secundum rationem, 	ragioni 	33
80	ut probari habet 2 Ethic’. Potentiae autem naturales 		
81	(secundum quod huiusmodi) 		
82	rationi non obediunt: 		
83	nam siue quis ratiocinetur, 		
84	siue velit, 		
85	non propter hoc (per se loquendo) 		
86	potentiae naturales variantur in actibus suis, 		
87|88	sed semper secundum modum sibi possibilem suas actiones efficiunt. Tertio, |in talibus potentiis non sunt habitus, 	chele uertu delle buone huopre 	34
89|90	et virtutes, |qui habitus sunt ad determinandum potentias, 	che noi ac¬quisciamo ꝑ 	35
91	ut bene vel male agant, 		
92	ut per habitus vitiosos determinatur potentia ad agendum male, 		
93|94	per virtuosos ad agendum bene: |cum ergo natura sit determinata ad unum, 	acchostumare a 	36
95|96	et potentiae naturales sufficienter determinentur ad agendum, |ex natura sua secundum eas nec sumus vitiosi, 	choscumi del ben fare nõ sonno gia potençie delanima naturagli ne de .u. sensi delluomõ ¶La primiera ragione sie ꝑo cheꝑle uertu delle buone huopre/ 	37
97|98	nec virtuosi, |ut hic de vitio, 	esi de lodare luomo 	38
99|100	et virtute loquimur: |quare in eis huiusmodi virtutes esse non possunt. 	quando egli la/.	39
101|102	His ergo tribus rationibus, |per quas probatum est virtutes non esse in potentiis naturalibus, 	Ebiasimare¬quando egli a il contraro 	40
103|104	probari potest eas non esse in cognitione sensitiua, |siue in potentiis sensitiuis. 	Ma ꝑlo bene notrire. ne ꝑbene essare cresento. neꝑ ben uedere. ne ꝑ sentire. uermio nõ de essare principalimente ne biasimato ne¬ lodato. 	41
105	Nam sicut non laudamur, 		
106|107	nec vituperamur ex potentiis naturalibus: |sic non laudamur, 	se enoñe chosi 	42
108	nec vituperamur ex sensibus. 		
109	Nam sicut nullus laudatur tanquam bonus homo, 		
110|111	ex eo quod bene digerit, |vel bene crescit: sic non laudatur ex eo quod acute videt, 	che ꝑ troppo bere 	43
112	vel subtiliter audit, 		
113|114	nisi forte hoc esset per accidens, |ut si quis ex superflua comestione, vel ex nimia potatione incurrisset ophthalmiam oculorum, 	e/ ꝑ troppo mangiare 	44
115|116	ne bene videret, |vel debilitatem stomachi, 	egui abbi acꝗscatomalatie ꝑle 	45
117|118	ne bene digereret: |increparetur ille, 	quali tale uertu sonno impedite sopra loro huopre. 	46
119|120	non quia male digerit, |vel quia non clare videt, 	Donde in tali¬ potençie e nõ si de gia mettare le uirtu delle buone huoꝑe. ¶La seconda ragion sie 	47
121|122	quia clare videre, et bene digerere |(per se loquendo) 	che le uertu delle buone huopre sonuo 	48
123	non est in potestate hominis: 		
124|125	sed increparetur ex nimio potu, |vel ex superfluo cibo, 	chose sicondo ragione. 	49
126|127	nam erat in potestate sua, |ut posset uti potu, 	e debono essareuelle potençe dellamina 	50
128	et cibo moderate. 	che ubidischino aragione. 	51
129|130	Secundo in sensibus non est ponenda virtus moralis, |quia sicut potentiae naturales non obediunt rationi, 	Ma le potençe naturaglineli .v. sensi delluomo nõ ubidischono gia aragione. 	52
131	quia secundum regulam rationis nullus magis, 	ꝑo che chiaro uedere 	53
132|133	vel minus augetur, vel magis, et minus digerit: |sic nec sensus obediunt rationi, 	o cha¬tiuo uedere noue gia principalmẽtẽ nella padesta deluomo. Ne bene essare cres¬scuito. nebene essare notato none gia nella podesta deluomo. 	54
134|135	non enim est in potestate hominis videre clarius, |vel minus clare: 	Imꝑo 	55
136	quare si virtus moralis est aliquid 	che so luomoa mangiato. 	56
137|138	secundum rationem, |huiusmodi virtus in sensibus poni non debet. 	e nõ unolegia essare notrito ne eresciuto. 	57
139|140	Tertio in talibus non est moralis virtus, quia sicut potentiae naturales sufficienter determinantur ad actiones suas per suam naturam: sic et sensus. |Nam sicut ignis tantum calefacit, 	si il nutrirano 	58
141	quantum potest calefacere, 	e a ccres¬ screranmo le uirtu 	59
142|143	propter quod, |quia determinatus est in actione sua, 	che sono in lui. 	60
144|145	nec laudatur, |nec vituperatur, 	Donche in questa potença/ enõ si de gia mes¬tere le uirtu delle buone huopre. 	61
146|147	nec est in eo virtus moralis: |sic quia potentia digestiua tantum digerit quantum potest digerere, et oculus tantum videt quantum potest videre, 	¶La Terca ragione sie ꝑo	62
148|149	in eis virtus moralis esse non potest. |Nam per virtutem moralem determinatur potentia ad agendum: 	che le potençe naturagli 	63
150|151	haec autem sufficienter determinantur ad actiones proprias per naturam: |non ergo indigent virtute morali. 	e li .v. sensi delluomo sono iuchinati sofficentemente ꝑloro natura affare loro huopere. Ne per loro nor nõ siano ne buoni ne maluagi. Maleuirtu delle buone huopre inchimano le potencie delauima 	64
152|153	Si ergo nec in potentiis naturalibus, |nec in sensibus est virtus moralis, 	done elle sono abenefare 	65
154|155	cum praeter potentias naturales, |et sensus non sit nisi intellectus, 	e li uitii le inchinano al mal fare .	66
156|157	et appetitus intellectiuus, et sensitiuus, |oportet esse in talibus virtutes morales.	Donde le irtu delle buone huopere nõ debbono gia essare nelle potençie delluomini naturgli. segli anno inchimatisofficentemente affare loro huopare.	67
