0|1	Ostenso, |quod nec in potentiis naturalibus, 	stenso quem nec in poᷤ nͣlibus et 	0
2	nec in sensibus habent esse virtutes: 	appetitu.nec in sensibus habent esse uirtutes. 	1
3|4	restat ostendere, |quomodo distinguuntur virtutes, 	Re-stat ostendere quno distiguntur iltutes 	2
5	et quomodo in appetitu et intellectu existunt. Distinguendum est igitur de virtutibus, 		
6|7	et de huiusmodi potentiis: |nam virtutum quaedam sunt intellectuales, 	et qͦmodo in incllcum 	3
8|9	quaedam morales, |quaedam mediae inter intellectuales et morales. Virtutes intellectuales dicuntur illae quae sunt in intellectu speculatiuo, 	et appetitu existumt. 	4
10|11	cuiusmodi sunt scientiae speculatiuae, |ut naturalis Philosophia, 	Distinguendum enim gͦ de uirtutibus 	5
12|13	Geometria, Metaphysica, |et caetera talia. 	et de hius poͫ. Nanuirtutum 	6
14|15	Virtutes vero simpliciter morales sunt illae, |quae sunt in appetitu, 	quedam sunt intellectumales quedam morales quedam medie inter intllcunales 	7
16|17	siue appetitus ille sit sensitiuus, |siue intellectiuus, 	et morales uirtutes intellectumales dunr illeque sunt in intllcum specłatiuo. 	8
18	cuiusmodi sunt Iustitia, 	cuius modisc̃ie sunt speclatiue 	9
19	Temperantia, Fortitudo, 	ut nͣlem ph̾ia. geo. metͥ. metha etceteratalia. 	10
20|21	Mansuetudo, |et caetera talia, 	uirtutes uo simpͥ morales sunt ille que sunt in appetitu. sun appetitus ile sit sensiters sum intellectiuus.cuimoin a sunt sticia tem panͣ. fortitudo.mansuetudo acetam talia 	11
22|23	de quibus sumus singulariter tractaturi. Virtutes autem mediae inter intellectuales et morales, |sunt virtutes existentes in intellectu practico, 	de quibus sumussinglr̃ tͣctaturi. uirtutes a medie inter in allcunales etmorales sunt uirtutes exnontesᷤ in mallcum pͣctico 	12
24	ut Prudentia, 		
25|26	et aliae virtutes sibi annexae. Prudentia autem, |secundum Commentatorem super libris Ethicorum, 	ut pͥdentia talie uirtutes sͥ aunexe pͣdeucia as ẜ commentatorem super lib etb. 	13
27|28	media est inter virtutes morales, |et intellectuales; computari tamen potest cum virtutibus moralibus: 	media enim inter uirtutes moraleset intllcunales computari tum potest cum uirtutibus moralibus. 	14
29	nam Prudentia non est nisi in hominibus bonis, 	Nam prudentia non mem 	15
30	sicut nec virtutes morales: praui enim homines 	nisi hominibus bouis sic̾ nec uirtutes morales. pͣui .n. homiues 	16
31	et si possunt esse scientes, 	et si possent esse scientes. hastuti 	17
32	astuti, et versipelles; 	et u̾si pelles prudentes 	18
33	prudentes tamen esse non possunt, 	tum esse non possunt 	19
34	ut suo loco patebit. 	ut suo loco patebit. 	20
35	Inde est ergo quod dicitur 6 Ethic’ 	Inde engᷤ quem dicitur .uiͦ. 	21
36|37	quod impossibile est prudentem esse non existentem bonum. |Dimissis ergo virtutibus huiusmodi intellectualibus, 	ethoc.quem imperp ᷝ ͤ enim pͥdentem esse non enten bonum U¶ Omissis gni uirtutibus intellectumalibi 	22
38	ut dimissis scientiis speculatiuis, 	et diumissis scus specłatiuis. 	23
39	de prudentia, 	de prudentia 	24
40|41	et de virtutibus moralibus est tractandum. Suscepimus enim (ut pluries diximus) |praesens opus, 	et de uͥtutibus moralibus esse tͣctander. Suscepimodon ut płies diximus opos 	25
42	non ut sciamus, 	ut non sciamus. 	26
43	sed ut boni fiamus: 	niut boni fiamus. 	27
44|45	quae bonitas, |sine prudentia et virtutibus moralibus, 	que bouitas sum pͥdenͣ etuntutibi moralibus 	28
46|47	nobis in esse non potest. Has autem virtutes, |in intellectu, et appetitu sic esse contingit. Dictum est enim, 	nob̾ 	29
48|49	virtutem esse aliquid |secundum rationem: 	inesse 	30
50|51	oportet ergo esse rationalem potentiam, in qua potest esse virtus. |Rationale autem duplex est secundum Philosophum, 	non potest has autemuirtutes inintellectu et appetitu sic esse ꝯtmngit. dcm̃ enim .n. 	31
52|53	per essentiam, |et per participationem. 	uirtutem esse ad ẜ ronem. or gniesse rationalem poͣm in qͣ pouit esse uirtus. Ronale as dupłt enim ẜ phocm. per essentiam et per participationem. 	32
54	Intellectus autem est rationalis per essentiam. 	Intellectus a est rationalem per essentiam. 	33
55	Appetitus vero per participationem. 	appetitus uo per participationem. 	34
56	Nam appetitus licet non sit ipse intellectus, 	Nam appetitus lici non sit ipse intellectus 	35
57|58	vel ipsa ratio essentialiter, |dicitur tamen participare rationem, 	uel ipsa ratio essenͣlr̃. diciturtum participare ratione quare enim aptus natus rationi obe et dire. po ͤ autem nͣles 	36
59|60	quia est aptus natus rationi obedire. Potentiae autem naturales, et sensus, |nec sunt rationales per essentiam, 	et sensus nec sunt rationales pereemur quare non ipsa ratio sunt nec ratione participant 	37
61|62	quia non sunt ipsa ratio: |nec ratione participant, 	quare per se et ẜ 	38
63	quia per se, 	quem hius. 	39
