0|1	Postquam auxiliante Deo compleuimus primam partem huius primi libri, |in quo agitur de regimine sui, 	Uis qe nous auõs enseigne 	0
2|3	ostendentes in quo Reges |et Principes suam felicitatem debeant ponere, 	alaided̃ dieu enla primiere partie d̃ ce uure q̃les Rois 	1
4	quia non decet eos suum finem ponere in diuitiis, 		
5	nec in ciuili potentia, 		
6	nec in aliquibus talibus, 		
7|8	sed omnibus his |(ut supra plenius probabatur) debent uti tanquam organis ad felicitatem. 	⁊ les prĩces sont beneuurez qãt il aimẽt dieu. ⁊ pour lamoͬrd̃dieu. sicome bons serganz 	2
9|10	Suam autem felicitatem ponere debent in actu prudentiae, |prout talis actus est imperatus a charitate: 	⁊ leausil tendent agouu̾nez sagem̃t le pueple selonc loy ⁊ raison. Nous dirons 	3
11|12	nam tunc Reges habent felicitatem suo statui debitam, |et condignam, 	qeles u̾tuz les Rois ales prĩceᷤᷤdouuẽt auoir. 	4
13	quando instigante Dei dilectione 		
14|15	secundum prudentiam regitiuam, |gentem sibi commissam 	Et porce q̃ les u̾tuc: font laimue perfaite. ¶Il conuẽt. 	5
16|17	secundum legem, |et rationem sancte, 	pͥmieremẽ sauoir qantes puissãces 	6
18|19	et iuste regant. |Principaliter ergo Regum felicitas ponenda est in ipso Deo, 	lame.a. q es q̃les les u̾tu d̃bounes euures doiuent estre. ⁊ 	7
20	et ex cognitione et dilectione eius studium suum, 		
21	et vitam suam ad hoc ordinare debet, 		
22|23	ut cognoscentes, |et diligentes Deum, 	ap̃s nous dirons 	8
24	tanquam veri ministri eius 		
25|26	secundum ordinem rationis dirigant Populum sibi commissum. |His ergo itaque peractis, 	cõmẽt 	9
27	et ostenso in quo Reges ponere debeant suum finem secundum ordinem superius praetaxatum, 		
28|29	restat ostendere quibus virtutibus Reges pollere debeant. |Virtutes autem quaedam sunt quidam ornatus, 	⟦len⟧ len doit deuu̾it lesu̾ruz de bounes euures 	10
30|31	et quaedam perfectiones animae. |Oportet ergo prius ostendere, 	⁊ 	11
32|33	quot sunt potentiae animae, |et in quibus potentiis habent esse virtutes. 	qñtes il en soit. 	12
34|35	Consequenter autem manifestabitur, |quomodo virtutes sunt distinguendae. Postea vero ostendemus, 	⟦Et⟧ 	13
36	quot sunt numero huiusmodi virtutes, 		
37|38	et quae illarum sunt principales, |et secundariae. 	Et ap̃s nous. dirons de chascune q̃le.ẽ. 	14
39	Deinde autem declarabitur singulariter, 		
40|41	quae sit unaquaeque illarum virtutum, |et quomodo decet Reges, 	Et comẽt les Rois ⁊li prĩce doiuẽt auoir teles u̾tu. ⁊ 	15
42|43	et Principes tales virtutes habere. |Potentiae autem animae sic distingui possunt, 	dirõsles qeles sũt plus principaus des autres. 	16
44|45	quia potentiae animae quaedam sunt naturales, |quaedam cognitiuae sensitiuae, 	¶Dont len doit sauoir qe la uinc.a.iii. maineres d̾ poissance. Leᷤunes sũt natureles	17
46	quaedam appetitiuae, 		
47	et quaedam intellectiuae. Naturales potentiae sunt illae, in quibus communicamus cum vegetabilibus, et plantis, 		
48|49	ut potentia nutritiua, |augmentatiua, 	si come lau̾tu q̃acroist. 	18
50|51	generatiua, |et talia quae etiam ipsis arboribus competunt. Potentiae vero cognitiuae sensitiuae, sunt visus, 	⁊ la u̾tu qiengendre. ¶Lesautres puissances d̾ lame sũt conuissans 	19
52|53	gustus, auditus, et talia, |in quibus communicamus cum brutis. Appetitiuae vero distinguuntur: 	si come laueue. ¶Le goust⁊ latochemãt ales autres sens del home. ¶Une autre poissãce d̾ laume. 	20
54|55	nam quidam appetitus est in homine, |in quo non communicat cum brutis, ut est appetitus sequens intellectum: 	Si ẽ qen apelle lentendim̃t. ¶Les autres possances d̾lame sõt. dites poissances 	21
56|57	quidam vero in quo communicat cum eis, |ut appetitus sequens sensum. 	qi d̾sirẽt. 	22
58|59	Appetitus autem sequens sensum potest nominari sensualitas: |sequens intellectum nominatur voluntas: 	Dont lunssi est nomee uolente 	23
60|61	secundum quem modum loquendi bruta habent sensualitatem, |et appetitum sensitiuum, 	qi est desir delentendimẽt. ⁊ lautͣeͣ.ẽ. dite desir.v.sens delhome. 	24
62|63	sed non habent voluntatem, |et intellectum. Virtutes ergo, 	¶Et poons ꝓuer pai.iii.raisons q̃ les uertus d̾ bounes euures 	25
64	de quibus loqui intendimus, 	qe nous aqerons per	26
65|66	quae sunt quidam habitus laudabiles, |vel erit in potentiis naturalibus, 	acostomãces d̾biẽ faire ne sont pas es poissãces d̾ lame natureles ne es.v. sens del home. ¶Lapͣmiere raisõ si . ẽ. 	27
67	vel in ipsis sensibus, 	qar pour les u̾tuz des bounes 	28
68|69	vel in appetitu sensitiuo, |vel in appetitu intellectiuo, 	euuͬeᷤlendoit loer lome quãt ille sa ⁊ blaumez 	29
70|71	vel in ipso intellectu, |vel in omnibus his, 	quant il .a. le contraire. 	30
72|73	vel in aliquibus horum. In potentiis autem naturalibus esse non possunt, |quod tripliciter patet. Primo, 	¶Mes. 	31
74|75	quia ex naturalibus nec laudamur, |nec vituperamur nullus enim dicitur bonus homo ex eo quod habeat digestiuam bonam, 	por bien norir. ne por biẽ estre acreu.ne porbiẽ ueoir. ne por biẽ sentir nul ne doit est̾e̾ pͥncipaum̃t ne blaumesne loeᷤ. 	32
76	vel bonam augmentatiuam. Secundo, 	sil nest auis q̃ par trop bouire⁊ trop mengier il .a. aqis maladie |parqoi teles u̾tuz sunt enpeschees en leureuures. 	33|34
77|78	in talibus non habent esse virtutes: |quia virtus est aliquid 	¶Dont en celes puissances len ne doit pas metre les u̾tuz d̾ bounes cuures sont chose selonc. raison 	35
79	secundum rationem, 	qͥ doiuent estre es/ poissances d̾lameqͥ obeissẽt araison. 	36
80|81	ut probari habet 2 Ethic’. Potentiae autem naturales |(secundum quod huiusmodi) 	¶Mes les poissãces natureles. ne le .v. sens d̾ lame no beissent mie araison. 	37
