0|1	Ostenso, |quod nec in potentiis naturalibus, 	in potenciis nailibus 	0
2	nec in sensibus habent esse virtutes: 	nec insensibus habent esse uirtutes. 	1
3|4	restat ostendere, |quomodo distinguuntur virtutes, 	Restat ostendere quon distinguntur uirtutes 	2
		et quon in intllecu 	3
5	et quomodo in appetitu et intellectu existunt. Distinguendum est igitur de virtutibus, 	et appetitu existunt. |distinguendum enim gͦ de uͥtutibus 	4|5
6	et de huiusmodi potentiis: 	et de hius potenciis. 	6
7	nam virtutum quaedam sunt intellectuales, 	Nam uͥ tutum quedam sunt intllt̃uales. 	7
8	quaedam morales, 	que dam morales. 	8
		quedam 	9
9	quaedam mediae inter intellectuales et morales. Virtutes intellectuales dicuntur illae quae sunt in intellectu speculatiuo, 	medie inter intellectuales |et moralessuirtutes intellectuales dnonr inlle que st̃ inintellectu speculatiuo 	10|11
10	cuiusmodi sunt scientiae speculatiuae, 		
11|12	ut naturalis Philosophia, |Geometria, Metaphysica, 	cuius modi st̃ sciue speculatiue uͭ naturalis ph̃ia geometͥa mechaphocica 	12
13	et caetera talia. 	et cetera talia. 	13
14	Virtutes vero simpliciter morales sunt illae, 	uirtutes uero simpliter morales 	14
15	quae sunt in appetitu, 	st̃ ille que sin appetitu 	15
16|17	siue appetitus ille sit sensitiuus, |siue intellectiuus, 	siue appetitus ille sit sensitiuus siue intellectiuus. 	16
18|19	cuiusmodi sunt Iustitia, |Temperantia, Fortitudo, 	cuiusmodi autem st̃ uisticiatenperantia fortiᵈ ͦ mansue ᵈ ͦ 	17
20	Mansuetudo, 		
21	et caetera talia, 	et ceta talia 	18
22	de quibus sumus singulariter tractaturi. Virtutes autem mediae inter intellectuales et morales, 	de quibus sumus singłariter tractaturs |ututes autem medie inter intenllectuales 	19|20
23	sunt virtutes existentes in intellectu practico, 	et morales |st̃ ututes exnontes in intellectu 	21|22
24	ut Prudentia, 	ut p̾tencia 	23
25	et aliae virtutes sibi annexae. Prudentia autem, 	et alieuirtutes sibͥ amuxte. p̾dencia anscd̃m ꝯuicatorem 	24
26	secundum Commentatorem super libris Ethicorum, 	super libꝵ echoc. 	25
27	media est inter virtutes morales, 	media est |inter uirtutes morales 	26|27
28	et intellectuales; computari tamen potest cum virtutibus moralibus: 	et intellectuales. computari tnon potest 	28
29|30	nam Prudentia non est nisi in hominibus bonis, |sicut nec virtutes morales: praui enim homines 	cum ututibus moralibus Nam prudencia non mest non honinbus bonis sicut nec uirtutes morales pͣui .ii. honies 	29
31|32	et si possunt esse scientes, |astuti, et versipelles; 	et sipossent esse scientes astuti cem scientes astuti i xsipelles etuersi pelles. 	30
33	prudentes tamen esse non possunt, 	prudentes tnon |esse non possunt 	31|32
34	ut suo loco patebit. 	ut suo locopatebit. 	33
35	Inde est ergo quod dicitur 6 Ethic’ 	Inde enim gͦ quem d̃r .ui. echoc. 	34
36	quod impossibile est prudentem esse non existentem bonum. 	quem inpol ͤ est prudentem esse non entem dem bonum ¶ Dimissis gni 	35
37	Dimissis ergo virtutibus huiusmodi intellectualibus, 	mnͣ-tutibus intellectualibus 	36
38|39	ut dimissis scientiis speculatiuis, |de prudentia, 	et dimissis sciis specłatiuis de pͤdencia 	37
40|41	et de virtutibus moralibus est tractandum. Suscepimus enim (ut pluries diximus) |praesens opus, 	et deuirtutibus moralibus em tͣctandum Suscepimus nut płies diximus p̃sens opos 	38
42	non ut sciamus, 	ut non sciamus s 	39
43	sed ut boni fiamus: 		
44|45	quae bonitas, |sine prudentia et virtutibus moralibus, 	ut boni fiamus que bointas sine prudencia 	40
46|47	nobis in esse non potest. Has autem virtutes, |in intellectu, et appetitu sic esse contingit. Dictum est enim, 	et uirtutibus moralibus nob̃ inesse non potest has autem uirtutesinintellectu et appetitu sic esse contingit dcm enim .n. 	41
48	virtutem esse aliquid 	uirtutem essea ͥd ẜin 	42
49	secundum rationem: 	rationem 	43
50|51	oportet ergo esse rationalem potentiam, in qua potest esse virtus. |Rationale autem duplex est secundum Philosophum, 	o gͦ esse ronnalenpoͣm 	44
52|53	per essentiam, |et per participationem. 	in qua ponitur esse uirtus.ronnale autem duplex enim scd̃mphoc̃m pereenͣciam 	45
54|55	Intellectus autem est rationalis per essentiam. |Appetitus vero per participationem. 	et per participationem intllectus autem enim ronalis per essenciam appetitus ueroper participationem. 	46
56	Nam appetitus licet non sit ipse intellectus, 		
57	vel ipsa ratio essentialiter, 		
