0	Ostenso, 	STENSO ꝙ 	0
1	quod nec in potentiis naturalibus, 	nec in potẽtus naturalibus 	1
2	nec in sensibus habent esse virtutes: 	nec in sensibus hñt esse uirtutes. 	2
3	restat ostendere, 	Restat oñdere quomo' do distinguunt᷑ uirtutes: 	3
4	quomodo distinguuntur virtutes, 	& 	4
5	et quomodo in appetitu et intellectu existunt. Distinguendum est igitur de virtutibus, 	quomodo in appetitu& ĩ intellectu |existũt.Distinguenduest igit de uirturibus & 	5|6
6	et de huiusmodi potentiis: 	de hmõi 	7
7	nam virtutum quaedam sunt intellectuales, 	potẽtiis:nãuirtutũ quaedam sunt intellectuales: 	8
8	quaedam morales, 	quaedãmotales: 	9
9	quaedam mediae inter intellectuales et morales. Virtutes intellectuales dicuntur illae quae sunt in intellectu speculatiuo, 	quadã mediae inter intellectuales & |motales.Uictutes ĩtellectuales dicunt᷑ illae quae sunt in intellectu speculatiuo 	10|11
10	cuiusmodi sunt scientiae speculatiuae, 	cuĩusmõĩsunt 	12
11|12	ut naturalis Philosophia, |Geometria, Metaphysica, 	lciẽtiae speculatiuaeiut naturalis philosophia geometeia: 	13
13|14	et caetera talia. |Virtutes vero simpliciter morales sunt illae, 	methaphisica & catera 	14
15|16	quae sunt in appetitu, |siue appetitus ille sit sensitiuus, 	ta'lia.Uirtutes uero simpliciter morales sũt illae q̃ sũt in appetitu siue appetitus ille sit sensi'tiuus : 	15
17|18	siue intellectiuus, |cuiusmodi sunt Iustitia, 	siue intellectiuus: cuiusmõĩ autẽ sunt ĩustitia 	16
19|20	Temperantia, Fortitudo, |Mansuetudo, 	temperantia:fortitudormãsuetudo. 	17
21	et caetera talia, 	& catera talia de quibꝰ sumꝰ singularĩter 	18
22|23	de quibus sumus singulariter tractaturi. Virtutes autem mediae inter intellectuales et morales, |sunt virtutes existentes in intellectu practico, 	tractaturi.Uirtutes autẽ media ĩter intellectuales & morales sunt uictut es existentes in in. tellectu practico 	19
24	ut Prudentia, 	ut prudẽtia & 	20
25	et aliae virtutes sibi annexae. Prudentia autem, 	alia uirtutes |sibi 	21|22
26|27	secundum Commentatorem super libris Ethicorum, |media est inter virtutes morales, 	annexa.Prudentia autem ẜm cõmenta torem super libris ethicorom media est 	23
28	et intellectuales; computari tamen potest cum virtutibus moralibus: 	ĩter uirtutes morales & intellectuales : |cõputaritamẽ potest 	24|25
29	nam Prudentia non est nisi in hominibus bonis, 	cum uirtutibus moralibus : |nã prudentia nõ est nisi in honoribus bonis: 	26|27
30	sicut nec virtutes morales: praui enim homines 	sicot nec uirtutes morales: prauĩ.n.homines & 	28
31|32	et si possunt esse scientes, |astuti, et versipelles; 	si pñt esse sciẽtes astuti & uersipelles. 	29
33	prudentes tamen esse non possunt, 	Prudentes tamen esse non possant 	30
