0	Ostenso, 	odtenso 	0
1	quod nec in potentiis naturalibus, 	quem nec in potenciis naturalibus 	1
2	nec in sensibus habent esse virtutes: 	nec in sensibzhabent esse uirtutes. 	2
3	restat ostendere, 	Restat ostendere 	3
4	quomodo distinguuntur virtutes, 	quo modo distinguntur uirtutes 	4
5	et quomodo in appetitu et intellectu existunt. Distinguendum est igitur de virtutibus, 	et quomodo in intellectu et appetitu sexistunt. |¶ Distinguendun est de uirtutibus 	5|6
6|7	et de huiusmodi potentiis: |nam virtutum quaedam sunt intellectuales, 	et hiis potenciis Namuirtutum qued sunt intellectuales qued morales 	7
8	quaedam morales, 	et queder medie inter morales 	8
9	quaedam mediae inter intellectuales et morales. Virtutes intellectuales dicuntur illae quae sunt in intellectu speculatiuo, 	et intellectuales. Intellectuales dicuntur ille que sunt in intellectu speculatiuo cinusmodi sunt 	9
10	cuiusmodi sunt scientiae speculatiuae, 	sciue speculatiue 	10
11|12	ut naturalis Philosophia, |Geometria, Metaphysica, 	ut na-turalis phina arismetica geometria 	11
13|14	et caetera talia. |Virtutes vero simpliciter morales sunt illae, 	et talia uir tutes uero simp liiter morales sunt ille que sunt in appetitu 	12
15|16	quae sunt in appetitu, |siue appetitus ille sit sensitiuus, 	siue appetitus ille fit sensitimis siue intellectiuus Cimismodi iustida temperantia fortitudo mansuetudo 	13
17|18	siue intellectiuus, |cuiusmodi sunt Iustitia, 	et cettera taliade quibus sumus singulariter trattaturi. 	14
19|20	Temperantia, Fortitudo, |Mansuetudo, 	Uirtutes uero medie inter intellectuales et morales sunt uirtutes exi-stentes in intellectu practicout prudentia 	15
21	et caetera talia, 	et alie uirtutes 	16
22	de quibus sumus singulariter tractaturi. Virtutes autem mediae inter intellectuales et morales, 	sibi amnex e Prudencia emm ss conmentatorem superlibrum ethitorum est media |inter uirtu-tes morales 	17|18
23|24	sunt virtutes existentes in intellectu practico, |ut Prudentia, 	et intellettuales 	19
25|26	et aliae virtutes sibi annexae. Prudentia autem, |secundum Commentatorem super libris Ethicorum, 	tamen potest comparari 	20
27	media est inter virtutes morales, 	cum uirtutibus moralibus Nam prudencia 	21
28	et intellectuales; computari tamen potest cum virtutibus moralibus: 	non dnest 	22
29|30	nam Prudentia non est nisi in hominibus bonis, |sicut nec virtutes morales: praui enim homines 	nisi homibus boms sicut nec uirtutesmora les sdram enimi honnens 	23
31	et si possunt esse scientes, 	et si possit ee scientes astuti 	24
32	astuti, et versipelles; 	et uersipelles prudentestamen 	25
33	prudentes tamen esse non possunt, 	esse non possunt 	26
34	ut suo loco patebit. 	ut suo loco patebit. 	27
35	Inde est ergo quod dicitur 6 Ethic’ 	Inde est ergo |quem dicitur sexto ethiz 	28|29
36	quod impossibile est prudentem esse non existentem bonum. 	quem impossibile est prudentem 	30
37	Dimissis ergo virtutibus huiusmodi intellectualibus, 	non entem homuin¶ Dimisfis igitur uirtutes intellectuales 	31
38	ut dimissis scientiis speculatiuis, 	et saienciis speculatiuis 	32
39	de prudentia, 	De prudencia 	33
40|41	et de virtutibus moralibus est tractandum. Suscepimus enim (ut pluries diximus) |praesens opus, 	et de uirtutibus inoralibus est trattandum Suscepmius enm 	34
42|43	non ut sciamus, |sed ut boni fiamus: 	ut pluries diximus presens opus non ut sciamus szut boinfiamus que honitas sineprudentia 	35
44	quae bonitas, 		
45|46	sine prudentia et virtutibus moralibus, |nobis in esse non potest. Has autem virtutes, 	et sine uirtutibz moralibus nobis Iuesse non potest. 	36
47|48	in intellectu, et appetitu sic esse contingit. Dictum est enim, |virtutem esse aliquid 	has autem uirtates intellectu 	37
49|50	secundum rationem: |oportet ergo esse rationalem potentiam, in qua potest esse virtus. 	et appetitu sicesse contingit dictum est enm uirtutem esse aliquid̃ sgz ronnenoportet ergo ronnalem potenciam in qua pomitur esse uirtus. 	38
51|52	Rationale autem duplex est secundum Philosophum, |per essentiam, 	Lacionale autem dupplex est ss phm̃ per essentiam 	39
53|54	et per participationem. |Intellectus autem est rationalis per essentiam. 	et per participationem Intellectus auten ronnal est per essentiam Ꝙz appetitucz est ronnalis per participationem Nam apetitus 	40
55|56	Appetitus vero per participationem. |Nam appetitus licet non sit ipse intellectus, 	licet non sit intellectus siue ipam ratio essencialit dicitur tnon participare ronnem 	41
57|58	vel ipsa ratio essentialiter, |dicitur tamen participare rationem, 	quare est aytusznatus racioni obedire. 	42
59	quia est aptus natus rationi obedire. Potentiae autem naturales, et sensus, 	Idotentie autem nales |et sensus 	43|44
60	nec sunt rationales per essentiam, 	nec sintt ronnales per essetiam 	45
61|62	quia non sunt ipsa ratio: |nec ratione participant, 	quare non sunt ipam racio nec ronnem participant quare per se nec ssz 	46
63	quia per se, 	quem himusmoin 	47
64	et secundum quod huiusmodi non obediunt rationi. Igitur in sensibus, 	non obediunt rationem Igitur in sensibz 	48
65	et in potentiis naturalibus 	et in potenciis naturalibus 	49
66|67	(ut supra dicebatur) |non habent esse virtutes, 	ut supra dictum est non habent esseuirtutes sz solum habent esse in appetitu et intellectu. In 	50
68|69	sed solum esse habent in intellectu, et appetitu. In nobis autem duplex est appetitus, |intellectiuus, 	no-bis autem dupplex est appetitus scilicet intellectinus 	51
70	et sensitiuus. 	et sensituius. 	52
71|72	Nam sicut appetitus naturalis sequitur formam naturaliter adeptam, |sic appetitus cognitiuus sequitur formam per cognitionem apprehensam. 	nam sicut appetitus naturalis sequitur formam appre,hensam per cognicionem 	53
73	Sicut enim grauia, 		
74|75	ex eo quod habent formam grauis, |sequitur ea quaedam naturalis inclinatio, 	sicut em̃ grama ex eo quem habent formam grauem seguitur ea qued̃ naturalis inclinacio 	54
76	et quidam appetitus naturalis, 	et quid appe-titus natitralis 	55
77|78	ut naturaliter desiderent esse deorsum: |sic habentia cognitionem prout habent in seipsis formam apprehensam, 	ut naturaliter desiderent esse deorsum sic humana cognostentia pro ut habent 	56
79|80	sequitur quaedam inclinatio, |et quidam appetitus 	in se ip̃is formain apprehensam sequitur qued niclinacio quid appetitus ss formam illam pp̃ 	57
81|82	secundum formam illam. |Propter quod sicut in nobis duplex est cognitio, sensitiua, et intellectiua: 	quod sicut est in nobicz dupplex cognnicio sensitiua 	58
83	sic etiam est in nobis duplex appetitus, 	et intellettiua Sic est in nobis dumplex appetitus sensituu 	59
84|85	videlicet, |sensitiuus, 	et intellectutus Sensitums 	60
86	qui sequitur formam apprehensam per sensum: 	qui sequitur formam apprehensam per sensum 	61
87	et intellectiuus, 	et intellectiuus 	62
88	qui sequitur formam apprehensam per intellectum. Appetitus autem sensitiuus duplex est. 	qui sequitur formam apprehensam per intellectum ¶ Appetitus autem sensituius dupplex est. 	63
89	Nam cum animalia sint supra inanimata, 	nam |cum ainalia sint supra aianta sic natura calidis 	64|65
90|91	si natura elementis |et rebus inanimatis dedit duplicem potentiam, 	et rebus inaiantis dedit duplicem potenciam unam per quam tendinit 	66
92	unam per quam tendunt in propriam quietem, 	in propriam 	67
93	et aliam per quam resistunt, 	qui etem et aliam per quam resistunt 	68
94	et agunt in prohibentia, et in contraria: 	et agunt inprohibencia |et in contraria. 	69|70
95	multo magis hanc duplicem potentiam natura dedit ipsis animalibus, 	multo magis hanc dupplitem potenciam natura dedit iparsis aianlibz 	71
96	quae sunt perfectiora illis. Videmus enim quod ignis naturaliter est calidus, 	que sunt perfectiora illis. |Uidemus emin quem ignis qm est naturaliter calidus 	72|73
97|98	et leuis per leuitatem autem tendit in locum proprium, |et in quietem sibi conuenientem: 	et leuis per leiitatem emin tendit in locum propum et in quietem sibi conueinentem per caliditatem uero agit in contraria. 	74
99|100	per caliditatem vero agit in contraria: |ne ergo ignis per quaecunque contraria agentia impediretur, 	Ne ergo ignis per quecumqz agencia contraria impediatur qum perleuitatem 	75
101|102	ne per leuitatem in proprio loco quiesceret, |dedit ei natura potentiam calefactiuam, 	in proprio loco quiescere posset dedit ei natura potenciam calefactiuamut 	76
103	ut per eam resisteret, et ageret in contraria corruptiua. 	per eam resisteret |et ageret in contraria coreupartiuia. 	77|78
104|105	Si ergo igni, |et rebus inanimatis natura dedit duplicem potentiam, 	Si igitur natura dedit igniet rebus Inaiatis 	79
106|107	unam per quam adipiscuntur propriam quietem, |et aliam per quam agunt in prohibentia et contraria: 	dupplicem potentia unaper quam adipiscuntur propriam quietem et aliam per quam aqunt in prohibencia 	80
108|109	multo magis hoc dedit animalibus. Tribuit ergo eis duplicem appetitum sensitiuum, |unum per quem prosequuntur propriam quietem, 	et contraria multo magis hoc dedit ainalibus Tribint ergo eis dupplicem appetitum sensituium unum per quem prosequuntur propriam quietem 	81
110	et propriam delectationem, 	et propriam delectationem 	82
111	ut concupiscibilem: 	ut concupiscencionalem 	83
112	et alium per quem resistunt, 	Et alium per quem resistunt 	84
113|114	et aggrediuntur prohibitiua, |ut contraria, 	et aggreduuntur prohibentia con-traria 	85
115	ut irascibilem. 	ut irascibilem 	86
116	Ita quod concupiscibilis se habet sicut leuitas, 	Ita quem concupiscibłisse habent sicut grauitas 	87
117|118	vel grauitas, |in leuibus, 	et leuitas in grauibz 	88
119	et grauibus. Irascibilis vero se habet quasi caliditas, 	et lembus. |Trascibilis se habent 	89|90
120	vel frigiditas in eis. 	sicut caliditas et frigiditas in eis. 	91
121	Nam sicut grauia per grauitatem recedunt a loco sursum tanquam a non conueniente, 	Nam sicut grama per graintatem desi recedunt aloco sursum tumquemͣ a non conueniente 	92
122	et tendunt in locum deorsum tanquam ad locum conuenientem, 	et tendunt in locundeorsum tamquemͣ in locum sibi conuemientem 	93
123|124	et conformem: |per frigiditatem vero resistunt contrariis, 	et conformem per frigiditatem uero re- sistunt contrariis 	94
125	ne corrumpantur a propria natura, 	ne corrumpantur a propria natura 	95
126	et deserant propria loca, 	et deserant propria loca 	96
127	et propriam quietem. 		
128	Sic animalia per concupiscibilem fugiunt mala tristia, 	et propriam q inetem dic ainalia per concupi-scibilem fugunt |mala tristia 	97|98
129	et prosequuntur bona delectabilia. Per irascibilem vero aggrediuntur contraria, 	et prosequuntur bona delectabilia. |per irascibilem uero aggredumtur contraria que possent ab 	99|100
130	quae possent ea ab huiusmodi delectationibus prohibere. 	hinius.de lectabilibz prohibere. 	101
131	Ut Leo per concupiscibilem pergit, 	ut leo per concupi-scibilem pergit 	102
132	ut prosequatur cibum 	ut prosequatur cibum tanquem̃aliquid delectabile. per nrascibilem aggreditur ainalia uolencia ipsum prohibere acilr adepto |Et quem hec uirtus sit data ainmalibus signum potest 	103|104
133	tanquam quid delectabile: 	adduci 	105
134	per irascibilem vero aggreditur animalia illa volentia ipsum prohibere in cibo adepto. 	quem sensin se offert continue. |nam canes cum inueumt a limentum non cessant 	106|107
135	Propter quod bene dictum est, 	donec posuerint Inocculto |et hoc facunt 	108|109
		ut elongentur ab ob-staculo. pp̃ 	110
136	quod concupiscibilis respicit bonum, 	quod bene dictum est |quem concupistibilis respicit bonum 	111|112
137	et malum 	et malum ssz 	113
138|139	secundum se: |irascibilis vero respicit bonum, 	se dia- scibilis uero respicit bonum 	114
140	et malum inquantum habent rationem difficilis, 	et malum inquemͣtum habent ronnem difficilis 	115
141	et ardui. Nam cum bonum 	et ardui. |nam cunbonimi ssz 	116|117
142	secundum se dicat prosequendum, 	se dicat |quid prosequendum ma-lum uero 	118|119
143	malum vero quid fugiendum: 	quid fugiendum, 	120
144|145	concupiscibilis, |quae secundum se tendit in quietem 	concupisciblisss se tendit in quuietem 	121
146	et in bona delectabilia, 	et in bona delecta-bilia 	122
147	et fugit mala tristia, 	et fugit mala tristia. 	123
148	pro obiecto habet mala, 	pro obiectoemm hoct bona 	124
149|150	et bona sensibilia |secundum se considerata. Irascibilis vero, 	et mala sy se considerata Irascibilis uero sens quem aggre dimur 	125
151|152	secundum quam aggredimur, et resistimus prohibentibus, |et nociuis, 	et resistimr prohibentibz et nocuns tendit in bona 	126
153|154	tendit in bona, et mala sensibilia, |non secundum se considerata, 	et in mala non ss se considerata sed ut habent ronnem ardin 	127
155	sed ut habent rationem ardui, et difficilis: 	et difficilis 	128
156	nam arduitas, 	nam arduitas 	129
157|158	et difficultas potissime sunt repugnantia, |et prohibentia, 	et difficultas potissime sunt repugnancia et prohibentia 	130
159	ne possimus consequi bonum, 	ne possimet consequr bonim 	131
160	et vitare malum. 	et uitare nalum. 	132
161	Imperfecto ergo egisset natura, 	Imperfecte ergo fecisset natura 	133
162	si dedisset animalibus concupiscibilem, 	si dedisset ainalibz 	134
163|164	per quam vitarent mala, |et prosequerentur bona, 	concu-piscibilem per quam uitarent mala 	135
165|166	nisi dedisset eis irascibilem, |per quam aggrederentur impedientia delectationem illam: 	et prosequerentur bona insi dedisset eis nrascibilenper quam aggrederentur impedientia delectacionem illam 	136
167	ut igitur animalia, 	Ut ugitur |ainalia ss 	137|138
168	secundum modum sibi conuenientem, 	mo-dum sibi conuenientem 	139
169|170	prout bene possint delectari per concupiscibilem, |data est eis irascibilis, 	plene possent delettari percontupisciblem̃ data est eis irastibilis per quam resistant 	140
171	per quam resistant, 		
172|173	et aggrediantur impedientia delectationem illam. Duplex est ergo appetitus sensitiuus, |irascibilis, 	et aggrediantur tmpedientia delectationem illam ¶ Dupplex est ergo appetitus sensituius Irascibilis 	141
174|175	et concupiscibilis. Appetitus autem intellectiuus, |qui dicitur voluntas, 	et concupisciblins. Apetitus autem dutelle ttiuus 	142
176|177	remanet indiuisus. |Nam cum intellectus uniuersaliori modo respiciat suum obiectum quam sensus, 	qui dicitur uoliitas est indiuisus nam cum gritellectus umu̾saliori modo respiciat suum obiectum 	143
178	appetitus intellectiuus, 	quemͣ sensus appetitus intellectinus 	144
179	qui sequitur intellectum uniuersaliori modo, 	qui sequitur intellectum uinu̾saliori modo fertur 	145
180	fertur in bonum, 	in bonum 	146
181|182	quam appetitus |secundum sensum: 	quem̃ apetitus ss sensum 	147
183|184	et quia quanto aliquid |sub uniuersaliori modo accipitur, 	Et quia quanto quid uniuersaliori mon accipitur. 	148
185|186	tanto unum |et idem existens ad plura se extendit, 	tanto unum etidem existens ad plura se extendit. 	149
187	licet appetitus sensitiuus sit alius, 	licet appetitus sensituius sit aluus 	150
188	et alius, 		
189|190	secundum quem prosequimur delectabilia, |et secundum quem aggredimur terribilia: 	et aluis serquem prosequi᷑ delectabilia ss sensum et aggredimur terribilia. 	151
191	appetitus tamen intellectiuus unus, 	Appetitus tamen intellectuus unus 	152
192	et idem existens fertur in omne bonum intelligibile. 	et idem existens fertur in omem bonum intelligibile. 	153
193|194	Non ergo est alius appetitus intellectiuus, |secundum quem prosequimur bona delectabilia per intellectum, 	Non est ergo aluis appetitus intedectuius ss quem prosequintur bona delectabilia per intellectum 	154
195	et aggredimur bona ardua: 		
196	sicut est alius appetitus sensitiuus, 		
197	secundum quem prosequimur bona sensibilia delectabilia, 		
198|199	et aggredimur terribilia. |Quare si omnis virtus moralis, vel est in intellectu, 	et aggredimur bona ardua sicut est alis appetitus sensituius ssz quem prosequimur bona delectabilia et aggredimur terribilia Quare si omins uirtus moralis uel est in Intellettu uel in appetitu 	155
200|201	vel in appetitu: |et appetitus alius intellectiuus 	Et appetitus alius est intellectius uit uolintas 	156
202	ut voluntas, 		
203	alius est sensitiuus: 	et alius est sensituuis 	157
204	et hoc duplex, 	et hic est dupplex 	158
205	irascibilis scilicet, 	scilicet irascibilis 	159
206	et concupiscibilis: 		
207|208	oportet omnem virtutem moralem, |vel esse in intellectu, 	et concupisciblis Oportet onmnem uirtutem esse uel in intellettu uel in appetitu intellectiuo uel in mascibili uel in concupiscibili. 	160
209	vel in voluntate, 	Accipiendo ergo uirtutem mo-ralem large 	161
210|211	vel in irascibili, |vel in concupiscibili. Accipiendo ergo virtutem moralem large prout ipsa prudentia dicitur quaedam virtus moralis, 	prout ipsa prudencia dicitur queduirtus moralis dice possumus 	162
212	dicere possumus 	quem sy hasquatuor potentias aiue 	163
