0	Ostenso, 	Stenso ꝙ 	0
1	quod nec in potentiis naturalibus, 	nec in potentiis naturalibus 	1
2|3	nec in sensibus habent esse virtutes: |restat ostendere, 	nec in sensibus habent esse uirtutes. Restat ostendere. 	2
4	quomodo distinguuntur virtutes, 	quomodo dĩstingiintur |tirtutes:⁊ 	3|4
5	et quomodo in appetitu et intellectu existunt. Distinguendum est igitur de virtutibus, 	quomodo in appetitu⁊ intellectu existunt. Distinguendum est igit᷑ de rirtutibus ⁊ 	5
6	et de huiusmodi potentiis: 	de huiusmodi potentiis: 	6
7	nam virtutum quaedam sunt intellectuales, 	namuirtutum |quedam sunt intellectuales: 	7|8
8	quaedam morales, 	quedaz morales: 	9
9|10	quaedam mediae inter intellectuales et morales. Virtutes intellectuales dicuntur illae quae sunt in intellectu speculatiuo, |cuiusmodi sunt scientiae speculatiuae, 	quedam medie icirer iitellectuales ⁊morales. Cututes ĩtellectuales dicuneur ille que sunt in intellectu. speculariuo euiusmodisunt scientie speculatiue: 	10
11	ut naturalis Philosophia, 	ut naturalis philosophia geometria: 	11
12	Geometria, Metaphysica, 	methaphisica ⁊ 	12
13	et caetera talia. 	cetera talia: 	13
14	Virtutes vero simpliciter morales sunt illae, 	Uirtutes pero simpliciter morales sunt ille: 	14
15|16	quae sunt in appetitu, |siue appetitus ille sit sensitiuus, 	q̃sunt in appetitu siue appetitus ille sit sensitiuus: 	15
17	siue intellectiuus, 	siue intellectinus: 	16
18	cuiusmodi sunt Iustitia, 	cuiusmodi autem sunt iusticia remperantia: 	17
19	Temperantia, Fortitudo, 	fortitudo: 	18
20	Mansuetudo, 	mansuetudo. 	19
21	et caetera talia, 		
22|23	de quibus sumus singulariter tractaturi. Virtutes autem mediae inter intellectuales et morales, |sunt virtutes existentes in intellectu practico, 	⁊cetera talia de quibus sumꝰ singulariter traetaruri. Uirtutes autem medie inter inrellectudles ⁊ morales sunt uirtutes cristentes in iitellectu practico 	20
24|25	ut Prudentia, |et aliae virtutes sibi annexae. Prudentia autem, 	ut prudentia ⁊ alie mirtutes sibl annexe. 	21
26	secundum Commentatorem super libris Ethicorum, 	Prudentia autem sed̾m cõmentatorem |super libris ethicorum 	22|23
27	media est inter virtutes morales, 	media est |inter uirtutes morales ⁊ intellectuales: 	24|25
28	et intellectuales; computari tamen potest cum virtutibus moralibus: 	computaritamen potest cum uirtutibus moralibus: 	26
29	nam Prudentia non est nisi in hominibus bonis, 	naz prudentia non est nisi in hominibus bonis: 	27
30	sicut nec virtutes morales: praui enim homines 	sicut nec uirtutes morales: |praui enim homines 	28|29
31|32	et si possunt esse scientes, |astuti, et versipelles; 	et si possunt esse scienres astuti ⁊ uersipelles. 	30
33	prudentes tamen esse non possunt, 	prudentes tamen esse non possinit 	31
34	ut suo loco patebit. 	ut suo los copatebit. 	32
35|36	Inde est ergo quod dicitur 6 Ethic’ |quod impossibile est prudentem esse non existentem bonum. 	Inde est ergo quod dicitut .ui. ethi⁊corum ꝙ impossibile est prudentem esse non erñrem bonũ. ¶ Dimissis ergo uirtutibꝰ buiusmodi initellectualibus: 	33
37	Dimissis ergo virtutibus huiusmodi intellectualibus, 		
38	ut dimissis scientiis speculatiuis, 	ut dimissis scientiis speculatiuis: 	34
39|40	de prudentia, |et de virtutibus moralibus est tractandum. Suscepimus enim (ut pluries diximus) 	de prudentia: ⁊ de yirtutibus. moralibus est tractandum. Suscepimus enimut pluries dicimus presens opus non ut sciamus 	35
41	praesens opus, 		
42	non ut sciamus, 		
43	sed ut boni fiamus: 	sed ut boni fiamus: 	36
44	quae bonitas, 		
45|46	sine prudentia et virtutibus moralibus, |nobis in esse non potest. Has autem virtutes, 	que bonitas sine prudentia ⁊ yirtutibus moralibus nobis inesse ñꝑotest ¶ 	37
