0	Ostenso, 	steanso 	0
1	quod nec in potentiis naturalibus, 	quem nec in potetu.tiis naturalibus. 	1
2|3	nec in sensibus habent esse virtutes: |restat ostendere, 	nec in sensibus hocnt esse uirtutes restat ostendere quomodo distinguntur uirtutes 	2
4|5	quomodo distinguuntur virtutes, |et quomodo in appetitu et intellectu existunt. Distinguendum est igitur de virtutibus, 	et quomodo in intllectu et appetitu existunt distinguendum enim ergo de uirtutibus 	3
6	et de huiusmodi potentiis: 	et hin potenciis. 	4
7|8	nam virtutum quaedam sunt intellectuales, |quaedam morales, 	Nam uirtutum quedam s̾ inontllectuałsquedam morales quedam m̃die inter millectuales 	5
9	quaedam mediae inter intellectuales et morales. Virtutes intellectuales dicuntur illae quae sunt in intellectu speculatiuo, 	et morales. Uirtutes mellectuales dicuterille que sunt in itllectu spculatiuo. 	6
10	cuiusmodi sunt scientiae speculatiuae, 	eius scientie sunt speculatiue 	7
11|12	ut naturalis Philosophia, |Geometria, Metaphysica, 	ut naturalis philo sophia. geometria methaphisica etet 	8
13|14	et caetera talia. |Virtutes vero simpliciter morales sunt illae, 	c̃.talia uirtutes uero sinplicit̃ morales. 	9
15	quae sunt in appetitu, 	sunt ille que sunt in appetitu. 	10
16	siue appetitus ille sit sensitiuus, 	siue appetitus ille sit sensitiuus. 	11
17	siue intellectiuus, 	sine intlłetiuus. 	12
18	cuiusmodi sunt Iustitia, 	cuius modi autem surituusticia. 	13
19	Temperantia, Fortitudo, 	temperancia. 	14
20	Mansuetudo, 	fortitudomansuetudo 	15
21	et caetera talia, 	et cetera talia. 	16
22|23	de quibus sumus singulariter tractaturi. Virtutes autem mediae inter intellectuales et morales, |sunt virtutes existentes in intellectu practico, 	de quibus simus singulariter tractatimr Toirtutes autem medie inter intłlectuałs et morales. Sunt uirtutes existentes in intlsctu practico. 	17
24|25	ut Prudentia, |et aliae virtutes sibi annexae. Prudentia autem, 	et pridentia et alie uirtutes. igitur annexe. Prudentia 	18
26|27	secundum Commentatorem super libris Ethicorum, |media est inter virtutes morales, 	secundum conmentatorem. Supͣlibrum ethicorum media e̾ inter untutes morales 	19
28	et intellectuales; computari tamen potest cum virtutibus moralibus: 	et intellectuales computari tam̃ pocest cum nurtutibus moralibu. 	20
29	nam Prudentia non est nisi in hominibus bonis, 	Nam prudentia non in enim nisi hominibus bonis. 	21
30	sicut nec virtutes morales: praui enim homines 	Sicut nec uirtutes morales. praui enin homines 	22
31	et si possunt esse scientes, 	et si possent esse scientes hastuti 	23
32	astuti, et versipelles; 	et unsipelles 	24
33	prudentes tamen esse non possunt, 	pru:dentes tamen esse non 	25
34	ut suo loco patebit. 	possunt.ut loco suo patebit. 	26
35|36	Inde est ergo quod dicitur 6 Ethic’ |quod impossibile est prudentem esse non existentem bonum. 	Inde estergo qd dicitur.uiͦ. ethicorumquem in possibile enim prudenter bonum Omissis igituruirtutibus intllectualibus. 	27
37	Dimissis ergo virtutibus huiusmodi intellectualibus, 		
38	ut dimissis scientiis speculatiuis, 	et dimissis scienciis speculatiuis. 	28
39	de prudentia, 	de prudencia 	29
40	et de virtutibus moralibus est tractandum. Suscepimus enim (ut pluries diximus) 	et uurtutibus moralibunem tractandum Incepimus enin 	30
41|42	praesens opus, |non ut sciamus, 	ut pł̾ies diximus presens opus non ut sciamus. 	31
43	sed ut boni fiamus: 	set 	32
44|45	quae bonitas, |sine prudentia et virtutibus moralibus, 	ut bonisiamus que bonitas sine prudentia 	33
46	nobis in esse non potest. Has autem virtutes, 	et iurtutibus moralibus nb̃ in esse non poteret has autem uirtutes 	34
47|48	in intellectu, et appetitu sic esse contingit. Dictum est enim, |virtutem esse aliquid 	imtlłt:tu appetitu. 	35
49	secundum rationem: 	Sic esse contingit. 	36
50	oportet ergo esse rationalem potentiam, in qua potest esse virtus. 	Uictum enim enin uirtutem esse aliquid scd̃m ronnem. opportet ergo esse racionalem potenciam in qua ponitin ce 	37
51|52	Rationale autem duplex est secundum Philosophum, |per essentiam, 	untus.racionale autere duplx enim scd̃mphoc̃m. per essenciam 	38
53|54	et per participationem. |Intellectus autem est rationalis per essentiam. 	et partitipationem Intllectus autem enim ronnalis pereentiam. Appetitus uero per 	39
55	Appetitus vero per participationem. 		
56|57	Nam appetitus licet non sit ipse intellectus, |vel ipsa ratio essentialiter, 	participacione.Nam appetitus licet non sit ille intllectus uel ipsa racio essentialiter/ 	40
58	dicitur tamen participare rationem, 	diciter |tamen participare ronnon 	41|42
59	quia est aptus natus rationi obedire. Potentiae autem naturales, et sensus, 	quia enaptus natus ronni obedire. Potencie autem naturales sensus. 	43
60	nec sunt rationales per essentiam, 	nec sunt ronuales per eenciam 	44
61|62	quia non sunt ipsa ratio: |nec ratione participant, 	quia non ipsa ratio sunt nec ronne participant. 	45
63	quia per se, 	quia per se scderm 	46
64	et secundum quod huiusmodi non obediunt rationi. Igitur in sensibus, 	quem hius non obediunt rationi igitur in potencus 	47
65	et in potentiis naturalibus 	et in sensibus naturalibus. 	48
66	(ut supra dicebatur) 	ut supra dicebatur. 	49
67	non habent esse virtutes, 	non hocnt esseuirtutes. 	50
