0|1	Postquam auxiliante Deo compleuimus primam partem huius primi libri, |in quo agitur de regimine sui, 	dios acabamos la ṕm̾a parte deste libro ṕmero en q̃ seẗcta dł gou̾namiẽto dł om̃e enssi/. 	0
2|3	ostendentes in quo Reges |et Principes suam felicitatem debeant ponere, 	Et mostmos en q̃ deuẽ poner los Reyes ⁊ los ṕnçipes la su feliçidat ⁊ la su biẽ andãça/. 	1
4|5	quia non decet eos suum finem ponere in diuitiis, |nec in ciuili potentia, 	Et q̃ nõ les cõuiene poner la su fin en riq̃zas nĩ en poderio ciuil nĩ 	2
6|7	nec in aliquibus talibus, |sed omnibus his 	en miugũas oẗs cosas corporales nĩ tẽporals̃ Mas assi cõmo ꝓuamos cõplida mẽte desuso deuẽ husar de todas estas cosas 	3
8	(ut supra plenius probabatur) debent uti tanquam organis ad felicitatem. 	assi cõmo de instrumẽtos ꝑa ganar la feliçidat ⁊ la biẽ andãça. 	4
9	Suam autem felicitatem ponere debent in actu prudentiae, 	Mas la su bienandança deuẽ poner en obras de p̈dençia⁊ de sabiduria segũd 	5
10|11	prout talis actus est imperatus a charitate: |nam tunc Reges habent felicitatem suo statui debitam, 	q̃ tales ob̈s son regladas 	6
12	et condignam, 	por caridat ⁊ 	7
13	quando instigante Dei dilectione 	por el amor de dios 	8
14	secundum prudentiam regitiuam, 	Ca estonçe hã los Reyes ⁊ los ṕncipes la su feliçidit ⁊ la su felicidat biẽ |andança q̈l deuẽ auer ⁊ q̈l ꝑtenesce asu estado q̈ndo 	9|10
15	gentem sibi commissam 	ellos cõ el ayuda de dios 	11
16|17	secundum legem, |et rationem sancte, 	⁊con el amor de dios segũd la sabiduria dł gou̾namiẽto gouernã las sus̃gẽtes ⁊ los sus pueblos q̃ les son acomẽdados scã mẽte ⁊ derechurera mẽte segũt ley ⁊ segũt razõ /. 	12
18|19	et iuste regant. |Principaliter ergo Regum felicitas ponenda est in ipso Deo, 	Et pues q̃assi es ṕnçipal mẽte la feliçidat ⁊ la biẽ andança dłos Reyes ⁊ dłos ṕnçipeses de poner en solo dios /. 	13
20|21	et ex cognitione et dilectione eius studium suum, |et vitam suam ad hoc ordinare debet, 	Ca deuẽ ellos ordenar la su uida ⁊ el su estada a esto q̃ por conosçimiẽto ⁊ 	14
22|23	ut cognoscentes, |et diligentes Deum, 	por amor de dios conosçiẽdol ⁊ amãdol assi cõmo oficiales u̾daderos suyos enderescẽ ⁊ guyẽ el pueblo q̃ les es acomẽdado segũd orden de razõ ⁊ de entẽdimiẽto/ Et pues q̃ 	15
24	tanquam veri ministri eius 	assi es estas cosas todas 	16
25|26	secundum ordinem rationis dirigant Populum sibi commissum. |His ergo itaque peractis, 	assi acabadas ⁊ demosẗdo en q̈l cosa han los Reyes ⁊ los ṕnçipes 	17
27	et ostenso in quo Reges ponere debeant suum finem secundum ordinem superius praetaxatum, 	de poner su fin segũd la orden ya dicha ⁊ assignada finca nos de demostrar enq̈les útudes deuẽ 	18
28	restat ostendere quibus virtutibus Reges pollere debeant. 	resplandesçer los Reyes ⁊ los ṕnçipes/. 	19
29|30	Virtutes autem quaedam sunt quidam ornatus, |et quaedam perfectiones animae. 	Ca las útudes son unos hornamẽtos ⁊ cõponimiẽtos ⁊ hunas ꝑfectiones q̃ fazẽ acabada el alma/. 	20
31	Oportet ergo prius ostendere, 	Pues q̃ assi es cõuiene mosẗr ṕmero 	21
32	quot sunt potentiae animae, 	q̈ntos son los pod̾ios dł alma 	22
33	et in quibus potentiis habent esse virtutes. 	Et en q̈les pod̾ios han de seer las útudes/. 	23
34|35	Consequenter autem manifestabitur, |quomodo virtutes sunt distinguendae. Postea vero ostendemus, 	Et despues desto mosẗremos en q̈lman̾a se departẽ las útudes/. 	24
36	quot sunt numero huiusmodi virtutes, 	Et del pues desto mosẗremos q̈ntas son |por cuẽto çierto estas útudes/. 	25|26
37	et quae illarum sunt principales, 	Et q̈les dellas son ṕnçipeles/. 	27
38	et secundariae. 	Et q̈les segũdarias/. 	28
39|40	Deinde autem declarabitur singulariter, |quae sit unaquaeque illarum virtutum, 	Et ala postremeria declararemos espeçial mẽte q̈l es cada una de estas utudes/. 	29
41|42	et quomodo decet Reges, |et Principes tales virtutes habere. 	Et en q̈l man̾a cõuiene alos Reyes ⁊ alos ṕnçipes de auer estas útudes 	30
43	Potentiae autem animae sic distingui possunt, 	¶pues q̃ assi es los pod̾ios dł alma se puedẽ assi departir 	31
44	quia potentiae animae quaedam sunt naturales, 	ca alguõs destos poderios dł alma sõnat᷑ales |⁊ alguos son pod̾ios senssitiuos conosçedores/. 	32|33
45|46	quaedam cognitiuae sensitiuae, |quaedam appetitiuae, 	Et algũos desseadores ⁊ algũõs intellectiuos ⁊ 	34
47|48	et quaedam intellectiuae. Naturales potentiae sunt illae, in quibus communicamus cum vegetabilibus, et plantis, |ut potentia nutritiua, 	entẽdedores ¶Nat᷑ales pod̾ios son aq̃llos en los q̈les partiçipamos cõ los arboles ⁊ con las plantas ⁊ cõ todas las cosas q̃cresçẽ en la trm. 	35
