A	B
0|1	0
2	1
3|4	2
5|6	3
7|8	4
9	
10	
11|12	5
13|14	6
15	7
16	8
17	9
18	10
19	11
20|21	12
22	13
23	14
24|25	15
26|27	16
28	
29|30	17
31	
32|33	18
34	19
35	
36	
37|38	20
39|40	21
41	
42	
43|44	22
45	23
46	24
47|48	25
49	26
50|51	27
52	28
53|54	29
55	30|31
56	32
57	33
58	34
59	35|36
60|61	37
62	38
63|64	39
65|66	40
67|68	41
69|70	42
71|72	43
73	44
74	45
75	46
76	47
77|78	48
79|80	49
81|82	50
83|84	51
85	52
86	53
87	54
88|89	55
90|91	56
92|93	57
94|95	58
96	
97|98	59
99	
100|101	60
102|103	61
104|105	62
106|107	63
108|109	64
110	
111	
112|113	65
114|115	66
116|117	67
118	
119	
120|121	68
122	69
123	70
124|125	71
126|127	72
128	73
129|130	74
131	
132|133	75
134	
135|136	76
137	77
138|139	78
140	
141	
142	
143	79
144|145	80
146|147	81
148|149	82
150|151	83
152	84
153|154	85
155|156	86
157	87
158	88
159	89
160	90
161	91
162|163	92
164|165	93
166|167	94
168	95
169|170	96
171|172	97
173|174	98
175	99
176	100
177	101|102
178	103
179	104
180|181	105
182|183	106
184|185	107
