A	B
0|1	0
2	1
3|4	2
5	
6	
7|8	3
9|10	4
11|12	5
13|14	6
15|16	7
17	8
18	
19	
20|21	9
22|23	10
24|25	11
26|27	12
28	13
29|30	14
31|32	15
33	16
34|35	17
36	18
37	19
38	20
39	21
40	22
41	23
42	24
43|44	25
45|46	26
47|48	27
49	28
50|51	29
52	
53	
54	30
55	31
56|57	32
	33
58	34
59	35|36
60	37
61	38
62	39
63	40|41
	42
64	43|44
65|66	45
67	46
68	47|48
69|70	49
71	50|51
72	52
73	53
74	54
75|76	55
77	
78	
79	
80	
81	
82	56
83	57
84|85	58
86|87	59
88|89	60
90	61
91|92	62
93	63
94|95	64
96	
97	
98	
99	
100|101	65
102|103	66
104|105	67
106|107	68
108|109	69
110	70|71
111|112	72
113	
114|115	73
116	74
117|118	75
119	76
120	77
121|122	78
123|124	79
125	
126|127	80
128|129	81
130	
131	
132|133	82
134	
135|136	83
137|138	84
139|140	85
141|142	86
143	
144	
145|146	87
147|148	88
149|150	89
151|152	90
153	91
154|155	92
156|157	93
158	94
159|160	95
161	96
162|163	97
164|165	98
166	99
167	100
168|169	101
170|171	102
172	103|104
173|174	105
175|176	106
177|178	107
179	108
180|181	109
182	110
183|184	111
	112
185	113
