A	B
0|1	0
2	
3|4	1
5	
6	
7	
8	
9	
10	
11|12	2
13	
14	
15	
16|17	3
18	
19|20	4
21|22	5
23	
24	
25|26	6
27	
28	
29|30	7
31	
32	8
33|34	9
35	
36	
37|38	10
39	
40|41	11
42	
43|44	12
45	
46|47	13
48|49	14
50|51	15
52|53	16
54|55	17
56|57	18
58|59	19
60	
61|62	20
63|64	21
65|66	22
67|68	23
69	
70|71	24
72|73	25
74|75	26
76	
77	
78	
79|80	27
81	
82	
83	28
84	
85|86	29
87|88	30
89|90	31
91|92	32
93|94	33
95	
96|97	34
98|99	35
100	
101	
102|103	36
104|105	37
106	
107	
108|109	38
110|111	39
112|113	40
114|115	41
116|117	42
118	
119|120	43
121	
122|123	44
124|125	45
126	
127|128	46
129|130	47
131|132	48
133|134	49
135|136	50
137|138	51
139	
140	
141|142	52
143|144	53
145|146	54
147|148	55
149|150	56
151	57
152	58|59
153|154	60
155|156	61
157|158	62
159|160	63
161	64
162|163	65
164|165	66
166	67|68
167|168	69
169	70
170	71
171|172	72
173	73
174	74|75
175	76
176|177	77
178|179	78
180	79
181	80
182|183	81
184	82|83
185	84|85
