A	B
0|1	0
2	
3|4	1
5	
6|7	2
8|9	3
10	
11|12	4
13|14	5
15	6|7
16	8|9
17	10
18	11
19|20	12
21|22	13
23|24	14
25|26	15
27|28	16
29|30	17
31|32	18
33	19
34|35	20
36	21
37	22
38	23
39|40	24
41	25
42	26
43	27
44	28
45|46	29
47|48	30
49	31
50	32
51	33
52|53	34
54|55	35
56|57	36
58	37
59|60	38
61	39|40
62	41
63	42
64	43
65	44
66|67	45
68	46
69|70	47
71	48|49
72|73	50
74|75	51
76|77	52
78|79	53
80	54
81	55
82	56
83	57
84	58|59
85|86	60
87|88	61
89	62|63
90	64
91|92	65
93|94	66
95|96	67
97	68
98	69
99	70
100	71
101	72
102	73
103	74
104|105	75
106	76
107	77
108	78
109	79|80
110|111	81
112|113	82
114|115	83
116	84
117	85|86
118|119	87
120	88
121	89
122|123	90
124	91|92
125	93|94
126|127	95
128|129	96
130	97
131	98
132|133	99
134	100|101
135	102
136	103
137|138	104
139|140	105
141	106
142|143	107
144	108
145|146	109
147|148	110
149|150	111
151	112
152	113|114
153	115
154|155	116
156	117|118
157	119
158	120|121
159	122
160	123
161	124|125
162|163	126
164	127
165	128
166|167	129
168	
169|170	130
171	131
172	132
173|174	133
175	134
176	135
177	136
178|179	137
180	138
181	139
182	140
183	141
184	142
185	143
