A	B
0	0|1
1	2
2|3	3
4	4
5|6	5
7	6
8	7
9	8
10|11	9
12	10
13|14	11
15|16	12
17|18	13
19	14
20	15|16
21	17
22	18
23|24	19
25	20
26|27	21
28|29	22
30|31	23
32	24
33	25
34	26
35|36	27
37|38	28
39	
40|41	29
42|43	30
44|45	31
46	32
47|48	33
49	34|35
50	36
51	37
52|53	38
54	39|40
55	
56|57	41
58|59	42
60	
61|62	43
63|64	44
65	
66	
67|68	45
69	46
70|71	47
72|73	48
74|75	49
76|77	50
78	51
79|80	52
81	53
82	54
83	55
84	56
85	57|58
86|87	59
88|89	60
90|91	61
92	62
93	63
94|95	64
96	65
97	66
98	67
99	68|69
100	70
101|102	71
103|104	72
105|106	73
107	74|75
108	76
109|110	77
111	78
112	79
113	80|81
114|115	82
116|117	83
118	84
119	85
120|121	86
122	87
123|124	88
125	89
126	90
127	91
128|129	92
130|131	93
132	94
133|134	95
135|136	96
137	97|98
138|139	99
140	100
141|142	101
143|144	102
145	103
146	104|105
147	106
148	107
149	108
150	109
151	110
152	111
153|154	112
155|156	113
157|158	114
