A	B
0|1	0
2	
3|4	1
5|6	2
7	
8	
9	
10	
11|12	3
13|14	4
15|16	5
17|18	6
19	
20|21	7
22|23	8
24|25	9
26	
27|28	10
29	
30	
31|32	11
33	
34	
35|36	12
37	
38|39	13
40|41	14
42	
43|44	15
45|46	16
47	
48	17
49	
50|51	18
52	
53|54	19
55	
56|57	20
58|59	21
60	
61	
62|63	22
64|65	23
66	
67|68	24
69|70	25
71|72	26
73	
74	
75|76	27
77|78	28
79|80	29
81|82	30
83|84	31
85	
86	
87|88	32
89|90	33
91	34|35
92|93	36
94	37
95|96	38
97|98	39
99	40
100|101	41
102	42
103|104	43
105|106	44
107|108	45
109|110	46
111	47
112	48
113|114	49
115	50|51
116|117	52
118	
119	
120	
121|122	53
123|124	54
125	
126|127	55
128	
129	
130|131	56
132|133	57
134	
135	
136	
137	
138|139	58
140	
141|142	59
143	
144	
145	
146	
147	
148	
149	
150	
151|152	60
153	
154|155	61
156	
157	
158	
159	
160	
161	
162	
163	
164	
165	
166	
167	
168	
169	
170	
171	
172	
173	
174	
175	
176	
177	
178	
179	
180|181	62
182	
183|184	63
185	
186	
187	
188	
189	
190	
191	
192	
193	
194	
195	
196	
197	
198|199	64
200	
201	
202	
203	
204	
205	
206|207	65
208	
209	
210	66
211	
212	
213	
214	
215	
216	
217	
218	
219	
220	
221	
222	
223	
224	
225	
226	
227	
228	
229|230	67
