A	B
	0
	1
	2
0	3|4
1	5
2	6|7
3	8
4	9
5|6	10
7	11
	12
8	13|14
9	15
10	16
11|12	17
13	
14	18
15	19
16|17	20
18	21
19	22
20	23|24
21	25|26
22	27
23|24	28
	29
25	30|31
26	32
27	33|34
28	35
29	36
30|31	37
32|33	38
34|35	39
36	40
37	41
38	42|43
39|40	44
41	45|46
42	47
43	48
44	49
45	50|51
	52
46	53|54
47	55|56
48	
49	57|58
50|51	59
52	60
53	61
54	62
55	63
56|57	64
58|59	65
60|61	66
62	67
63|64	68
65	69
66|67	70
68	71
69	72
70	
71|72	73
73|74	74
75	75
76	76
77	77
78|79	78
80|81	79
82|83	80
84	81
85|86	82
87	
88|89	83
90	84|85
91	86
92	87
93	88
94	89|90
95	91
96	92
97	93
98	94
99	95
100	96
101|102	97
103	98
104|105	99
106	100
107|108	101
109	
110|111	102
112|113	103
114	104
115	105
116	106
117	107
118|119	108
120	109|110
121|122	111
123	112
124|125	113
126|127	114
128	115
129|130	116
131|132	117
133	118
134	119
135|136	120
137	121|122
138|139	123
140	124
141	
142|143	125
144	
145	126
146	127|128
147	129|130
148	131
149	132
150	133
151	134
152	135
153	136
154	137
155	138
156	139
157	140
158	141
