A	B
0	0
1	
2|3	1
4|5	2
6	3
7	4
8	5|6
9	7
10	8
11|12	9
13|14	10
15	
16|17	11
18	12
19|20	13
21	14
22|23	15
24|25	16
26|27	17
28	18
29|30	19
31	20
32	21
33	22
34	23
35	24
36	25
37|38	26
39|40	27
41|42	28
43	29
44	30
45	31|32
46	33
47	34
48	35
49	36|37
50	38
51	39
52	40
53	41
54	42
55	43
56	44
57	45
58	46
59	47|48
60	49
61	50
62|63	51
64|65	52
66	
67|68	53
69|70	54
71|72	55
73|74	56
75	57
76|77	58
78|79	59
80|81	60
82|83	61
84|85	62
86|87	63
88|89	64
90|91	65
92	66
93|94	67
95	
96|97	68
98	69
99	70|71
100	72|73
101|102	74
103|104	75
105|106	76
107	77
108	78
109	79
110|111	80
112	81
113|114	82
115|116	83
117	84
118	85
119	86
120	87
121|122	88
123|124	89
125|126	90
127	91|92
128	93
129|130	94
131	95
132|133	96
134	97|98
135|136	99
137|138	100
139	101|102
140	103|104
141	105
142|143	106
144	107
145	108
146	109
147	110
148|149	111
150	112
151	113
152|153	114
154|155	115
156|157	116
158	117
