A	B
0	
1	
2|3	0
4	
5|6	1
7	
8	
9|10	2
11|12	3
13|14	4
15	
16|17	5
18|19	6
20|21	7
22|23	8
24|25	9
26	
27	
28|29	10
30|31	11
32	
33	
34|35	12
36|37	13
38	14
39	15
40|41	16
42|43	17
44|45	18
46|47	19
48|49	20
50|51	21
52	
53	
54	
55|56	22
57	
58|59	23
60|61	24
62|63	25
64|65	26
66	
67|68	27
69	
70|71	28
72|73	29
74	
75|76	30
77|78	31
79	
80|81	32
82|83	33
84|85	34
86	
87	
88	
89	
90|91	35
92|93	36
94	
95|96	37
97|98	38
99|100	39
101	
102	
103	
104|105	40
106|107	41
108	
109	
110	
111	
112|113	42
114	
115|116	43
117|118	44
119|120	45
121	
122|123	46
124	
125|126	47
127|128	48
129	
130	
131|132	49
133|134	50
135|136	51
137	52|53
138	54|55
139|140	56
141	
142	
143	
144|145	57
146|147	58
148|149	59
150|151	60
152	
153	
154	
155|156	61
157|158	62
