A	B
0|1	0
2	
3|4	1
5|6	2
7	
8|9	3
10|11	4
12	
13|14	5
15|16	6
17	
18	
19	
20|21	7
22	
23	
24	
25	
26	
27	
28	
29	
30	
31	
32	
33	
34	
35	
36	
37	
38	
39|40	8
41	
42	
43	
44	
45	
46|47	9
48	
49	
50	
51	
52|53	10
54|55	11
56|57	12
58|59	13
60	
61	
62	
63	
64	
65|66	14
67	
68	
69	
70|71	15
72|73	16
74	
75	
76|77	17
78|79	18
80	
81	
82	
83|84	19
85	
86|87	20
88	
89	
90	
91	
92	
93	
94	
95	
96	
97	
98	
99	
100	
101	
102	
103	
104	
105	
106	
107|108	21
109	
110	
111	
112	
113	
114	
115	
116	
117	
118|119	22
120	
121	
122|123	23
124	
125	
126	
127|128	24
129	
130	
131	
132	
133	
134|135	25
136	
137	
138	
139	
140	
141|142	26
143	
144|145	27
146	
147|148	28
149	
150	
151|152	29
153	
154	
155	
156	
157	
158	
159|160	30
161	
162	
163	
164	
165	
166	
167|168	31
169	
170	
171	
172	
173	
174	
175	
176	
177	
178	
179	
180	
181|182	32
183	
184	
185|186	33
187	
188	
189	
190	
191	
192	
193	
194|195	34
196	
197|198	35
199|200	36
201	
202	
203	
204	
205	
206|207	37
208	
209	
210	
211	
212	
213	
214	
215	
216	
217	
218	
219	
220|221	38
222	
223	
224	
225	
226|227	39
228	
229	
230	
