A	B
	0
0	1|2
1	3
2	4
3	5
4	6
5	7
6|7	8
8	9
9	10
10	11
11	12
12	13|14
13	15
14	16
15	17
16	18
17	19|20
18|19	21
20|21	22
22|23	23
24	
25|26	24
27	25
28	26|27
29	28
30|31	29
32	30
33|34	31
35	32|33
36	34
37	35
38	36
39	37|38
40	39
41	40
42|43	41
44	42
45	43
46	44
47	45
48|49	46
50	47
51	48
52	49
53|54	50
55	51
56	52
57	53
58	54
59	55
60	56
61|62	57
63|64	58
65|66	59
67	
68	
69	60
70|71	61
72	62
73|74	63
75	64
76|77	65
78	66
79|80	67
81	68
82	69
83	70
84	71
85	72
86|87	73
88|89	74
90	75
91	76
92	77
93	78
94	79
95|96	80
97	81
98	82
99	83
100	
101	84|85
102	86|87
103	88
104	89
105	90
106	91
107	92
108	93
109	94
110	95
111	96
112|113	97
114	98
115	99
116	100
117	101
118	102
119	103
120	104
121	105
122	106
123|124	107
125	108
126	109
127	110
128|129	111
130	112
131	113
132	114
133	115
134	116
135	117
136	118
137	119
138	120
139	121
140	122|123
141	124|125
142	126
143|144	127
145|146	128
147	129
148	130
149	131
150|151	132
152	133|134
153	135
154	136
155	137
156	138
157|158	139
159|160	140
161|162	141
163|164	142
165	143
166	144
167	145
168|169	146
170|171	147
172	148
173	149
174	150
175	151
176	152
177|178	153
179	154
180|181	155
182|183	156
184|185	157
186	158
187	159
188	160
189|190	161
191	162
192	163
193	164
194	165
195	166|167
196	168
197|198	169
199	170
200	171
201|202	172
203	173
204	174
205	175
206	176
207	177|178
208	179
209	180
210	181
211	182
212|213	183
214	184|185
215	186
216	187
217	188
218	189
219	190
220	191
221|222	192
223	193|194
224	195
225	196
226	197
227	198
228|229	199
230	
