A	B
0	0|1
1	2
2	3
3	4
4	5
5|6	6
7	7
8	8
9	9
10	10
11	11
12|13	12
14|15	13
16|17	14
18	15
19	16|17
20	18|19
21	20|21
22	
23|24	22
25	23
26	24
27	25
28|29	26
30|31	27
32	28
33	29
34|35	30
36	31
37	32
38	33
39	34
40	35
41	36
42	37
43|44	38
45	39|40
	41
	42
46	43|44
47	45|46
48	47
49	48
50	49
51	50
52	51|52
53	53
54	54
55	55
56	56
57	57
58|59	58
60	59
61	60
62|63	61
64|65	62
66|67	63
68	64
69	65
70	66|67
71|72	68
73	69
74	70
75	71
76	72
77	73
78	74
79	75
80	76
81	77
82|83	78
84	79
85	80
86	81
87	82
88	83
89	84
90|91	85
92|93	86
94	87|88
95	89
96|97	90
98	91
99|100	92
	93
101|102	94
103|104	95
105	96
106	97
107	98
108|109	99
110	100
111	101
112	102|103
113	104
114	105
115|116	106
117	
118|119	107
120|121	108
122	109
123|124	110
125|126	111
127	112
128	113|114
129	115
130	116|117
131	118
132|133	119
134	120
135|136	121
137	122|123
138	124
139	125
140	
141	
142|143	126
144|145	127
146	128|129
147|148	130
149	131
150	132|133
151	134
152	135
153	136
154	137
	138
155|156	139
157|158	140
