A	B
	0
	1
0|1	2
2	3
3	4
4|5	5
6|7	6
8	7|8
9	9|10
10	11
11	12
12|13	13
14	14
15	15
16|17	16
18	17
19	18
20	19|20
	21
21	22|23
22	24
23	
24|25	25
26	26
27	27|28
28	29
29	30
30|31	31
32|33	32
34	33|34
35	35
36	36
37	37
38|39	38
40	39
41	40
42	41
43	42
44	43
45	44|45
46	46|47
47	48
48	49|50
49	51|52
50	53
51|52	54
53	55
	56
54	57|58
55	59|60
56	61|62
57	63
58|59	64
60|61	65
62	
63|64	66
65|66	67
67|68	68
69|70	69
71	70|71
72|73	72
74	
75	73
76	74
77	75
78|79	76
80|81	77
82|83	78
84	79
85	80|81
86	82
87	83
88	84
89|90	85
91	86
92	87
93	88
94	89|90
95	91
96	92
97	93
98	94|95
99	96
100	97
101|102	98
103|104	99
105	
106	100
107|108	101
109	102
110	103
111	104
112	105|106
113	107|108
114	109
115	110
116	
117	
118|119	111
120	
121|122	112
123|124	113
125	
126|127	114
128	115
129	116
130	117|118
131	119
132|133	120
134	121
135	122
136	123
137	124|125
138	126
139	127
140	
141	
142|143	128
144	
145|146	129
147	130|131
148	132
149	133
150	134|135
151	136
152	137|138
153	139
154	140
	141
155	142|143
156	144
157|158	145
	146
