A	B
0	0|1
1	2|3
2	4
3	5
4	6
5	7
6	8
7	9
8	10|11
9	12
10	13
11	14
12	
13|14	15
15	
16	16
17	17
18|19	18
20	19|20
21	21|22
22	23
23|24	24
25	25
26	26
27	27|28
28	29
29	30
30	31
31|32	32
33	33|34
34	35
35	36
36	37
37	38
38	39
39	40
40	41
41	42
42	43
43	44
44	45
45	46|47
	48
46	49|50
47	51
48|49	52
50|51	53
52	54
53	55
54|55	56
56	57|58
57	59
58|59	60
	61
60|61	62
62|63	63
64	64
65|66	65
67|68	66
69	67
70	
71	
72|73	68
74	
75|76	69
77	70
78|79	71
80	
81	
82|83	72
84	73
85	74
86	75
87	76
88	77|78
89	79
90	80
91	81
92	82|83
93	84
94	85|86
95	87
96	88
97	89
98	90|91
99	92
100	93
101|102	94
103	95
104	96
105	97
106	98
107|108	99
109	
110|111	100
112|113	101
114	102
115	103
116	
117|118	104
119	105
120|121	106
122|123	107
124	108
125|126	109
127	110
128|129	111
130|131	112
132	
133	113
134	114
135	115
136	116
137|138	117
139	118
140	
141|142	119
143	120
144	121
145|146	122
147	123|124
148	125
149	126
150	127
151|152	128
153	129
154	130
155	131
156|157	132
158	133|134
