A	B
	0
	1
0	2
1|2	3
3|4	4
5	5
6|7	6
8	7|8
9	9
10	10
11|12	11
13	
14|15	12
16	13
17	14
18|19	15
20	16|17
21	18|19
22	20
23|24	21
25	22|23
26	24
27	25|26
28	27
29	28
30|31	29
32	30
33	31|32
34|35	33
36	34
37	35
38|39	36
40	37
41	38|39
42	40
43|44	41
45	42|43
46	44|45
47|48	46
49	47
50	48
51	49
52	50|51
53	52
54	53
55	54
56	55|56
57	57
58|59	58
60	59
61|62	60
63	61
64	62
65	63
66	64
67	65
68	66|67
69	68
70	69
71	70
72	71
73|74	72
75	73
76|77	74
78	75
79	76
80|81	77
82|83	78
84	79
85	80
86	81
87	82
88	83|84
89	85
90	86
91	87
92	88
93	89|90
94|95	91
96	92
97	93
98	94|95
99	96
100|101	97
102	98
103|104	99
105	100
106	101
107|108	102
109|110	103
111	104
112	105
113	106|107
114	108
115	109
116|117	110
118	111
119	112
120	113
121	114
122|123	115
124	116
125|126	117
127	118|119
128	120|121
129	122
130	123
131	124
132|133	125
134|135	126
136	
137	127|128
138	129
139|140	130
141|142	131
143|144	132
145|146	133
147	134
148	135
149	136
150	137
151	138
152	139
153	140
154	141
155	142|143
156	144
157|158	145
