A	B
0	0
1	1|2
2	3|4
3	5
4	6
5|6	7
7	8
8|9	9
10	10
11	11
12|13	12
14|15	13
16|17	14
18	
19|20	15
21	16
22	17
23|24	18
25	19|20
26	21
27	22|23
28|29	24
30	25
31	26
32	27
33	28
34	29
35	30
36	31
37	32
38	33
39	34
40	35
41	36|37
42|43	38
44	39
45	40|41
46	42|43
47	44|45
48	46
49	47
50	48
51	49|50
52	51|52
53	53
54	54|55
55	56
56	57
57	58
58	59
59	60|61
60|61	62
62|63	63
64	
65|66	64
67	
68|69	65
70	66|67
71	68
72	69
73	70
74	71
75|76	72
77	73|74
78	75
79	76
80|81	77
82|83	78
84	79
85	80
86	81
87	82
88	83
89	84
90	85|86
91	87
92|93	88
94	89
95|96	90
97	91
98	92
99	93
100	94|95
101|102	96
103	97
104|105	98
106	
107|108	99
109	
110	100
111	101
112	102
113|114	103
115	
116	
117	
118|119	104
120	105
121	106
122	107
123	108
124	109
125|126	110
127	111
128	112
129	113
130|131	114
132|133	115
134	
135|136	116
137	117|118
138	
139|140	119
141	
142|143	120
144	121
145|146	122
147	123|124
148	125
149	126
150	127|128
151	129
152	130
153	131
154	132
	133
155	134|135
156	136
157|158	137
