0|1	Postquam auxiliante Deo compleuimus |primam partem huius primi libri, 	Iiençant la aĩuda diuina hauem acabada la primera part de aquest primer libre. 	0
2	in quo agitur de regimine sui, 	lo qual tracta del regiment de simateix 	1
3|4	ostendentes in quo Reges et Principes |suam felicitatem debeant ponere, 	mostrãt en q̃ los Reys e Princeps deuen posar sa felicitat. 	2
5|6	quia non decet |eos suum finem ponere in diuitiis, 	Car no la ḋuen posar en riquesas 	3
7	nec in ciuili potentia, 		
8|9	nec in aliquibus talibus, |sed omnibus his 	ne en ꝑotẽcia ciuilne en altras cosas tals. 	4
10|11	(ut supra plenius probabatur) |debent 	ans de aquellas segons damunt es prouat deuen xsar 	5
12	uti tanquam organis ad felicitatem. 	com de instruments a felicitat. 	6
13|14	Suam autem felicitatem ponere debent |in actu prudentiae, 	Mas la sua felicitat deue posar en obra de prudencia 	7
15	prout talis actus est imperatus a charitate: 	segons es manada per caritat. 	8
16|17	nam tunc Reges habent felicitatem suo statui debitam, |et condignam, 	car lauors los Reys han felicitat condigna a son 	9
18|19	quando instigante Dei dilectione |secundum prudentiam regitiuam, 	stat:quant in¬stigant la amor diuina segons prudencia regitius 	10
20	gentem sibi commissam secundum legem, 	ley:ereo regexen lo poble quils es comanat sanctament 	11
21	et rationem sancte, et iuste regant. 	e iusta segõsdamunt bauem dit. 	12
22	Principaliter ergo Regum felicitas ponenda est in ipso Deo, 	Donchs principalment felicitat deu es¬ler posada en 	13
23|24	et ex cognitione et dilectione eius studium suum, |et vitam suam ad hoc ordinare debet, 	deu.ço es que per conaxença e dileccio de aq̃lllo leu studi e xida deuen ordenar a amar 	14
25	ut cognoscentes, et diligentes Deum, 	e coneixer deu 	15
26	tanquam veri ministri eius 	e coa utaders ministres seꝰ segõs orde de rao regescan lo 	16
27	secundum ordinem rationis dirigant Populum sibi commissum. 	poble.did. 	17
28	His ergo itaque peractis, 	quils es 	18
29	et ostenso in quo Reges ponere debeant 	comanat.¶ Aquestas cosas axi cõplidas e mostraten |que los Reys deuen posar la sua felicitatsegons 	19|20
30|31	suum finem |secundum ordinem superius praetaxatum, 	damũtes posat en lo capitol 	21
32|33	restat ostendere |quibus virtutibus Reges pollere debeant. 	ferç:resta a mostrar de quals xirtuts deuen esser ornats. 	22
34|35	Virtutes autem quaedam sunt quidam ornatus, |et quaedam perfectiones animae. 	Car las xirtuts son alguns ornamentse perfeccĩons dela 	23
36	Oportet ergo prius ostendere, 	anĩma.Primerament donchs es necessari mostrar 	24
37	quot sunt potentiae animae, 	quantas son las potencias dela anima. 	25
38	et in quibus potentiis habent esse virtutes. 	e en qualspotẽcias han acsser las 	26
39|40	Consequenter autem manifestabitur, |quomodo virtutes sunt distinguendae. 	uirtuts.Se gonamẽt sera dit: 	27
41|42	Postea vero ostendemus, |quot sunt numero huiusmodi virtutes, 	cõduẽesser distinctas las xirtuts. Terçament mostrarẽ quãtas son per nombre aquestas 	28
43|44	et quae illarum sunt principales, |et secundariae. 	xirtus.e quals son principals e meys prĩcipals. Quartamẽt 	29
45	Deinde autem declarabitur singulariter, 	e derrera sera declarat enspecial 	30
46|47	quae sit unaquaeque illarum virtutum, |et quomodo decet Reges, 	qual es cascuna de aquellas uirtuts 	31
48	et Principes tales virtutes habere. 	e cõ los Reys e. Princeps õuen hauer tals |xirtuts.¶La pͥmera q̃ es necesfari moitrar quãtas 	32|33
49	Potentiae autem animae sic distingui possunt, 	sõ las potẽcias ḋla aĩa axis proua. |Las potẽcias podẽ esser distĩctas en quatre moñras 	34|35
50|51	quia potentiae animae quaedam sunt naturales, |quaedam cognitiuae sensitiuae, 	car algunas son naturals altras cognitiuas sensitiuas altras xoluntarias. 	36
52|53	quaedam appetitiuae, |et quaedam intellectiuae. 	altras 	37
54	Naturales potentiae sunt illae, 	in¬tellectuals.¶Las potencias naturals son aquellas 	38
