0|1	Postquam auxiliante Deo compleuimus |primam partem huius primi libri, 	Epus q̃ deus auidãt hauẽ cõplida la pͥmã ꝑtida da q̃st pͥmer libre 	0
2	in quo agitur de regimine sui, 	en lo qͥl es tractar del uirtuts. 	1
3|4	ostendentes in quo Reges et Principes |suam felicitatem debeant ponere, 	regimẽt desimatex demostrãt en qͣ̈l cosa los Reys els pͥnceps degen posar la sua benauẽturança. 	2
5|6	quia non decet |eos suum finem ponere in diuitiis, 	Quar nos ꝑtãy dells posar la sua 	3
7|8	nec in ciuili potentia, |nec in aliquibus talibus, 	si en riq̃hes ne enpotencia ciuil/ 	4
9	sed omnibus his 		
10	(ut supra plenius probabatur) 		
11|12	debent |uti tanquam organis ad felicitatem. 	ne en alc̾s coses aytals ans de cots coses aytals segons q̃ damũt era ꝓuat deuẽ usar axi cõ dorgues o de instrumens abenauẽturanca/ 	5
13|14	Suam autem felicitatem ponere debent |in actu prudentiae, 	Mas la sua benauẽturãça deuẽ posar en fer o en obra deprudẽcia 	6
15	prout talis actus est imperatus a charitate: 	o desauieasegons q̃ tal fer oral obra es manada ꝑ caritat/ 	7
16	nam tunc Reges habent felicitatem suo statui debitam, 	Quar lauos los Reys han benauẽturãca deguda 	8
17	et condignam, 	e cõdigͤal lur estament 	9
18	quando instigante Dei dilectione 	quan ells ꝑ instigacio dela amor de deusegõs sauiea 	10
19	secundum prudentiam regitiuam, 	o segõs pruden̾cia regitiua esegons ley 	11
20|21	gentem sibi commissam secundum legem, |et rationem sancte, et iuste regant. 	e segons raho regexẽ lagent quils ͤ comanada santamẽt eiustament. 	12
22	Principaliter ergo Regum felicitas ponenda est in ipso Deo, 	Donq̃s pͥncipalment la benauenturança dels Reys deu esser posada en deu axi q̃ 	13
23	et ex cognitione et dilectione eius studium suum, 	per couexença e ꝑ dilectio dell lur estudi 	14
24|25	et vitam suam ad hoc ordinare debet, |ut cognoscentes, et diligentes Deum, 	e lur uida studien ordonar a aço q̃ ells conexent 	15
26|27	tanquam veri ministri eius |secundum ordinem rationis dirigant Populum sibi commissum. 	e amant deu axi cõ au̾rades ministres o au̾tades ẜutdos seus segõs orde de raho endreçen o regesq̃n lo poble qͥls comanar/ aq̃stes coses donq̃s axi cõplides/. 	16
28	His ergo itaque peractis, 		
29|30	et ostenso in quo Reges ponere debeant |suum finem 	E de mostrar en qual cosa los Reys deuen posar la sua 	17
31	secundum ordinem superius praetaxatum, 		
32|33	restat ostendere |quibus virtutibus Reges pollere debeant. 	si segõs lorde damũt posat en lo.c.iii. Roman a demostrar de quals uirtuts los Reys degen resplendir 	18
34	Virtutes autem quaedam sunt quidam ornatus, 	quar les uirtuts son algũ ornament 	19
35	et quaedam perfectiones animae. 		
36	Oportet ergo prius ostendere, 		
37|38	quot sunt potentiae animae, |et in quibus potentiis habent esse virtutes. 	e algunes ꝑfeccions dela aĩa ¶Pͥmerament donques coue a demostrar quãtes son les potẽcies dela aĩa e en qͣls potẽcies han ꝑsser les uirtuts/ 	20
39|40	Consequenter autem manifestabitur, |quomodo virtutes sunt distinguendae. 	Empero ap̾s sera maĩfestat en qͣl manera les uirtuts deuẽ eẽr deꝑtides/ ¶Enapͥs nos demostrarẽ quãtes son per nõbre aq̃stes uirtuts¶S quals da quells son pͥncipals 	21
41	Postea vero ostendemus, 		
42	quot sunt numero huiusmodi virtutes, 		
43|44	et quae illarum sunt principales, |et secundariae. 	e qualsson secundaries o meỹs pͥncipals 	22
45	Deinde autem declarabitur singulariter, 	E finalmẽt sera declarat en especial q̃l 	23
46	quae sit unaquaeque illarum virtutum, 	sia q̃scuna daq̃lls uirtuts 	24
47|48	et quomodo decet Reges, |et Principes tales virtutes habere. 	E enqͣl mana̾ se ꝑtaỹ dels Reys e dels pͥnceps hau̾ tals 	25
49	Potentiae autem animae sic distingui possunt, 	uirturs¶Les potencies dela aĩa poden esser deꝑtides en aq̃sta 	26
50|51	quia potentiae animae quaedam sunt naturales, |quaedam cognitiuae sensitiuae, 	man̾a¶Quar algunes sõ nãls ¶Algunes cog̾tiues o conexedores sensitiues 	27
52	quaedam appetitiuae, 	¶Alguñsappetitiues o uolũtaries/ 	28
53|54	et quaedam intellectiuae. |Naturales potentiae sunt illae, 	E alt̾s entellectuals ¶les potẽcies n̾als son aq̃lls en les qͣls nos ꝑtiçipã 	29
55	in quibus communicamus cum vegetabilibus, et plantis, 	ab les coses qui han uida |e ab les plantes 	30|31
56	ut potentia nutritiua, augmentatiua, generatiua, 	axicõ es potẽcia nucͥtiua/ crescitiua 	32
57	et talia quae etiam ipsis arboribus competunt. 	e gen̾atiua eles alt̾s aurals qͥaximatex couenen als arbres 	33
58	Potentiae vero cognitiuae sensitiuae, 	¶Mas les potencies conexedor̃s sensitiues son la uista 	34
59	sunt visus, gustus, auditus, et talia, 	lo gustar ol tascar lo tochar |e les altres ayrals 	35|36
60|61	in quibus communicamus cum brutis. |Appetitiuae vero distinguuntur: 	en los quals nos comunament ꝑticipã ab les besties brutals ¶Mas les potencies appetiues o uolenteroses son deꝑtides/. 	37
62	nam quidam appetitus est in homine, 	Quar algũ appetimẽt o alguna uoluntat es en hõ 	38
63|64	in quo non communicat cum brutis, ut est appetitus sequens intellectum: |quidam vero in quo communicat cum eis, 	en lo qͣl ell no ꝑticipa 	39
65|66	ut appetitus sequens sensum. |Appetitus autem sequens sensum potest 	ab les besties 	40
67|68	nominari sensualitas: |sequens intellectum nominatur voluntas: 	brutals/ 	41
69|70	secundum quem modum loquendi bruta habent sensualitatem, |et appetitum sensitiuum, 	axi cõ es lappetumnent o la uoluntat q̃ seguer lenteniment 	42
71|72	sed non habent voluntatem, et intellectum. |Virtutes ergo, 	Mas algũ alcre es en lo qual ell ꝑticipa ab ells axi cõ 	43
73	de quibus loqui intendimus, 	es lappetiment o lauolũtat 	44
74	quae sunt quidam habitus laudabiles, 	qui segueyx lo senycorꝑal pot eẽr appellat sensualitat/ 	45
75	vel erit in potentiis naturalibus, 	En aq̃ll qui seguex lentenimẽt sia appellat uolũtat¶Segõs la qͣlmanera de parlar les besties brutals han sensualitat e appetimẽt sensitiu/ 	46
76	vel in ipsis sensibus, 	Mas no han uoluntat 	47
77|78	vel in appetitu sensitiuo, |vel in appetitu intellectiuo, 	co es assaber appetiment intellectiu ¶Donq̃s les uirtuts dels quals nos entenẽ aꝑlar 	48
79|80	vel in ipso intellectu, |vel in omnibus his, 	qui sõ alguns habits o concebimẽs dignes de lahor 	49
81|82	vel in aliquibus horum. |In potentiis autem naturalibus esse non possunt, 	o seran en les potẽcies n̾als/ o en les potençies sensitiues/ o enlappetiment sensitiu o en lappetiment incellectiu o en lentemment o entot̃s aq̃stes potẽcies o en algunes daq̃stes. En les potencies n̾als no poden eẽr 	50
83|84	quod tripliciter patet. |Primo, quia ex naturalibus nec laudamur, 	la qual cosa entres ma̾es es manifesta ¶pͥmerament per tal cõ 	51
85	nec vituperamur 	per les potẽcies 	52
86	nullus enim dicitur <pb n="45"/> 	nãls no son lohars ne uituꝑars qͣr negũ 	53
