0|1	Postquam auxiliante Deo compleuimus |primam partem huius primi libri, 	A ꝑui chenoi auiamo iuseguiato a laude didio nella prima ꝑte di questo liro 	0
2	in quo agitur de regimine sui, 		
3|4	ostendentes in quo Reges et Principes |suam felicitatem debeant ponere, 	che li Re elli principi sono ingraçia 	1
5	quia non decet 		
6	eos suum finem ponere in diuitiis, 		
7	nec in ciuili potentia, 		
8	nec in aliquibus talibus, 		
9	sed omnibus his 		
10	(ut supra plenius probabatur) 		
11|12	debent |uti tanquam organis ad felicitatem. 	quando eglino amano dio. 	2
13|14	Suam autem felicitatem ponere debent |in actu prudentiae, 	Eꝑ lamore didio 	3
15|16	prout talis actus est imperatus a charitate: |nam tunc Reges habent felicitatem suo statui debitam, 	sichome buoni sergienti e leaglieglio attendono aghouernare samamẽte lopoplo sicondo leggie eragione. 	4
17	et condignam, 	Noi diremo 	5
18|19	quando instigante Dei dilectione |secundum prudentiam regitiuam, 	che uirtu li Re elli principi de bono auere 	6
20|21	gentem sibi commissam secundum legem, |et rationem sancte, et iuste regant. 	Et imꝑo chele uirtu fano lanima ꝑfetta. 	7
22	Principaliter ergo Regum felicitas ponenda est in ipso Deo, 		
23|24	et ex cognitione et dilectione eius studium suum, |et vitam suam ad hoc ordinare debet, 	Econuiene p̾meramente sapere 	8
25|26	ut cognoscentes, et diligentes Deum, |tanquam veri ministri eius 	quante potençe lamina a 	9
27	secundum ordinem rationis dirigant Populum sibi commissum. 		
28	His ergo itaque peractis, 		
29|30	et ostenso in quo Reges ponere debeant |suum finem 	e chomelouirtu delle buone huopredebono essare fatte. 	10
31|32	secundum ordinem superius praetaxatum, |restat ostendere 	Et ap̃sso noi diremo 	11
33|34	quibus virtutibus Reges pollere debeant. |Virtutes autem quaedam sunt quidam ornatus, 	chomesi de diuisare le uirtu delle buone huopre 	12
35	et quaedam perfectiones animae. 	e quante ne sonno. 	13
36|37	Oportet ergo prius ostendere, |quot sunt potentiae animae, 	Epoi noi diremo di craschuna 	14
38|39	et in quibus potentiis habent esse virtutes. |Consequenter autem manifestabitur, 	quale ella e etchome li Rs elli principi debono auere tale uirtu. 	15
40	quomodo virtutes sunt distinguendae. 		
41	Postea vero ostendemus, 	Et diremo le 	16
42|43	quot sunt numero huiusmodi virtutes, |et quae illarum sunt principales, 	quale sonno pui principale dellaltre. 	17
44	et secundariae. 		
45|46	Deinde autem declarabitur singulariter, |quae sit unaquaeque illarum virtutum, 	Donde luomo de sapere 	18
47	et quomodo decet Reges, 		
48|49	et Principes tales virtutes habere. |Potentiae autem animae sic distingui possunt, 	che lauima sia .iiii. manie¬re di potencie. 	19
50	quia potentiae animae quaedam sunt naturales, 		
51	quaedam cognitiuae sensitiuae, 		
52	quaedam appetitiuae, 		
53|54	et quaedam intellectiuae. |Naturales potentiae sunt illae, 	⟦Luuqͥ soeͣ naturale fich⟧. 	20
55	in quibus communicamus cum vegetabilibus, et plantis, 		
56	ut potentia nutritiua, augmentatiua, generatiua, 		
57	et talia quae etiam ipsis arboribus competunt. 		
58|59	Potentiae vero cognitiuae sensitiuae, |sunt visus, gustus, auditus, et talia, 	Lune sonno naturagli	21
60|61	in quibus communicamus cum brutis. |Appetitiuae vero distinguuntur: 	si chome la uirtuche notriscie. ella uirtu 	22
62|63	nam quidam appetitus est in homine, |in quo non communicat cum brutis, ut est appetitus sequens intellectum: 	cho acrescie. ela uirtu 	23
64|65	quidam vero in quo communicat cum eis, |ut appetitus sequens sensum. 	che ingenera . Laltre potençie delamma sono coquoscienti. 	24
66|67	Appetitus autem sequens sensum potest |nominari sensualitas: 	Sichome el uedere il ghustare	25
68	sequens intellectum nominatur voluntas: 		
69	secundum quem modum loquendi bruta habent sensualitatem, 		
70|71	et appetitum sensitiuum, |sed non habent voluntatem, et intellectum. 	e lo tocchare eglialtasençi delluomo. 	26
72	Virtutes ergo, 		
73	de quibus loqui intendimus, 		
74|75	quae sunt quidam habitus laudabiles, |vel erit in potentiis naturalibus, 	¶Unaltra potença dellamina 	27
76	vel in ipsis sensibus, 		
77	vel in appetitu sensitiuo, 		
78	vel in appetitu intellectiuo, 		
79	vel in ipso intellectu, 		
80	vel in omnibus his, 		
81|82	vel in aliquibus horum. |In potentiis autem naturalibus esse non possunt, 	e chesi chiama lontellecto: Lal.¬tre potençe dellanima sonno dette potençe desiderose. 	28
83	quod tripliciter patet. 		
84|85	Primo, quia ex naturalibus nec laudamur, |nec vituperamur 	Donde luna sie nominatauolonta 	29
86	nullus enim dicitur <pb n="45"/> 		
87	bonus homo 		
88|89	ex eo quod habeat digestiuam bonam, |vel bonam augmentatiuam. 	che e desidero delintellecto. 	30
90|91	Secundo, in talibus non habent esse virtutes: |quia virtus est aliquid 	elaltre sie detta desidero delli .u. sensi deluomo 	31
92|93	secundum rationem, |ut probari habet 2 Ethic’. 	E potiamo prouare ꝑ .iij. 	32
94	Potentiae autem naturales 		
95	(secundum quod huiusmodi) 		
96	rationi non obediunt: 		
97	nam siue quis ratiocinetur, 		
98|99	siue velit, |non propter hoc 	ragioni 	33
100	(per se loquendo) 		
101|102	potentiae naturales variantur |in actibus suis, 	chele uertu delle buone huopre 	34
103	sed semper secundum modum sibi possibilem suas actiones efficiunt. 		
104	Tertio, in talibus potentiis non sunt habitus, et virtutes, 		
105|106	qui habitus sunt |ad determinandum potentias, 	che noi ac¬quisciamo ꝑ 	35
107	ut bene vel male agant, 		
108	ut per habitus vitiosos determinatur potentia 		
109|110	ad agendum male, per virtuosos ad agendum bene: |cum ergo natura sit determinata ad unum, 	acchostumare a 	36
111|112	et potentiae naturales sufficienter determinentur ad agendum, |ex natura sua secundum eas nec sumus vitiosi, 	choscumi del ben fare nõ sonno gia potençie delanima naturagli ne de .u. sensi delluomõ ¶La primiera ragione sie ꝑo cheꝑle uertu delle buone huopre/ 	37
113|114	nec virtuosi, |ut hic de vitio, 	esi de lodare luomo 	38
115|116	et virtute loquimur: |quare in eis huiusmodi virtutes esse non possunt. 	quando egli la/.	39
117|118	His ergo tribus rationibus, |per quas probatum est virtutes 	Ebiasimare¬quando egli a il contraro 	40
119	non esse in potentiis naturalibus, 		
120|121	probari potest eas non esse in cognitione sensitiua, |siue in potentiis sensitiuis. 	Ma ꝑlo bene notrire. ne ꝑbene essare cresento. neꝑ ben uedere. ne ꝑ sentire. uermio nõ de essare principalimente ne biasimato ne¬ lodato. 	41
122	Nam sicut non laudamur, 		
123|124	nec vituperamur ex potentiis naturalibus: |sic non laudamur, 	se enoñe chosi 	42
125	nec vituperamur ex sensibus. 		
126	Nam sicut nullus laudatur 		
127|128	tanquam bonus homo, |ex eo quod bene digerit, 	che ꝑ troppo bere 	43
129|130	vel bene crescit: |sic non laudatur 	e/ ꝑ troppo mangiare 	44
131|132	ex eo quod acute videt, |vel subtiliter audit, 	egui abbi acꝗscatomalatie ꝑle 	45
133	nisi forte hoc esset per accidens, 		
134	ut si quis ex superflua comestione, 		
135|136	vel ex nimia potatione |incurrisset ophthalmiam oculorum, 	quali tale uertu sonno impedite sopra loro huopre. 	46
137	ne bene videret, 		
