0|1	Postquam auxiliante Deo compleuimus |primam partem huius primi libri, 	Pres que par laide de dieu auons acompli la premiere partie de ce liure 	0
2	in quo agitur de regimine sui, 	ou quel traicte du regime de soy mesmeᷤ demonstrans 	1
3|4	ostendentes in quo Reges et Principes |suam felicitatem debeant ponere, 	en quoy les rois et princes doiuẽt mettreleur felicite 	2
5	quia non decet 		
6	eos suum finem ponere in diuitiis, 		
7|8	nec in ciuili potentia, |nec in aliquibus talibus, 	car il ne doiuent pas mettre leur fin en richesses ne en ciuile puissance ne en autres telles choses. 	3
9|10	sed omnibus his |(ut supra plenius probabatur) 	mais comme dauantest prouue plus plainemẽt ilz doiuẽt user de toutes ces choses 	4
11|12	debent |uti tanquam organis ad felicitatem. 	aussi cõme des orgãnes ou instrumẽs a leur felicite acqueire 	5
13|14	Suam autem felicitatem ponere debent |in actu prudentiae, 	mais doiuẽtmettre felicite ou fait de prudence cõmande de chante	6
15|16	prout talis actus est imperatus a charitate: |nam tunc Reges habent felicitatem suo statui debitam, 	car adoncq̃sont les roys felicite deue 	7
17	et condignam, 	et condigne a leur estat 	8
18	quando instigante Dei dilectione 		
19	secundum prudentiam regitiuam, 		
20|21	gentem sibi commissam secundum legem, |et rationem sancte, et iuste regant. 	quãt eulx emeuz de lamour de dieu gouuernẽt la gent a eulx cõmise selon prudẽce et selon la loy et raison saintemẽt et iustemẽt. 	9
22|23	Principaliter ergo Regum felicitas ponenda est in ipso Deo, |et ex cognitione et dilectione eius studium suum, 	doncques principalemẽt en dieu doit estre mise la felicite des roys et eulx meuz de la congnoissance et amour de dieu leur estude et leur uie doiuẽt ordõneza 	10
24|25	et vitam suam ad hoc ordinare debet, |ut cognoscentes, et diligentes Deum, 	ce que en congnoissant et aymẽt dieu. 	11
26|27	tanquam veri ministri eius |secundum ordinem rationis dirigant Populum sibi commissum. 	aussi cõme ses uraiz mĩstresilz puissent gouuerner le peuple a eulx cõmis selon lordre de raison 	12
28	His ergo itaque peractis, 	Ces choses doncques dauãt mises et monstre 	13
29|30	et ostenso in quo Reges ponere debeant |suum finem 	en quoy le roy doit mettre sa fin. 	14
31|32	secundum ordinem superius praetaxatum, |restat ostendere 	Reste maintenãt demonstrez selon lordre dauãt notee 	15
33	quibus virtutibus Reges pollere debeant. 	quelles uertuz les roys doiuẽt auoir. 	16
34|35	Virtutes autem quaedam sunt quidam ornatus, |et quaedam perfectiones animae. 	Et pourtant que les uertuz sõtornemẽt et ꝑfection de lame 	17
36	Oportet ergo prius ostendere, 	il cõuient premieremnẽt demonstrez 	18
37	quot sunt potentiae animae, 	quãtes sont les puissances de lame 	19
38	et in quibus potentiis habent esse virtutes. 	et es quelles sont les uertuz. 	20
39	Consequenter autem manifestabitur, 	Et consequẽtemẽt sera declaire 	21
40	quomodo virtutes sunt distinguendae. 	cõmẽt les uertuz sont distinguees ¶ 	22
41	Postea vero ostendemus, 	Apres demonsteron 	23
42	quot sunt numero huiusmodi virtutes, 	quantes sont ces uertuz en nombre 	24
43|44	et quae illarum sunt principales, |et secundariae. 	et les quelles sontprincipales 	25
