0|1	Postquam auxiliante Deo compleuimus |primam partem huius primi libri, 	Uis qe nous auõs enseigne alaided̃ dieu enla primiere partie d̃ ce uure 	0
2	in quo agitur de regimine sui, 		
3|4	ostendentes in quo Reges et Principes |suam felicitatem debeant ponere, 	q̃les Rois ⁊ les prĩces sont beneuurez 	1
5	quia non decet 		
6	eos suum finem ponere in diuitiis, 		
7	nec in ciuili potentia, 		
8	nec in aliquibus talibus, 		
9	sed omnibus his 		
10	(ut supra plenius probabatur) 		
11|12	debent |uti tanquam organis ad felicitatem. 	qãt il aimẽt dieu. ⁊ pour lamoͬrd̃dieu. sicome bons serganz ⁊ leausil tendent agouu̾nez sagem̃t le pueple selonc loy ⁊ raison. 	2
13	Suam autem felicitatem ponere debent 		
14	in actu prudentiae, 		
15	prout talis actus est imperatus a charitate: 		
16|17	nam tunc Reges habent felicitatem suo statui debitam, |et condignam, 	Nous dirons qeles u̾tuz les Rois ales prĩceᷤᷤdouuẽt auoir. 	3
18	quando instigante Dei dilectione 		
19|20	secundum prudentiam regitiuam, |gentem sibi commissam secundum legem, 	Et porce q̃ les u̾tuc: 	4
21|22	et rationem sancte, et iuste regant. |Principaliter ergo Regum felicitas ponenda est in ipso Deo, 	font laimue perfaite. 	5
23	et ex cognitione et dilectione eius studium suum, 		
24	et vitam suam ad hoc ordinare debet, 		
25|26	ut cognoscentes, et diligentes Deum, |tanquam veri ministri eius 	¶Il conuẽt. pͥmieremẽ sauoir 	6
27	secundum ordinem rationis dirigant Populum sibi commissum. 		
28	His ergo itaque peractis, 		
29|30	et ostenso in quo Reges ponere debeant |suum finem 	qantes puissãces lame.a. q es q̃les les u̾tu d̃bounes euures doiuent estre. ⁊ 	7
31	secundum ordinem superius praetaxatum, 		
32	restat ostendere 	ap̃s nous dirons 	8
33|34	quibus virtutibus Reges pollere debeant. |Virtutes autem quaedam sunt quidam ornatus, 	cõmẽt ⟦len⟧ len doit deuu̾it lesu̾ruz de bounes euures ⁊ 	9
35	et quaedam perfectiones animae. 		
36	Oportet ergo prius ostendere, 		
37|38	quot sunt potentiae animae, |et in quibus potentiis habent esse virtutes. 	qñtes il en soit. 	10
39	Consequenter autem manifestabitur, 		
40|41	quomodo virtutes sunt distinguendae. |Postea vero ostendemus, 	⟦Et⟧ 	11
42	quot sunt numero huiusmodi virtutes, 		
43|44	et quae illarum sunt principales, |et secundariae. 	Et ap̃s nous. dirons de chascune q̃le.ẽ. 	12
45	Deinde autem declarabitur singulariter, 		
46|47	quae sit unaquaeque illarum virtutum, |et quomodo decet Reges, 	Et comẽt les Rois ⁊li prĩce doiuẽt auoir teles u̾tu. ⁊ dirõsles qeles sũt plus principaus des autres. 	13
48|49	et Principes tales virtutes habere. |Potentiae autem animae sic distingui possunt, 	¶Dont len doit sauoir 	14
50|51	quia potentiae animae quaedam sunt naturales, |quaedam cognitiuae sensitiuae, 	qe la uinc.a.iii. maineres d̾ poissance. Leᷤunes sũt natureles 	15
52|53	quaedam appetitiuae, |et quaedam intellectiuae. 	si come lau̾tu q̃acroist. ⁊ la u̾tu qiengendre. 	16
54|55	Naturales potentiae sunt illae, |in quibus communicamus cum vegetabilibus, et plantis, 	¶Lesautres puissances d̾ lame sũt conuissans 	17
56|57	ut potentia nutritiua, augmentatiua, generatiua, |et talia quae etiam ipsis arboribus competunt. 	si come laueue. 	18
58|59	Potentiae vero cognitiuae sensitiuae, |sunt visus, gustus, auditus, et talia, 	¶Le goust⁊ latochemãt ales autres sens del home. 	19
60	in quibus communicamus cum brutis. 		
61|62	Appetitiuae vero distinguuntur: |nam quidam appetitus est in homine, 	¶Une autre poissãce d̾ laume. 	20
63|64	in quo non communicat cum brutis, ut est appetitus sequens intellectum: |quidam vero in quo communicat cum eis, 	Si ẽ qen apelle lentendim̃t. 	21
65|66	ut appetitus sequens sensum. |Appetitus autem sequens sensum potest 	¶Les autres possances d̾lame sõt. dites poissances qi d̾sirẽt. 	22
67|68	nominari sensualitas: |sequens intellectum nominatur voluntas: 	Dont lunssi est nomee uolente 	23
69	secundum quem modum loquendi bruta habent sensualitatem, 		
70|71	et appetitum sensitiuum, |sed non habent voluntatem, et intellectum. 	qi est desir delentendimẽt. ⁊ lautͣeͣ.ẽ. dite desir.v.sens delhome. 	24
72|73	Virtutes ergo, |de quibus loqui intendimus, 	¶Et poons ꝓuer pai.iii.raisons q̃ les uertus d̾ bounes euures	25
74|75	quae sunt quidam habitus laudabiles, |vel erit in potentiis naturalibus, 	qe nous aqerons per acostomãces d̾biẽ faire ne sont pas es poissãces d̾ lame natureles ne es.v. sens del home. ¶Lapͣmiere raisõ si . ẽ. qar pour les u̾tuz des bounes euuͬeᷤlendoit loer lome 	26
76	vel in ipsis sensibus, 		
77	vel in appetitu sensitiuo, 		
78	vel in appetitu intellectiuo, 		
79|80	vel in ipso intellectu, |vel in omnibus his, 	quãt ille sa ⁊ blaumez 	27
81	vel in aliquibus horum. 		
82	In potentiis autem naturalibus esse non possunt, 		
83	quod tripliciter patet. 	quant il .a. le contraire. 	28
84	Primo, quia ex naturalibus nec laudamur, 		
85|86	nec vituperamur |nullus enim dicitur <pb n="45"/> 	¶Mes. por bien norir. ne por biẽ estre acreu.ne porbiẽ ueoir. ne 	29
87|88	bonus homo |ex eo quod habeat digestiuam bonam, 	por biẽ sentir nul ne doit est̾e̾ pͥncipaum̃t ne blaumesne loeᷤ. sil nest auis q̃ par trop bouire⁊ trop mengier il .a. aqis maladie 	30
89|90	vel bonam augmentatiuam. |Secundo, in talibus non habent esse virtutes: 	parqoi teles u̾tuz sunt enpeschees en leureuures. 	31
91|92	quia virtus est aliquid |secundum rationem, 	¶Dont en celes puissances len ne doit pas metre les u̾tuz d̾ bounes cuures sont chose selonc. raison qͥ doiuent estre es/ poissances d̾lameqͥ obeissẽt araison. 	32
93|94	ut probari habet 2 Ethic’. |Potentiae autem naturales 	¶Mes les poissãces natureles. ne le .v. sens d̾ lame no beissent mie araison. 	33
95	(secundum quod huiusmodi) 		
96|97	rationi non obediunt: |nam siue quis ratiocinetur, 	Qar cler ueoir oyr mauuasemẽt ueoir nest pas prĩcipaumẽt en la poere de home. 	34
98|99	siue velit, |non propter hoc 	¶Qar se lihons amengie ⁊ ne uousist pas esteͬ ne acreu 	35
100	(per se loquendo) 		
101	potentiae naturales variantur 		
102|103	in actibus suis, |sed semper secundum modum sibi possibilem suas actiones efficiunt. 	si le norrim̃t.⁊ araistroiẽt lesu̾tu qi.ẽ. en lui sũt. 	36
104|105	Tertio, in talibus potentiis non sunt habitus, et virtutes, |qui habitus sunt 	¶Dout en ces ⁊poissances lenne doit pas metͬe les uertuz d̾bounes euures. 	37
106	ad determinandum potentias, 		
107	ut bene vel male agant, 		
108|109	ut per habitus vitiosos determinatur potentia |ad agendum male, per virtuosos ad agendum bene: 	¶La tierce Raison 	38
110|111	cum ergo natura sit determinata ad unum, |et potentiae naturales sufficienter determinentur ad agendum, 	si est qar les poissances natureles qles .v. sens d̾lome sõt encline ⁊ soufissam̃t par leur nature a fere ⁊leur euures: 	39
112|113	ex natura sua secundum eas nec sumus vitiosi, |nec virtuosi, 	Ne par els. nous ne somes ne bons ne mauues. 	40
114|115	ut hic de vitio, |et virtute loquimur: 	Mes les uertus des bounes euures enclinẽt les poissances de lame 	41
116|117	quare in eis huiusmodi virtutes esse non possunt. |His ergo tribus rationibus, 	ou elles sontabiẽ ⁊ faire. ⁊ les uices les enclinẽt. amal faire. 	42
118	per quas probatum est virtutes 		
119|120	non esse in potentiis naturalibus, |probari potest eas non esse in cognitione sensitiua, 	¶Dont les uertuz d̾bounes euures ne douuent pas estrezespoisances d̾ lame natureles ni es.v. sens de lome 	43
121	siue in potentiis sensitiuis. 		
122|123	Nam sicut non laudamur, |nec vituperamur ex potentiis naturalibus: 	qi par leur nature ⁊ sunt encline suffissament afaire leur euures: 	44
124|125	sic non laudamur, |nec vituperamur ex sensibus. 	Ce secũt chap̃. d̾lasecũte paͬtie.dũprimier liure. enseigne 	45
126	Nam sicut nullus laudatur 		
127|128	tanquam bonus homo, |ex eo quod bene digerit, 	com̃t les uͥtuz des bonnes euures sũt 	46
129|130	vel bene crescit: |sic non laudatur 	diuissces⁊com̃t eles sũt ou desir ⁊ en lentendim̃t del homouis 	47
131|132	ex eo quod acute videt, |vel subtiliter audit, 	qe nous auons moustre qelesutus des bounes : 	48
133|134	nisi forte hoc esset per accidens, |ut si quis ex superflua comestione, 	eures ne sũt pas. es poisances del home natureles mesu. sens del home. 	49
135|136	vel ex nimia potatione |incurrisset ophthalmiam oculorum, 	¶Nous dirons qeii. maineres d̾ uertus sunt les unes⁊qitendent prĩcipaum̃t aconoissanced̾ uerite. 	50
137|138	ne bene videret, |vel debilitatem stomachi, 	Si come la scienec des natures ⁊ astrononue. ⁊ les autoͣs sciences. 	51
139	ne bene digereret: 		
140	increparetur ille, 		
141|142	non quia male digerit, |vel quia non clare videt, 	¶Les autres uertus sunt per quous feissons bounes euures. 	52
143|144	quia clare videre, |et bene digerere 	lles acquirrons par acustumance d̾ bien faire. ⁊ sũt audsir d̾l home. 	53
145|146	(per se loquendo) |non est in potestate hominis: 	Si come iustice. atenprance force ⁊ d̾ bonerite ⁊les autres des q̃les nous dirons ci apres. 	54
147|148	sed increparetur ex nimio potu, |vel ex superfluo cibo, 	Et leirons les u̾tus qͥrendẽt prĩcipaum̃t aconoissance. d̾ uerite ⁊ dirons ⁊ des u̾tus per qinous faissons bouneᷤ euures. 	55
149|150	nam erat in potestate sua, |ut posset uti potu, 	Qar nous entendons prĩcipaum̃t par ceste science 	56
151	et cibo moderate. 	q̃ nous soios bons. 	57
152	Secundo in sensibus non est ponenda virtus moralis, 	Et dirons q̃ porce |qe le desir del home obeist araison 	58|59
153|154	quia sicut potentiae naturales non obediunt rationi, |quia secundum regulam rationis nullus magis, 	ciles uertud̾ bounes eiuires sũt chose selonc raison. 	60
155|156	vel minus augetur, |vel magis, et minus digerit: 	eles sũt el entenduñt d̾l homei endesir. 	61
157|158	sic nec sensus obediunt rationi, |non enim est in potestate hominis videre clarius, vel minus clare: 	¶Mes nous d̾uõs sauoir. q̃ d̾sir nest autre chose q̃ une enclinãce abiẽ auoir ou amal fair 	62
159|160	quare si virtus moralis est aliquid secundum rationem, |huiusmodi virtus in sensibus poni non debet. 	qi uient d̾ce q̃ lome conoist biẽ ⁊ mal. ⁊ poͣrce q̃ li hons. a .ii. conoissances. 	63
161	Tertio in talibus non est moralis virtus, 	¶Lune 	64
162|163	quia sicut potentiae naturales |sufficienter determinantur 	si est conoissance d̾lentẽdim̃t. 	65
164|165	ad actiones suas per suam naturam: |sic et sensus. 	¶Lautre si .ẽ. conoissãce. d̾ .u. 	66
166	Nam sicut ignis tantum calefacit, 	sẽs.Il.a. en soi .ii. d̾sir. |¶Qar qñt lentẽduñt conoist aucũ biẽ ou aucũmal il d̾sire aporsiure le biẽ ⁊ a fuir le mal.⁊⁊ tel d̾sir on apelle uolũte. 	67|68
167|168	quantum potest calefacere, |propter quod, quia determinatus est in actione sua, 	Et qnͣt par le .u. sens q̃ il. a couoist aucũbiẽ singuler o aucũmal lome le d̾sire 	69
169	nec laudatur, 	et sencline aporsiure le biẽ. ⁊ fuir lemal ⁊ tel d̾sir on apele d̾sir d̾.u. sẽs d̾lome. 	70
170	nec vituperatur, 	Et .ẽ. asauoir 	71
171|172	nec est in eo virtus moralis: |sic quia potentia digestiua tantum digerit quantum potest digerere, 	qe lid̾sir qc li hons. a. per la per la conoissance d̾ ses sẽs. ẽ. duuisse en .ii. deũrs. 	72
173	et oculus tantum videt 	Qar tout ausi come nous ueons q̃ nature doune.ii. poissan ces afeu sicõme chaleui. ⁊ legirece le feu puisse aler en son proprie leu naturel qi.ẽ. lasus u̾s la lune. ⁊per iar chaleur. qil .a. il peust cõtrester as ⁊chouse q̃ poissent enpesch son d̾lit ⁊en son propric leu naturel ⁊ ensi estil d̾ autres elemẽs. 	73
174	quantum potest videre, 	¶Tout ausi d̾ũoᷤ nous dire qil.ẽ. en nature d̾ beste. |⁊¶Qar pius q̃ nature d̾ beste. ẽ plus ⁊franche ⁊ plus noble q̃ nature d̾ lenĩez. 	74|75
175	in eis virtus moralis esse non potest. 	Et nature donna as alamenz .ii. poissances. 	76
176|177	Nam per virtutem moralem determinatur potentia ad agendum: |haec autem sufficienter determinantur 	porce q̃ par lune les homes autres bestes peussẽt tendre achose ꝯuenable ⁊ auoir leur poopre 	77
178|179	ad actiones proprias per naturam: |non ergo indigent virtute morali. 	d̾lit¶Et celle poissãce si .ẽ. appellee desir d̾ biẽ d̾litable. 	78
180	Si ergo nec in potentiis naturalibus, 	¶Et par lautre poissãce il poissent cõtrester 	79
181	nec in sensibus est virtus moralis, 	qi son d̾lit poissent enpescher. ⁊ 	80
182|183	cum praeter potentias naturales, |et sensus non sit nisi intellectus, 	celle poissance on apelle d̾sir. d̾ cõtrester. ace q̃ son ꝓpredelit peust enpeschier. 	81
184	et appetitus intellectiuus, et sensitiuus, 	¶Dont nous poons dire q̃ des u̾tu d̾ bounes ⁊euures. sagece. si.ẽ. en leutendimẽt. Iustice. ẽ en la uolũte. |¶Force d̾ corage.ẽ. aud̾sir d̾ ꝯtrester 	82|83
185	oportet esse in talibus virtutes morales.	ace q̃enpeschele propre d̾lit d̾ lome. |¶Atẽplancesi .ẽ. au d̾sir. dauoir d̾lit:	84|85
