0|1	Postquam auxiliante Deo compleuimus |primam partem huius primi libri, 	dios acabamos la ṕm̾a parte deste libro ṕmero en q̃ seẗcta dł gou̾namiẽto dł om̃e enssi/. 	0
2	in quo agitur de regimine sui, 		
3|4	ostendentes in quo Reges et Principes |suam felicitatem debeant ponere, 	Et mostmos en q̃ deuẽ poner los Reyes ⁊ los ṕnçipes la su feliçidat ⁊ la su biẽ andãça/. 	1
5	quia non decet 		
6|7	eos suum finem ponere in diuitiis, |nec in ciuili potentia, 	Et q̃ nõ les cõuiene poner la su fin en riq̃zas nĩ en poderio ciuil nĩ 	2
8|9	nec in aliquibus talibus, |sed omnibus his 	en miugũas oẗs cosas corporales nĩ tẽporals̃ Mas assi cõmo ꝓuamos cõplida mẽte desuso deuẽ husar de todas estas cosas 	3
10	(ut supra plenius probabatur) 		
11|12	debent |uti tanquam organis ad felicitatem. 	assi cõmo de instrumẽtos ꝑa ganar la feliçidat ⁊ la biẽ andãça. 	4
13|14	Suam autem felicitatem ponere debent |in actu prudentiae, 	Mas la su bienandança deuẽ poner en obras de p̈dençia⁊ de sabiduria segũd 	5
15	prout talis actus est imperatus a charitate: 	q̃ tales ob̈s son regladas |por caridat ⁊ 	6|7
16	nam tunc Reges habent felicitatem suo statui debitam, 	por el amor de dios |Ca estonçe hã los Reyes ⁊ los ṕncipes la su feliçidit ⁊ la su felicidat biẽ 	8|9
17	et condignam, 	andança q̈l deuẽ auer ⁊ q̈l ꝑtenesce asu estado q̈ndo 	10
18	quando instigante Dei dilectione 	ellos cõ el ayuda de dios 	11
19|20	secundum prudentiam regitiuam, |gentem sibi commissam secundum legem, 	⁊con el amor de dios segũd la sabiduria dł gou̾namiẽto gouernã las sus̃gẽtes ⁊ los sus pueblos q̃ les son acomẽdados scã mẽte ⁊ derechurera mẽte segũt ley ⁊ segũt razõ /. 	12
21|22	et rationem sancte, et iuste regant. |Principaliter ergo Regum felicitas ponenda est in ipso Deo, 	Et pues q̃assi es ṕnçipal mẽte la feliçidat ⁊ la biẽ andança dłos Reyes ⁊ dłos ṕnçipeses de poner en solo dios /. 	13
23|24	et ex cognitione et dilectione eius studium suum, |et vitam suam ad hoc ordinare debet, 	Ca deuẽ ellos ordenar la su uida ⁊ el su estada a esto q̃ por conosçimiẽto ⁊ 	14
25|26	ut cognoscentes, et diligentes Deum, |tanquam veri ministri eius 	por amor de dios conosçiẽdol ⁊ amãdol assi cõmo oficiales u̾daderos suyos enderescẽ ⁊ guyẽ el pueblo q̃ les es acomẽdado segũd orden de razõ ⁊ de entẽdimiẽto/ Et pues q̃ 	15
27|28	secundum ordinem rationis dirigant Populum sibi commissum. |His ergo itaque peractis, 	assi es estas cosas todas 	16
29|30	et ostenso in quo Reges ponere debeant |suum finem 	assi acabadas ⁊ demosẗdo en q̈l cosa han los Reyes ⁊ los ṕnçipes 	17
31|32	secundum ordinem superius praetaxatum, |restat ostendere 	de poner su fin segũd la orden ya dicha ⁊ assignada finca nos de demostrar enq̈les útudes deuẽ 	18
33	quibus virtutibus Reges pollere debeant. 	resplandesçer los Reyes ⁊ los ṕnçipes/. 	19
34|35	Virtutes autem quaedam sunt quidam ornatus, |et quaedam perfectiones animae. 	Ca las útudes son unos hornamẽtos ⁊ cõponimiẽtos ⁊ hunas ꝑfectiones q̃ fazẽ acabada el alma/. 	20
36	Oportet ergo prius ostendere, 	Pues q̃ assi es cõuiene mosẗr ṕmero 	21
37	quot sunt potentiae animae, 	q̈ntos son los pod̾ios dł alma 	22
38	et in quibus potentiis habent esse virtutes. 	Et en q̈les pod̾ios han de seer las útudes/. 	23
39|40	Consequenter autem manifestabitur, |quomodo virtutes sunt distinguendae. 	Et despues desto mosẗremos en q̈lman̾a se departẽ las útudes/. 	24
41	Postea vero ostendemus, 	Et del pues desto mosẗremos q̈ntas son 	25
42	quot sunt numero huiusmodi virtutes, 	por cuẽto çierto estas útudes/. 	26
43	et quae illarum sunt principales, 	Et q̈les dellas son ṕnçipeles/. 	27
44	et secundariae. 	Et q̈les segũdarias/. 	28
45|46	Deinde autem declarabitur singulariter, |quae sit unaquaeque illarum virtutum, 	Et ala postremeria declararemos espeçial mẽte q̈l es cada una de estas utudes/. 	29
47|48	et quomodo decet Reges, |et Principes tales virtutes habere. 	Et en q̈l man̾a cõuiene alos Reyes ⁊ alos ṕnçipes de auer estas útudes 	30
49	Potentiae autem animae sic distingui possunt, 	¶pues q̃ assi es los pod̾ios dł alma se puedẽ assi departir 	31
50	quia potentiae animae quaedam sunt naturales, 	ca alguõs destos poderios dł alma sõnat᷑ales 	32
51	quaedam cognitiuae sensitiuae, 	⁊ alguos son pod̾ios senssitiuos conosçedores/. 	33
52|53	quaedam appetitiuae, |et quaedam intellectiuae. 	Et algũos desseadores ⁊ algũõs intellectiuos ⁊ 	34
54|55	Naturales potentiae sunt illae, |in quibus communicamus cum vegetabilibus, et plantis, 	entẽdedores ¶Nat᷑ales pod̾ios son aq̃llos en los q̈les partiçipamos cõ los arboles ⁊ con las plantas ⁊ cõ todas las cosas q̃cresçẽ en la trm. 	35
56|57	ut potentia nutritiua, augmentatiua, generatiua, |et talia quae etiam ipsis arboribus competunt. 	Assi cõmo son pod̾io de ćar ⁊ de acresçẽtar ⁊ de engẽdrar ⁊los q̈les ꝑtenesçen tã biẽ alos arboles⁊ alas plãtas cõmo anos 	36
58	Potentiae vero cognitiuae sensitiuae, 	¶Mas los poderios conosçedores dłõs sesos son 	37
59|60	sunt visus, gustus, auditus, et talia, |in quibus communicamus cum brutis. 	assi cõmo el uiso ⁊ el oyimẽto ⁊ el gusto ⁊el odoramẽto ⁊ el tãnimiẽto/ o el ueer⁊ el oyr ⁊ el gostar ⁊ el oler ⁊ el tãner 	38
61	Appetitiuae vero distinguuntur: 	Et estos tales son comunes tan bien alas bestias cõmo anos/ |¶Mas los poderios desseadores se deꝑten en esta guisa/. 	39|40
62	nam quidam appetitus est in homine, 	Ca algũo dłłos es ꝓpio al om̃e eñl q̈l nõ partiçipa con las bestias/. 	41
63	in quo non communicat cum brutis, ut est appetitus sequens intellectum: 	assi cõmo es el appetito q̃ sigue al entẽdimiẽto/. 	42
64	quidam vero in quo communicat cum eis, 	Et alguõs son comunes tan biẽ alas bestias cõmo alos om̃s 	43
65	ut appetitus sequens sensum. 	assi cõmo el appetito q̃ sigue alos sesos 	44
66|67	Appetitus autem sequens sensum potest |nominari sensualitas: 	Mas el desseo ⁊ el appetito q̃ sigue al seso es llamado sensualidat/. 	45
68	sequens intellectum nominatur voluntas: 	Et el appetito q̃ sigue al entẽdimiẽto es llamãdo uolũtad/. 	46
69|70	secundum quem modum loquendi bruta habent sensualitatem, |et appetitum sensitiuum, 	Segũd esta man̾a de fablar las bestias han senssualidat et appetitosenssitiuo. 	47
71	sed non habent voluntatem, et intellectum. 	Mas nõ han |uoluntadparte..laSegunda nĩ appetito q̃ sigua al entẽdimiẽto Et pues q̃ 	48|49
72|73	Virtutes ergo, |de quibus loqui intendimus, 	assi es las útudes de q̃ aq́auemos de fablar 	50
74|75	quae sunt quidam habitus laudabiles, |vel erit in potentiis naturalibus, 	q̃ son unas uestiduras muy loables ⁊ much̃o hõrradaᷤᷤdł alma/oserã en las pod̾ios nat᷑ales/ o en los pod̾ios senssitiuos/o eñl appetito 	51
76|77	vel in ipsis sensibus, |vel in appetitu sensitiuo, 	senssitiuo/o eñl appetito intellectiuo q̃ es la 	52
