0	Postquam auxiliante Deo compleuimus primam partem huius primi libri, 	Postquam auxiliante Deo compleuimus primam partem huius primi libri, 	0
1	in quo agitur de regimine sui, 	in quo agitur de regimine sui, 	1
2	ostendentes in quo Reges 	ostendentes in quo Reges 	2
3	et Principes suam felicitatem debeant ponere, 	et Principes suam felicitatem debeant ponere, 	3
4	quia non decet eos suum finem ponere in diuitiis, 	quia non decet eos suum finem ponere in diuitiis, 	4
5	nec in ciuili potentia, 	nec in ciuili potentia, 	5
6	nec in aliquibus talibus, 	nec in aliquibus talibus, 	6
7	sed omnibus his 	sed omnibus his 	7
8	(ut supra plenius probabatur) debent uti tanquam organis ad felicitatem. 	(ut supra plenius probabatur) debent uti tanquam organis ad felicitatem. 	8
9	Suam autem felicitatem ponere debent in actu prudentiae, 	Suam autem felicitatem ponere debent in actu prudentiae, 	9
10	prout talis actus est imperatus a charitate: 	prout talis actus est imperatus a charitate: 	10
11	nam tunc Reges habent felicitatem suo statui debitam, 	nam tunc Reges habent felicitatem suo statui debitam, 	11
12	et condignam, 	et condignam, 	12
13	quando instigante Dei dilectione 	quando instigante Dei dilectione 	13
14	secundum prudentiam regitiuam, 	secundum prudentiam regitiuam, 	14
15	gentem sibi commissam 	gentem sibi commissam 	15
16	secundum legem, 	secundum legem, 	16
17	et rationem sancte, 	et rationem sancte, 	17
18	et iuste regant. 	et iuste regant. 	18
19	Principaliter ergo Regum felicitas ponenda est in ipso Deo, 	Principaliter ergo Regum felicitas ponenda est in ipso Deo, 	19
20	et ex cognitione et dilectione eius studium suum, 	et ex cognitione et dilectione eius studium suum, 	20
21	et vitam suam ad hoc ordinare debet, 	et vitam suam ad hoc ordinare debet, 	21
22	ut cognoscentes, 	ut cognoscentes, 	22
23	et diligentes Deum, 	et diligentes Deum, 	23
24	tanquam veri ministri eius 	tanquam veri ministri eius 	24
25	secundum ordinem rationis dirigant Populum sibi commissum. 	secundum ordinem rationis dirigant Populum sibi commissum. 	25
26	His ergo itaque peractis, 	His ergo itaque peractis, 	26
27	et ostenso in quo Reges ponere debeant suum finem secundum ordinem superius praetaxatum, 	et ostenso in quo Reges ponere debeant suum finem secundum ordinem superius praetaxatum, 	27
