0	Postquam auxiliante Deo compleuimus primam partem huius primi libri, 	Epus que deus auidant hauem conplida la primam partida |da quest primer libre en lo quil es tractar del uirtuts. 	0|1
1	in quo agitur de regimine sui, 	regiment desimatex demostrant en qͣ̈l 	2
2|3	ostendentes in quo Reges et Principes |suam felicitatem debeant ponere, 	cosa los Reys els princeps degen posar la sua benauenturança. 	3
4	quia non decet eos suum finem ponere in diuitiis, 	Quar nos partany dells posar la sua 	4
5|6	nec in ciuili potentia, |nec in aliquibus talibus, 	si en riquehes ne enpotencia ciuil/ ne en alc̾s cosesaytals ans de cots coses aytals 	5
7	sed omnibus his 	segons 	6
8	(ut supra plenius probabatur) debent uti tanquam organis ad felicitatem. 	que damunt era prouat deuem usar axi con dorgues o de instrumens abenauenturanca/ 	7
9	Suam autem felicitatem ponere debent in actu prudentiae, 	Mas la sua benauenturança deuem posar en fer o en obra deprudencia o desauieasegons 	8
10|11	prout talis actus est imperatus a charitate: |nam tunc Reges habent felicitatem suo statui debitam, 	que tal fer oral obra es manada per caritat/ Quar lauos los Reys han benauenturanca deguda 	9
12	et condignam, 	e condigͤal lur estament 	10
13|14	quando instigante Dei dilectione |secundum prudentiam regitiuam, 	quan ells 	11
15|16	gentem sibi commissam |secundum legem, 	per instigacio dela amor de deusegons sauiea o segons prudenercia regitiua esegons ley 	12
17|18	et rationem sancte, |et iuste regant. 	e segons raho regexem lagent quils ͤ comanada santament eiustament. 	13
19	Principaliter ergo Regum felicitas ponenda est in ipso Deo, 	Donques principalmentla benauenturança dels Reys deu esser posada en deu axi 	14
20	et ex cognitione et dilectione eius studium suum, 	que per couexença |e per dilectio dell lur estudi 	15|16
21	et vitam suam ad hoc ordinare debet, 	e luruida studien ordonar a aço 	17
22	ut cognoscentes, 	que ells conexent 	18
23|24	et diligentes Deum, |tanquam veri ministri eius 	e amant deu axi con au̾rades ministres o auirtades ẜutdos seussegons orde de raho endreçen o regesquen lo poble quils 	19
25	secundum ordinem rationis dirigant Populum sibi commissum. 	comanar/ aquestes coses donques axi conplides/. 	20
