0|1	Ostenso, |quod nec in potentiis naturalibus, 	Di 	0
2	nec in sensibus habent esse virtutes: 		
3|4	restat ostendere, |quomodo distinguuntur virtutes, 	che noi auiamo mostrato 	1
5|6	et quomodo in appetitu et intellectu existunt. |Distinguendum est igitur de virtutibus, 	che le iurtu delle buone huopre nõ sonnogia uelle potenge dellamina naturale ne negli .U. sensi delluomo. Noi diremo 	2
7	et de huiusmodi potentiis: 		
8	nam virtutum quaedam sunt intellectuales, 		
9	quaedam morales, 		
10	quaedam mediae inter intellectuales et morales. 		
11|12	Virtutes intellectuales dicuntur illae |quae sunt in intellectu speculatiuo, 	che .ii. maniere sono di uirtu. Luue chẽ tendono principalmente a cognoscença di uerita 	3
13|14	cuiusmodi sunt scientiae speculatiuae, |ut naturalis Philosophia, Geometria, Metaphysica, et caetera talia. 	sichome la sciença di natura e astrononna e laltre sa¬ençe . 	4
15|16	Virtutes vero simpliciter morales sunt illae, |quae sunt in appetitu, 	¶ Laltre iurtu sono ꝑloquali noi facciamo buone huopre. 	5
17|18	siue appetitus ille sit sensitiuus, |siue intellectiuus, 	e	6
19	cuiusmodi sunt Iustitia, Temperantia, Fortitudo, Mansuetudo, 		
20|21	et caetera talia, |de quibus sumus singulariter tractaturi. 	si le acquis¬tiamo ꝑachoscumeçça di ben fare. 	7
22|23	Virtutes autem mediae inter intellectuales et morales, |sunt virtutes existentes in intellectu practico, 	esono nel desidero del huomo.	8
24|25	ut Prudentia, et aliae virtutes sibi annexae. |Prudentia autem, 	si chome iusticia Temperança força e prudençia. 	9
26	secundum Commentatorem super libris Ethicorum, 		
27|28	media est inter virtutes morales, et intellectuales; |computari tamen potest cum virtutibus moralibus: 	e laltre delle quali nos diremo 	10
29	nam Prudentia non est nisi in hominibus bonis, 		
30	sicut nec virtutes morales: 		
31|32	praui enim homines |et si possunt esse scientes, astuti, et versipelles; 	qui ap̃sso 	11
33	prudentes tamen esse non possunt, 		
34	ut suo loco patebit. 		
35|36	Inde est ergo quod dicitur 6 Ethic’ |quod impossibile est prudentem 	e ⟦lege⟧ ⟦reio⟧ lassaremo le uirtu 	12
37	esse non existentem bonum. 		
38|39	Dimissis ergo virtutibus huiusmodi intellectualibus, |ut dimissis scientiis speculatiuis, de prudentia, et de virtutibus moralibus est tractandum. 	che tendono principalmẽte a cognioscença. 	13
40|41	Suscepimus enim |(ut pluries diximus) 	Et diremo delle uirtu ꝑle 	14
42	praesens opus, 		
43|44	non ut sciamus, |sed ut boni fiamus: 	quali noi facciano buone huopre. ꝑo ch̃ nor attediamo principalmẽte ꝑquesta sciença 	15
45|46	quae bonitas, sine prudentia et virtutibus moralibus, |nobis in esse non potest. 	che noi siamo buoni. 	16
47	Has autem virtutes, in intellectu, et appetitu sic esse contingit. 		
48	Dictum est enim, 	Et diremo 	17
49	virtutem esse aliquid secundum rationem: 		
50|51	oportet ergo esse rationalem potentiam, |in qua potest esse virtus. 	che imꝑo ch̃il desidero delluomo ubedissee aragion eleuirtu delle buone huoꝑe sono 	18
52	Rationale autem duplex est secundum Philosophum, 		
53|54	per essentiam, et per participationem. |Intellectus autem est rationalis per essentiam. 	chose 10 suondo ragione elle sonno nello intellecto enel desidero 	19
55	Appetitus vero per participationem. 		
56|57	Nam appetitus licet |non sit ipse intellectus, 	delluomo¶Ma noi douemo sapere 	20
58|59	vel ipsa ratio essentialiter, |dicitur tamen participare rationem, 	che desidero nõne altra chosa senone una mich mança ad auere bene/ o 	21
60	quia est aptus natus rationi obedire. 		
61	Potentiae autem naturales, et sensus, 		
62|63	nec sunt rationales per essentiam, |quia non sunt ipsa ratio: 	o a fuggire il male/ 	22
64|65	nec ratione participant, |quia per se, 	che uiene dicio	23
66	et secundum quod huiusmodi non obediunt rationi. 		
67|68	Igitur in sensibus, |et in potentiis naturalibus 	che luomo cognosce bene e male ¶Imꝑo 	24
69|70	(ut supra dicebatur) |non habent esse virtutes, 	chluomo ã .ii. cognoscençe. Luna sie cogmoscengça dellontellecto. 	25
71|72	sed solum esse habent in intellectu, et appetitu. |In nobis autem duplex est appetitus, intellectiuus, et sensitiuus. 	Laltre sie cognoscimento. delli.u. sensi. 	26
73	Nam sicut appetitus naturalis 		
74	sequitur formam naturaliter adeptam, 		
75|76	sic appetitus cognitiuus |sequitur formam 	Eglia insc .ii. desideri ꝑo 	27
77|78	per cognitionem apprehensam. |Sicut enim grauia, 	che qũdo lontellecto cogmoscie alchumo bene o alchumo male. Egli disidera a ꝑseghunitare il bene 	28
