0	Postquam auxiliante Deo compleuimus primam partem huius primi libri, 	Jiançant laaiuda diui¬na hauez |a¬cabada la p̾mera part deaquest primerlibre. Lo queltracta ḋl regiment de si¬mateix mo¬strant 	0|1
1	in quo agitur de regimine sui, 		
2|3	ostendentes in quo Reges et Principes |suam felicitatem debeant ponere, 	en que los Reys e Princepsdeuen posar sa felicitat. 	2
4|5	quia non decet eos suum finem ponere in diuitiis, |nec in ciuili potentia, 	Car no ladeuem posar en riquesas ne en potenciaciuil ne en altras cosas tals. 	3
6|7	nec in aliquibus talibus, |sed omnibus his 	ans deaquellas segons damunt es prouat'deuen usar 	4
8	(ut supra plenius probabatur) debent uti tanquam organis ad felicitatem. 	com de instruments a felicitat. 	5
9|10	Suam autem felicitatem ponere debent in actu prudentiae, |prout talis actus est imperatus a charitate: 	Mas la sua felicitat deuenposar en obra de prudencia segonses manada per caritat. 	6
11|12	nam tunc Reges habent felicitatem suo statui debitam, |et condignam, 	car lauorslos Reys han felicitat condigna ason stat: 	7
13	quando instigante Dei dilectione 	quant instigant la amor di¬uina 	8
14|15	secundum prudentiam regitiuam, |gentem sibi commissam 	segons prudencia regitiua leye rao regexen lo poble quils es co¬manat sanctament e iusta: 	9
16|17	secundum legem, |et rationem sancte, 	segonsdamunt hauem dit. 	10
18|19	et iuste regant. |Principaliter ergo Regum felicitas ponenda est in ipso Deo, 	Donchs principalment felicitat deu esser posadaen deu. 	11
20	et ex cognitione et dilectione eius studium suum, 	coes que per conaxença e dileccio ḋaquell lo seu studi |e uida deuenordenar a amar e coneixer deu e cona uirtaders ministres seus: 	12|13
21	et vitam suam ad hoc ordinare debet, 	segons orde de rao regescam lo poble quils escomanat. |Aquestas cosas axi con¬plidas 	14|15
22|23	ut cognoscentes, |et diligentes Deum, 	e mostrat 	16
24|25	tanquam veri ministri eius |secundum ordinem rationis dirigant Populum sibi commissum. 	en que los Reysdeuen posar la sua felicitat, 	17
26|27	His ergo itaque peractis, |et ostenso in quo Reges ponere debeant suum finem secundum ordinem superius praetaxatum, 	segonsdamunt es posat en lo capitol tercResta 	18
28	restat ostendere quibus virtutibus Reges pollere debeant. 	a mostrar de quals uirtuts deuen esser ornats. 	19
29|30	Virtutes autem quaedam sunt quidam ornatus, |et quaedam perfectiones animae. 	Car las uirtuts sonalguns ornaments e perfeccions delaaina. 	20
31	Oportet ergo prius ostendere, 	Primerament donchs es necessa¬ri mostrar quentas son las potencias dela aina 	21
32	quot sunt potentiae animae, 	e en quals potencias ham aesserlas uirtuts. 	22
33|34	et in quibus potentiis habent esse virtutes. Consequenter autem manifestabitur, |quomodo virtutes sunt distinguendae. Postea vero ostendemus, 	Segonament sera dit condeuen esser distinctas las uirtuts. 	23
35|36	quot sunt numero huiusmodi virtutes, |et quae illarum sunt principales, 	Tercament mostrarem quantas sonper nombre aquestas uirtuts. e qualsson principals e menys principalsQuartament 	24
37|38	et secundariae. |Deinde autem declarabitur singulariter, 	e derrera sera declaraten special 	25
39	quae sit unaquaeque illarum virtutum, 	quel es cascuna de aquellasuirtuts 	26
40	et quomodo decet Reges, 	e com los reys e p̾nceps deuenhauer tals uirtuts. |La p̾mera 	27|28
41	et Principes tales virtutes habere. Potentiae autem animae sic distingui possunt, 	que esnecessari mostrar quantas son laspotencias dela aina axis proua. |Laspotencias poden esser distinctas enquatre maneras. 	29|30
42	quia potentiae animae quaedam sunt naturales, 	Car algunas sonnaturals: 	31
43	quaedam cognitiuae sensitiuae, 	altras cognitiuas sensitiuas. |altras uoluntarias. altras in¬tellectuals. 	32|33
44|45	quaedam appetitiuae, |et quaedam intellectiuae. Naturales potentiae sunt illae, in quibus communicamus cum vegetabilibus, et plantis, 	Las potencias naturals son aquellas en las quals participam ab las cosas uegetablas: 	34
46	ut potentia nutritiua, augmentatiua, generatiua, 	co¬es ab las plantas. |axicom es poten¬cia nutritiua. generatiua. e augmentatiua: 	35|36
47	et talia quae etiam ipsis arboribus competunt. Potentiae vero cognitiuae sensitiuae, sunt visus, 	las quals conuenan als ar¬bres. |Las potencias cognitiuassensitiuas son la uista. 	37|38
48	gustus, auditus, et talia, 	gustar. tast. toche las altres tals: 	39
49	in quibus communicamus cum brutis. Appetitiuae vero distinguuntur: 	en las qualsparticipam ab las bestias brutals. |Las potencias appetitiuas sondistinctas. 	40|41
50	nam quidam appetitus est in homine, 	Car algun appetit es enhome en lo qual no participam ablas bestias brutals. 	42
51	in quo non communicat cum brutis, ut est appetitus sequens intellectum: 	axicom lo appetit intellectiu. 	43
52	quidam vero in quo communicat cum eis, 	Altre es ab lo qualparticipam ab ellas. 	44
53	ut appetitus sequens sensum. 	axicom sensi¬tiu. |Lo appetit sensitiu 	45|46
54|55	Appetitus autem sequens sensum potest nominari sensualitas: |sequens intellectum nominatur voluntas: 	pot esserappellat sensualitate lo intellectiuuoluntat. 	47
56|57	secundum quem modum loquendi bruta habent sensualitatem, |et appetitum sensitiuum, 	Segons la qual manerade parlar las bestias brutals hansensualitat o appetit sensitiu. 	48
58	sed non habent voluntatem, 	masno han uoluntat: 	49
59	et intellectum. Virtutes ergo, 	coes appetit intellectiu. 	50
60	de quibus loqui intendimus, 	Donchs las uirtuts delasquals entenem a parlar 	51
61	quae sunt quidam habitus laudabiles, 	que son al¬guns habits dignes de loar 	52
62	vel erit in potentiis naturalibus, 	o seranen las potencias naturals 	53
63|64	vel in ipsis sensibus, |vel in appetitu sensitiuo, 	o en loappetit sensitiu, 	54
65	vel in appetitu intellectiuo, 	o en lo appetit in-tellectiu, 	55
66|67	vel in ipso intellectu, |vel in omnibus his, 	o en lenteniment o en totasaquestas potencias 	56
68	vel in aliquibus horum. In potentiis autem naturalibus esse non possunt, 	o en alguna deaquellas. En las potencias natu¬rals no poden esser: 	57
69|70	quod tripliciter patet. Primo, |quia ex naturalibus nec laudamur, 	lo que en tresmaneras es manifest. La prime¬ra perço con per las potencias naturals 	58
71|72	nec vituperamur nullus enim dicitur |bonus homo ex eo quod habeat digestiuam bonam, 	ni som loats ni uituperats. car algu no es dit bo perque ha bona dige¬stiua o bona augmentatiua. 	59
73|74	vel bonam augmentatiuam. Secundo, |in talibus non habent esse virtutes: 	La se¬gona rao perque en tals potencias nohan esser aquestas ytuts: 	60
75	quia virtus est aliquid 	es perque uir¬tut es alguna cosa segons rao. 	61
76|77	secundum rationem, |ut probari habet 2 Ethic’. Potentiae autem naturales 	e axisproua en lo segon delas ethicas. 	62
78	(secundum quod huiusmodi) 	e laspotencias naturals segons son naturals: 	63
79	rationi non obediunt: 	no obeexem ala rao. 	64
80|81	nam siue quis ratiocinetur, |siue velit, 	Car ab totalgu haia rao propriament parlant laspotencias 	65
82	non propter hoc (per se loquendo) 	per allo nos uarieian en sasopacions. 	66
