0	Postquam auxiliante Deo compleuimus primam partem huius primi libri, 	Pres que par laide de dieu auons acompli la premierepartie de ce liure 	0
1	in quo agitur de regimine sui, 		
2|3	ostendentes in quo Reges et Principes |suam felicitatem debeant ponere, 	ou quel traicte du regime de soy mesmesdemonstrans en quoy les rois et princes doiuent mettreleur felicite 	1
4|5	quia non decet eos suum finem ponere in diuitiis, |nec in ciuili potentia, 	car il ne doiuent pas mettre leur fin en richesses ne enciuile puissance 	2
6	nec in aliquibus talibus, 	ne en autres telles choses. 	3
7	sed omnibus his 	mais comme dauantest prouue 	4
8	(ut supra plenius probabatur) debent uti tanquam organis ad felicitatem. 	plus plainement ilz doiuent user de toutes ces choses |aussiconme des organnes ou instrumens a leur felicite acqueire 	5|6
9	Suam autem felicitatem ponere debent in actu prudentiae, 	mais doiuentmettre felicite 	7
10	prout talis actus est imperatus a charitate: 	ou fait de prudence conmande de chante 	8
11|12	nam tunc Reges habent felicitatem suo statui debitam, |et condignam, 	car adoncquesont les roys felicite deue et condigne a leur estat	9
13|14	quando instigante Dei dilectione |secundum prudentiam regitiuam, 	quant eulx emeuzde lamour de dieu gouuernent la gent a eulx conmise selon prudenceet selon la loy 	10
15	gentem sibi commissam 		
16|17	secundum legem, |et rationem sancte, 	et raison saintement	11
18	et iuste regant. 	et iustement. 	12
19|20	Principaliter ergo Regum felicitas ponenda est in ipso Deo, |et ex cognitione et dilectione eius studium suum, 	doncques principalement en dieu doit estre mise la felicite des roys et eulx meuz de lacongnoissance et amour de dieu leur estude 	13
21	et vitam suam ad hoc ordinare debet, 	et leur uie doiuent ordonneza ce 	14
22|23	ut cognoscentes, |et diligentes Deum, 	que en congnoissant et ayment dieu. 	15
24|25	tanquam veri ministri eius |secundum ordinem rationis dirigant Populum sibi commissum. 	aussi conme ses uraiz minstresilz puissent gouuerner le peuple a eulx conmis selon lordre de raisonCes choses 	16
26|27	His ergo itaque peractis, |et ostenso in quo Reges ponere debeant suum finem secundum ordinem superius praetaxatum, 	doncques dauant mises et monstre en quoy le roy doitmettre sa fin. 	17
28	restat ostendere quibus virtutibus Reges pollere debeant. 	Reste maintenant demonstrez selon lordre dauant noteequelles uertuz les roys doiuent auoir. 	18
29|30	Virtutes autem quaedam sunt quidam ornatus, |et quaedam perfectiones animae. 	Et pourtant que les uertuz sontornement et perfection de lame il conuient premieremnent demonstrez quantes sont les puissances de lame 	19
31	Oportet ergo prius ostendere, 	et	20
32	quot sunt potentiae animae, 	es quelles sont les uertuz. 	21
33	et in quibus potentiis habent esse virtutes. Consequenter autem manifestabitur, 	Et consequentement sera declaire 	22
34	quomodo virtutes sunt distinguendae. Postea vero ostendemus, 	conment les uertuz sont distinguees 	23
35	quot sunt numero huiusmodi virtutes, 	Apresdemonsteron quantes sont ces uertuz en nombre 	24
36	et quae illarum sunt principales, 	et les quelles sontprincipales 	25
37|38	et secundariae. |Deinde autem declarabitur singulariter, 	et les quelles sont apres. finablement sera declaux dunechime uenrtuz singulierement et conment les roys 	26
39|40	quae sit unaquaeque illarum virtutum, |et quomodo decet Reges, 	et princes doiuent auoirtelles uertuz. 	27
41|42	et Principes tales virtutes habere. Potentiae autem animae sic distingui possunt, |quia potentiae animae quaedam sunt naturales, 	Les puissances de lame peust ainsi estre distinguees carles unes sont natureles. les autres cognitiues et sencitiues. aulcunesappetitiues et les autres intellectiues. Les puissances naturellessont celles 	28
