0	Postquam auxiliante Deo compleuimus primam partem huius primi libri, 		
1	in quo agitur de regimine sui, 		
2|3	ostendentes in quo Reges et Principes |suam felicitatem debeant ponere, 	uis sunt. 	0
4	quia non decet eos suum finem ponere in diuitiis, 		
5|6	nec in ciuili potentia, |nec in aliquibus talibus, 	coccoque nous coco. 	1
7	sed omnibus his 		
8	(ut supra plenius probabatur) debent uti tanquam organis ad felicitatem. 		
9|10	Suam autem felicitatem ponere debent in actu prudentiae, |prout talis actus est imperatus a charitate: 	auons enseigniea laide de dieuen la p̾miere partie de ce liure 	2
11|12	nam tunc Reges habent felicitatem suo statui debitam, |et condignam, 	queles rois et les princes sunt beneurez 	3
13|14	quando instigante Dei dilectione |secundum prudentiam regitiuam, 	quant il aimentdieu. et pour la mor de dieu. 	4
15	gentem sibi commissam 		
16|17	secundum legem, |et rationem sancte, 	si conmebons serganz et leaus etl entendentagouu̾ner sagement le pueple selonc loy et raison. Nous dirons 	5
18|19	et iuste regant. |Principaliter ergo Regum felicitas ponenda est in ipso Deo, 	queles uertuz les rois	6
20|21	et ex cognitione et dilectione eius studium suum, |et vitam suam ad hoc ordinare debet, 	et les princes doiuent auoir. 	7
22|23	ut cognoscentes, |et diligentes Deum, 	Et pour ce 	8
24|25	tanquam veri ministri eius |secundum ordinem rationis dirigant Populum sibi commissum. 	que les nertuzfont la me perfaite. Il couient p̾mierement sauoir qnͣtes poissances la me a. 	9
26	His ergo itaque peractis, 		
27	et ostenso in quo Reges ponere debeant suum finem secundum ordinem superius praetaxatum, 		
28|29	restat ostendere quibus virtutibus Reges pollere debeant. |Virtutes autem quaedam sunt quidam ornatus, 	etesqueles les uirtus debones euures domient estre 	10
30|31	et quaedam perfectiones animae. |Oportet ergo prius ostendere, 	et ap̾snous dirons	11
32	quot sunt potentiae animae, 		
33	et in quibus potentiis habent esse virtutes. Consequenter autem manifestabitur, 		
34|35	quomodo virtutes sunt distinguendae. Postea vero ostendemus, |quot sunt numero huiusmodi virtutes, 	coment len doit deuiterles uirtuz de bones euures. 	12
36|37	et quae illarum sunt principales, |et secundariae. 	et qnͣtesil en sont. 	13
38	Deinde autem declarabitur singulariter, 	et qpͥs nous dirons dechaucune 	14
39	quae sit unaquaeque illarum virtutum, 	que le ele est.	15
40|41	et quomodo decet Reges, |et Principes tales virtutes habere. Potentiae autem animae sic distingui possunt, 	Et comentli roi et li prince douient auoir telesuirtus . et dirons les 	16
42|43	quia potentiae animae quaedam sunt naturales, |quaedam cognitiuae sensitiuae, 	queles sunt plꝰprincipaus des autres. 	17
44|45	quaedam appetitiuae, |et quaedam intellectiuae. Naturales potentiae sunt illae, in quibus communicamus cum vegetabilibus, et plantis, 	Dont lendoit sauoir	18
46|47	ut potentia nutritiua, augmentatiua, generatiua, |et talia quae etiam ipsis arboribus competunt. Potentiae vero cognitiuae sensitiuae, sunt visus, 	que lame. a . iii. manieres de puissances. Les mies sontnature les. 	19
48|49	gustus, auditus, et talia, |in quibus communicamus cum brutis. Appetitiuae vero distinguuntur: 	Si conme la uirtu 	20
50|51	nam quidam appetitus est in homine, |in quo non communicat cum brutis, ut est appetitus sequens intellectum: 	qui acroist. et la uirtu 	21
52	quidam vero in quo communicat cum eis, 		
53	ut appetitus sequens sensum. 		
54	Appetitus autem sequens sensum potest nominari sensualitas: 		
55|56	sequens intellectum nominatur voluntas: |secundum quem modum loquendi bruta habent sensualitatem, 	qui engendre. Lesautres poissances de lame. sunt conoissanz.	22
57	et appetitum sensitiuum, 		
58|59	sed non habent voluntatem, |et intellectum. Virtutes ergo, 	Si conme la ueue. Lezgoust. 	23
60|61	de quibus loqui intendimus, |quae sunt quidam habitus laudabiles, 	et la touchement. et les autͤssens del home. Une autre poissance de lame	24
62|63	vel erit in potentiis naturalibus, |vel in ipsis sensibus, 	Si est 	25
64|65	vel in appetitu sensitiuo, |vel in appetitu intellectiuo, 	quen apele lentendement. Les autres poissancesde la me sont dites poissances 	26
66	vel in ipso intellectu, 		
67|68	vel in omnibus his, |vel in aliquibus horum. In potentiis autem naturalibus esse non possunt, 	quidesirrent. Dont lune 	27
69	quod tripliciter patet. Primo, 		
70|71	quia ex naturalibus nec laudamur, |nec vituperamur nullus enim dicitur 	si est nonmeeuolente 	28
72|73	bonus homo ex eo quod habeat digestiuam bonam, |vel bonam augmentatiuam. Secundo, 	qui est desir del entendem̃tet lautre est dite desir des. u. sensde lome.	29
74	in talibus non habent esse virtutes: 		
75|76	quia virtus est aliquid |secundum rationem, 	Et poons prouuer partrois raisdns 	30
77|78	ut probari habet 2 Ethic’. Potentiae autem naturales |(secundum quod huiusmodi) 	que les uirtus des bones euures 	31
79	rationi non obediunt: 		
80|81	nam siue quis ratiocinetur, |siue velit, 	que nons aqueronsper acoustumance de bien fere. 	32
82|83	non propter hoc (per se loquendo) |potentiae naturales variantur in actibus suis, 	nesunt pas es poissances de lamenature les. ne es . u. sens de l homeLa p̾miere raison 	33
84|85	sed semper |secundum modum sibi possibilem suas actiones efficiunt. Tertio, 	si est. 	34
86	in talibus potentiis non sunt habitus, 		
87	et virtutes, 		
88	qui habitus sunt ad determinandum potentias, 		
89	ut bene vel male agant, 		
90|91	ut per habitus vitiosos determinatur potentia ad agendum male, |per virtuosos ad agendum bene: 	car pourles uirtuz des bones euures len11doit loer lome 	35
92|93	cum ergo natura sit determinata ad unum, |et potentiae naturales sufficienter determinentur ad agendum, 	quantil lesa. 	36
94	ex natura sua secundum eas nec sumus vitiosi, 		
95|96	nec virtuosi, |ut hic de vitio, 	et blamer 	37
97|98	et virtute loquimur: |quare in eis huiusmodi virtutes esse non possunt. 	qnͣt ila le contraire.	38
99|100	His ergo tribus rationibus, |per quas probatum est virtutes non esse in potentiis naturalibus, 	Mes pourbien norrir. 	39
101	probari potest eas non esse in cognitione sensitiua, 		
102	siue in potentiis sensitiuis. 		
103	Nam sicut non laudamur, 		
104|105	nec vituperamur ex potentiis naturalibus: |sic non laudamur, 	ne pour bien estre a creune 	40
106|107	nec vituperamur ex sensibus. |Nam sicut nullus laudatur tanquam bonus homo, 	pour bien ueoir ne pour bien sentir. nul ne doit estre principaumentne blame. ne loe. 	41
108	ex eo quod bene digerit, 		
109	vel bene crescit: 		
110	sic non laudatur ex eo quod acute videt, 		
111	vel subtiliter audit, 		
112|113	nisi forte hoc esset per accidens, |ut si quis ex superflua comestione, vel ex nimia potatione incurrisset ophthalmiam oculorum, 	Sil nest auis quepartrop boire. et trop mengier il aaquis maladie. 	42
114	ne bene videret, 		
115|116	vel debilitatem stomachi, |ne bene digereret: 	par coy teles uirtuzsont empeeschiees en leur euuresDont en celes poissances 	43
117|118	increparetur ille, |non quia male digerit, 	len nedoitpas metre les uirtuz de bonesenures. La seconde raison 	44
119|120	vel quia non clare videt, |quia clare videre, et bene digerere 	si estCar les utuz des bonnes euuressont chose selonc raison. 	45
121	(per se loquendo) 		
