0|1	Ostenso, |quod nec in potentiis naturalibus, 	Ce secũt chap̃. d̾lasecũte paͬtie.dũprimier liure. enseigne 	0
2	nec in sensibus habent esse virtutes: 		
3|4	restat ostendere, |quomodo distinguuntur virtutes, 	com̃t lesuͥtuz des bonnes euures sũt 	1
5|6	et quomodo in appetitu et intellectu existunt. |Distinguendum est igitur de virtutibus, 	diuissces⁊com̃t eles sũt ou desir ⁊ en lentendim̃t del homouis 	2
7	et de huiusmodi potentiis: 		
8|9	nam virtutum quaedam sunt intellectuales, |quaedam morales, 	qe nous auons moustre qelesutus des bounes : 	3
10|11	quaedam mediae inter intellectuales et morales. |Virtutes intellectuales dicuntur illae 	eures ne sũt pas. es poisances del home natureles mesu. sens del home. ¶Nous dirons qeii. maineres d̾ uertus sunt les unes⁊qitendent prĩcipaum̃t aconoissanced̾ uerite. 	4
12	quae sunt in intellectu speculatiuo, 		
13|14	cuiusmodi sunt scientiae speculatiuae, |ut naturalis Philosophia, Geometria, Metaphysica, et caetera talia. 	Si come la scienec des natures ⁊ astrononue. ⁊ les autoͣs sciences. 	5
15|16	Virtutes vero simpliciter morales sunt illae, |quae sunt in appetitu, 	¶Les autres uertus sunt 	6
17	siue appetitus ille sit sensitiuus, 		
18	siue intellectiuus, 		
19	cuiusmodi sunt Iustitia, Temperantia, Fortitudo, Mansuetudo, 		
20|21	et caetera talia, |de quibus sumus singulariter tractaturi. 	per quous feissons bounes euures. 	7
22	Virtutes autem mediae inter intellectuales et morales, 		
23	sunt virtutes existentes in intellectu practico, 		
24	ut Prudentia, et aliae virtutes sibi annexae. 		
25	Prudentia autem, 		
26	secundum Commentatorem super libris Ethicorum, 		
27	media est inter virtutes morales, et intellectuales; 		
28	computari tamen potest cum virtutibus moralibus: 		
29	nam Prudentia non est nisi in hominibus bonis, 		
30	sicut nec virtutes morales: 		
31	praui enim homines 		
32	et si possunt esse scientes, astuti, et versipelles; 		
33	prudentes tamen esse non possunt, 		
34	ut suo loco patebit. 		
35	Inde est ergo quod dicitur 6 Ethic’ 		
36	quod impossibile est prudentem 		
37	esse non existentem bonum. 		
38	Dimissis ergo virtutibus huiusmodi intellectualibus, 		
39|40	ut dimissis scientiis speculatiuis, de prudentia, et de virtutibus moralibus est tractandum. |Suscepimus enim 	lles acquirrons par acustumance d̾ bien faire. ⁊ sũt audsir d̾l home. 	8
41	(ut pluries diximus) 		
42	praesens opus, 		
43	non ut sciamus, 		
44	sed ut boni fiamus: 		
45	quae bonitas, sine prudentia et virtutibus moralibus, 		
46|47	nobis in esse non potest. |Has autem virtutes, in intellectu, et appetitu sic esse contingit. 	Si come iustice. atenprance force ⁊ d̾ bonerite ⁊les autres des q̃les nous dirons ci apres. 	9
48	Dictum est enim, 		
49	virtutem esse aliquid secundum rationem: 		
50	oportet ergo esse rationalem potentiam, 		
51	in qua potest esse virtus. 		
52|53	Rationale autem duplex est secundum Philosophum, |per essentiam, et per participationem. 	Et leirons les u̾tus qͥrendẽt prĩcipaum̃t aconoissance. d̾ uerite ⁊ dirons ⁊ des u̾tus per qinous faissons bouneᷤ euures. 	10
54|55	Intellectus autem est rationalis per essentiam. |Appetitus vero per participationem. 	Qar nous entendons prĩcipaum̃t par ceste science q̃ nous soios bons. 	11
56|57	Nam appetitus licet |non sit ipse intellectus, 	Et dirons q̃ porce 	12
58|59	vel ipsa ratio essentialiter, |dicitur tamen participare rationem, 	qe le desir del home obeist araison 	13
60	quia est aptus natus rationi obedire. 		
61	Potentiae autem naturales, et sensus, 		
62	nec sunt rationales per essentiam, 		
63	quia non sunt ipsa ratio: 		
64	nec ratione participant, 		
65|66	quia per se, |et secundum quod huiusmodi non obediunt rationi. 	ciles uertud̾ bounes eiuires sũt chose selonc raison. 	14
67	Igitur in sensibus, 		
68	et in potentiis naturalibus 		
69	(ut supra dicebatur) 		
70|71	non habent esse virtutes, |sed solum esse habent in intellectu, et appetitu. 	eles sũt el entenduñt d̾l homei endesir. 	15
72|73	In nobis autem duplex est appetitus, intellectiuus, et sensitiuus. |Nam sicut appetitus naturalis 	¶Mes nous d̾uõs sauoir. q̃ d̾sir nest autre chose q̃ une enclinãce abiẽ auoir ou amal fair 	16
74	sequitur formam naturaliter adeptam, 		
75	sic appetitus cognitiuus 		
76|77	sequitur formam |per cognitionem apprehensam. 	qi uient d̾ce q̃ lome conoist biẽ ⁊ mal. ⁊ poͣrce q̃ li hons. a .ii. conoissances. 	17
78|79	Sicut enim grauia, |ex eo quod habent formam grauis, 	¶Lune 	18
80	sequitur ea quaedam naturalis inclinatio, 		
81	et quidam appetitus naturalis, 		
82	ut naturaliter desiderent esse deorsum: 		
83|84	sic habentia cognitionem prout habent in seipsis formam apprehensam, |sequitur quaedam inclinatio, 	si est conoissance d̾lentẽdim̃t. 	19
85	et quidam appetitus 		
