0	Postquam auxiliante Deo compleuimus primam partem huius primi libri, 	Capłm. primum quomodo diuiduntur anime. |et inquibus potenciis habent 	0|1
1	in quo agitur de regimine sui, 	esse uirtutes Ostquam auxiliante. |deo conpleuimus prim̃a partem huius primi libri in quo agitur de regimine sui ostendentes inquo reges 	2|3
2	ostendentes in quo Reges et Principes 	et principes 	4
3	suam felicitatem debeant ponere, 	suam felicitatem pone debeant 	5
4|5	quia non decet eos suum finem ponere in diuitiis, |nec in ciuili potentia, 	quia non decet eos suum finem ponere in diciis nec in ciuili potentia 	6
6	nec in aliquibus talibus, 	nec in aliquibus talibus 	7
7	sed omnibus his 	sed in omnibus hiis 	8
8	(ut supra plenius probabatur) debent uti tanquam organis ad felicitatem. 	ut supra plenius probabatur |debent utitanquam organis 	9|10
9	Suam autem felicitatem ponere debent in actu prudentiae, 	ad felicitatem |suam autem felicitatem ponere debent in actu prudencie 	11|12
10	prout talis actus est imperatus a charitate: 	prout talis actus est inperatus a caritate. 	13
11	nam tunc Reges habent felicitatem suo statui debitam, 	Nam tunc reges habent felicitatem suo statu debitam 	14
12	et condignam, 		
13|14	quando instigante Dei dilectione |secundum prudentiam regitiuam, 	et condignam quando instigante dei delicatione secundum prudenciam regnatiuam gentem sibi commissam 	15
15	gentem sibi commissam 		
16	secundum legem, 	secundum legem 	16
17	et rationem sancte, 	et rationem sancte 	17
18|19	et iuste regant. |Principaliter ergo Regum felicitas ponenda est in ipso Deo, 	et iuste regunt principalitergni regum felicitas ponenda est in ipso deo 	18
20	et ex cognitione et dilectione eius studium suum, 	⁊ut cognitione |et dilectione eius suum studium 	19|20
21	et vitam suam ad hoc ordinare debet, 	et suam uitam |ad hoc ordinare debeant 	21|22
22	ut cognoscentes, 	et cognoscentes 	23
23|24	et diligentes Deum, |tanquam veri ministri eius 	et diligentes deum tanquam ueri ministri eius 	24
25	secundum ordinem rationis dirigant Populum sibi commissum. 	secundum ordinem rationis dirigant populum sibi commissum. 	25
26	His ergo itaque peractis, 	Hiis igitur ita peractis 	26
27	et ostenso in quo Reges ponere debeant suum finem secundum ordinem superius praetaxatum, 	et ostenso in quo reges debeant |ponere suum finem 	27|28
