		. ii. 	0
0	Ostenso, 	quomodo distinguntur uirtutes |et quomodo se habet in intellectum et appetitu. 	1|2
1	quod nec in potentiis naturalibus, 	tenso quod nec in potenciis naturalibus 	3
2	nec in sensibus habent esse virtutes: 	necin sensibus habent esse uirtutes. 	4
3	restat ostendere, 	Restat ostende 	5
4	quomodo distinguuntur virtutes, 	quomodo distinguntur uirtutes 	6
5	et quomodo in appetitu et intellectu existunt. 	et quomodo inintelleum et appetitu existant. 	7
6|7	Distinguendum est igitur de virtutibus, |et de huiusmodi potentiis: 	Distinguendum est ergo de uirtutibus et dehuius potenciis. 	8
8	nam virtutum quaedam sunt intellectuales, 	Nam uirtutum quedam sunt intellectuales. 	9
9	quaedam morales, 	quedam morales. 	10
10	quaedam mediae inter intellectuales et morales. 	quadam medie inter intellectumales et morales uirtutes intellectuales 	11
11	Virtutes intellectuales dicuntur illae 	dunr ille 	12
12	quae sunt in intellectu speculatiuo, 	que sunt in intellectum. |speculatiuo c̾mon 	13|14
13	cuiusmodi sunt scientiae speculatiuae, 	ster scientie speculatiue 	15
14	ut naturalis Philosophia, Geometria, Metaphysica, et caetera talia. 	ut naturalis phina geonietur 	16
15	Virtutes vero simpliciter morales sunt illae, 	a metha ͭ ᷑ 	17
16	quae sunt in appetitu, 	et cetera alia. 	18
17	siue appetitus ille sit sensitiuus, 	uirtutes uero sinp ͭ |morales sunt ille 	19|20
18|19	siue intellectiuus, |cuiusmodi sunt Iustitia, Temperantia, Fortitudo, Mansuetudo, 	que sunt in appetitu siue appetitus ille sit ssitiuus siue intellectiuus. c̾monam sunt itiͣ. tenpermͣ fortiᵈ ᵈͦ mansuꝰͦ 	21
20|21	et caetera talia, |de quibus sumus singulariter tractaturi. 	et cetera tlia de quibus sumus singulariter tracaeteratati. 	22
22|23	Virtutes autem mediae inter intellectuales et morales, |sunt virtutes existentes in intellectu practico, 	ututes autem medie inter t̃tllcuales et morales sunt uirtutes exnontes in intellectu primactico 	23
24	ut Prudentia, et aliae virtutes sibi annexae. 		
25|26	Prudentia autem, |secundum Commentatorem super libris Ethicorum, 	ut prudencia et alie uirtutes sibi annexe. p̾denͣ autem secundum commentatorem supra librum ech̃. 	24
27	media est inter virtutes morales, et intellectuales; 	mediam inter uͥ tutes morales et intellectum ᷝ ͤ ᷤ 	25
28	computari tamen potest cum virtutibus moralibus: 	conputart tum potest |cum uirtutibus mora ᷝͫ 	26|27
29	nam Prudentia non est nisi in hominibus bonis, 	nam prudenͣ non est naturalpͥbus bonis. 	28
30|31	sicut nec virtutes morales: |praui enim homines 	scilicet ͨ nec uirtutes morales. primaui . n. hominies 	29
32	et si possunt esse scientes, astuti, et versipelles; 	et si possent esse scientes astuci et uersipelles. 	30
33|34	prudentes tamen esse non possunt, |ut suo loco patebit. 	prudentes tum esse nonpossternt suo loco patebit. 	31
35	Inde est ergo quod dicitur 6 Ethic’ 	Inon est ergo quod dicitur . |ui. ech. 	32|33
36	quod impossibile est prudentem 	quod inpo ᷝ ͤ est p̾dentem 	34
37	esse non existentem bonum. 	esse non existentem bonum. 	35
38	Dimissis ergo virtutibus huiusmodi intellectualibus, 	Dimissis igitur uirtutebus intllcuid 	36
39	ut dimissis scientiis speculatiuis, de prudentia, et de virtutibus moralibus est tractandum. 	et dimissis sciis speculatiuis de primadenͣ |et nisi tutibus moralibus est tracaeteratandum. 	37|38
40	Suscepimus enim 	Suscepimus . n. 	39
41	(ut pluries diximus) 	ut płtes dixiuius. 	40
42|43	praesens opus, |non ut sciamus, 	p̾s punsopos non ut sciamus. 	41
44	sed ut boni fiamus: 	sed ut bo ͭ fiamodo 	42
45	quae bonitas, sine prudentia et virtutibus moralibus, 	qui bonitas siue prudenͣ 	43
46	nobis in esse non potest. 	et uirtutibus moralibus nobis in esse non potest. 	44
47	Has autem virtutes, in intellectu, et appetitu sic esse contingit. 	has uirtutes in intellectum et appetitu sitesse contingit. 	45
48|49	Dictum est enim, |virtutem esse aliquid secundum rationem: 	Dcm̃ ein est uirtutem esse ad secundum rationem. 	46
50	oportet ergo esse rationalem potentiam, 	Opor tet ergo esse ratio nalem potentiam 	47
51	in qua potest esse virtus. 	in qua pointur esse uͣtus 	48
52	Rationale autem duplex est secundum Philosophum, 	Qdnale autem d ͬ est secundum phm̃ per essentiam 	49
53|54	per essentiam, et per participationem. |Intellectus autem est rationalis per essentiam. 	et per participationem intellectos autem est rationalis per essentiam. 	50
55	Appetitus vero per participationem. 	Aipetitus uero per participationem. 	51
56	Nam appetitus licet 	nam appetitus licet 	52
57	non sit ipse intellectus, 	non sic ipse intellens. 	53
58	vel ipsa ratio essentialiter, 	uel ipsa ratio essenaturaliter. 	54
59	dicitur tamen participare rationem, 	dicitur tum participare ronne 	55
60	quia est aptus natus rationi obedire. 	quia est aptus natͦꝰ obedire rationi. 	56
61|62	Potentiae autem naturales, et sensus, |nec sunt rationales per essentiam, 	potentiae autem naturales et susnͤ ster ratio ᷝ ͤ ᷤ per essentiam. 	57
63|64	quia non sunt ipsa ratio: |nec ratione participant, 	quia non ipsaron sunt nec ronne participant 	58
65|66	quia per se, |et secundum quod huiusmodi non obediunt rationi. 	quia per se et ẜq huius non obediunt rom. gͣ in sensibus et in potenciis mͣibus 	59
67	Igitur in sensibus, 		
68	et in potentiis naturalibus 		
69	(ut supra dicebatur) 	ut supra dicebatur 	60
70|71	non habent esse virtutes, |sed solum esse habent in intellectu, et appetitu. 	non habet esse nertutes. sed solum esse habentin inap in intellectum et appetitu. 	61
72	In nobis autem duplex est appetitus, intellectiuus, et sensitiuus. 	Inob̾at d ͧ est appetitus in tllc̃iuus et ssitiuus. 	62
73|74	Nam sicut appetitus naturalis |sequitur formam naturaliter adeptam, 	nam sicut appetitus sec formam naturałi adepartam. 	63
