0	Postquam auxiliante Deo compleuimus primam partem huius primi libri, 	postqͣ auxiliante deo compleuimus |primam partem huius primi libri 	0|1
1	in quo agitur de regimine sui, 	in quo agitur de regimine sui ostendentes 	2
2	ostendentes in quo Reges et Principes 	in quo reges et principes 	3
3	suam felicitatem debeant ponere, 	suam felicitate ponere debeant. 	4
4	quia non decet eos suum finem ponere in diuitiis, 	quia non decet eos suum finem ponere ui diuiciis 	5
5|6	nec in ciuili potentia, |nec in aliquibus talibus, 	nec in ciuili potencia nec m aliquibus 	6
7	sed omnibus his 	talibus set omnibus hiis 	7
8	(ut supra plenius probabatur) debent uti tanquam organis ad felicitatem. 	ut supra plenuus probabatur debent uti tanquam organis ad felicitatem. 	8
9	Suam autem felicitatem ponere debent in actu prudentiae, 	suam aͥ felicitatem ponere debent 	9
10	prout talis actus est imperatus a charitate: 	in actu primadencie prout talis actus est inperatus a caritate. 	10
11	nam tunc Reges habent felicitatem suo statui debitam, 	Nam tunc reges habent felicitatem suo statui debitam 	11
12|13	et condignam, |quando instigante Dei dilectione 	et condignam quando instigante dei dilectione 	12
14|15	secundum prudentiam regitiuam, |gentem sibi commissam 	secundum pͥdenciam regnatiuam gentem sibi commissam 	13
16|17	secundum legem, |et rationem sancte, 	secundum legem et rationi sc̃em 	14
18	et iuste regant. 	et iuste regunt. 	15
19	Principaliter ergo Regum felicitas ponenda est in ipso Deo, 	principaliter ergo regum feliᵗᵃˢ ponenda est |in ipso deo 	16|17
20	et ex cognitione et dilectione eius studium suum, 	et ex coergone |et delctione eius suum studium 	18|19
21	et vitam suam ad hoc ordinare debet, 	et suam uitam |ad hoc ordinare debent 	20|21
22	ut cognoscentes, 		
23|24	et diligentes Deum, |tanquam veri ministri eius 	ut cognoscentes dm̃i tanquam ueri ministri eius 	22
25	secundum ordinem rationis dirigant Populum sibi commissum. 	secundum ordinem rationis dirigant populum sibi commissum. 	23
26	His ergo itaque peractis, 	Hiis ergo ita peractis 	24
27	et ostenso in quo Reges ponere debeant suum finem secundum ordinem superius praetaxatum, 	et ostenso in quo reges ponere debeant suum finem 	25
28|29	restat ostendere quibus virtutibus Reges pollere debeant. |Virtutes autem quaedam sunt quidam ornatus, 	secundum ordinone superius pͥtaxatum restat ostendere quibus uirtutibus reges pollere debeant uirtutes autem sunt quida ornatus 	26
30|31	et quaedam perfectiones animae. |Oportet ergo prius ostendere, 	et quedam perfectiones anime. oportet ergo priusostendere 	27
32	quot sunt potentiae animae, 	quot sunt potentiae anime 	28
33	et in quibus potentiis habent esse virtutes. Consequenter autem manifestabitur, 	et in quibus potencins habent esse uirtutes. conunr cum manifestabitur 	29
34|35	quomodo virtutes sunt distinguendae. Postea vero ostendemus, |quot sunt numero huiusmodi virtutes, 	quomodo uirtutes sunt distinguende. Postea uero ostendemus quot sunt numero huius uirtutes 	30
36	et quae illarum sunt principales, 	et que illarum sunt principales 	31
37	et secundariae. 	et que scd̃arie. 	32
38	Deinde autem declarabitur singulariter, 	Deinde autem declarabitur singulariter 	33
39	quae sit unaquaeque illarum virtutum, 	que sit una quem illarum uirtutum 	34
40	et quomodo decet Reges, 	et quomodo decet reges 	35
41	et Principes tales virtutes habere. Potentiae autem animae sic distingui possunt, 	et principes tales uirtutes habere. Potencie autem anime sic distingui po᷒suntque 	36
42	quia potentiae animae quaedam sunt naturales, 	quia quedam sunt naturales 	37
43|44	quaedam cognitiuae sensitiuae, |quaedam appetitiuae, 	quedam cognitiue sensitiue quedam appetᵗⁱie 	38
45	et quaedam intellectiuae. Naturales potentiae sunt illae, in quibus communicamus cum vegetabilibus, et plantis, 	et quedam intellec̃iue. |naturales potencie sunt ille in quibuscommunicamus 	39|40
		cum uegetabilibus 	41
		et plantis 	42
