0	Postquam auxiliante Deo compleuimus primam partem huius primi libri, 	Capłm. primum quomodo diuiduntur anime. |et inquibus potenciis habent 	0|1
1	in quo agitur de regimine sui, 	esse uirtutes Ostquam auxiliante. |deo conpleuimus prim̃a partem huius pͥ mi libri in quo agitur de regimine sui ostendentes inquo reges 	2|3
2	ostendentes in quo Reges et Principes 	et principes 	4
3	suam felicitatem debeant ponere, 	suam felicitatem ponere debeant 	5
4	quia non decet eos suum finem ponere in diuitiis, 	quia non decet eos suum finem ponere in diuiciis 	6
5	nec in ciuili potentia, 	nec in ciuili potencia 	7
6	nec in aliquibus talibus, 	nec in aliquibus talibus 	8
7	sed omnibus his 	sed in omnibus hiis 	9
8	(ut supra plenius probabatur) debent uti tanquam organis ad felicitatem. 	ut supra plenius probabatur debent |uti tanquam organis 	10|11
9	Suam autem felicitatem ponere debent in actu prudentiae, 	ad felicitatem suam autem felicitatem ponere debent in actu prudencie 	12
10	prout talis actus est imperatus a charitate: 	prout talis actus est inperatus a caritate. 	13
11	nam tunc Reges habent felicitatem suo statui debitam, 	Nam tunc reges habent felicitature suo statu debitam 	14
12	et condignam, 		
13|14	quando instigante Dei dilectione |secundum prudentiam regitiuam, 	et condignam quando instigante dei delicatione secundum prudenciam regnatiuam gentem sibi commissam 	15
15	gentem sibi commissam 		
16	secundum legem, 	secundum legem 	16
17	et rationem sancte, 	et rationem sancte 	17
18|19	et iuste regant. |Principaliter ergo Regum felicitas ponenda est in ipso Deo, 	et iuste regunt principaliter igitur regum felicitas ponenda est in ipso deo 	18
20	et ex cognitione et dilectione eius studium suum, 	et ut cognitione |et dilectione eius suum studium 	19|20
21	et vitam suam ad hoc ordinare debet, 	et suam uitam |ad hoc ordinare debeant 	21|22
22	ut cognoscentes, 	et cognoscentes 	23
23|24	et diligentes Deum, |tanquam veri ministri eius 	et diligentes deum tanquam ueri ministri eius 	24
25	secundum ordinem rationis dirigant Populum sibi commissum. 	secundum ordinem rationis dirigant populum sibi commissum. 	25
26	His ergo itaque peractis, 	Hiis igitur ita peractis 	26
27	et ostenso in quo Reges ponere debeant suum finem secundum ordinem superius praetaxatum, 	et ostenso in quo reges debeant |ponere suum finem 	27|28
28	restat ostendere quibus virtutibus Reges pollere debeant. 	secundum ordinem superius praetexatum restat ostendere 	29
29	Virtutes autem quaedam sunt quidam ornatus, 	quibus uirtutibus reges pollere debeant uirtutes autem sunt quidam ornatus 	30
30	et quaedam perfectiones animae. 	et quedam perfectiones anime. 	31
31|32	Oportet ergo prius ostendere, |quot sunt potentiae animae, 	oportet igitur prius ostendere quiuot sunt potentie anime 	32
33	et in quibus potentiis habent esse virtutes. Consequenter autem manifestabitur, 	et in quibus potenciis habent |esse uirtutes consequenter autem manifestabitur 	33|34
34	quomodo virtutes sunt distinguendae. Postea vero ostendemus, 	quomodo uirtutes sunt disteingende postea uero ostendemus 	35
35	quot sunt numero huiusmodi virtutes, 	quot sunt numero huius uirtutes 	36
36	et quae illarum sunt principales, 	et que illarum sunt principales 	37
37	et secundariae. 	et que secundarie. 	38
38	Deinde autem declarabitur singulariter, 	deinde autem declarabitur singulariter que sit 	39
39	quae sit unaquaeque illarum virtutum, 	una quem illarum uirtutum 	40
40	et quomodo decet Reges, 	et quomodo decet reges 	41
41	et Principes tales virtutes habere. Potentiae autem animae sic distingui possunt, 	et principes tales uirtutes habere. potencie autem cliue sic distingui possunt. 	42
42	quia potentiae animae quaedam sunt naturales, 	quia quedam sunt naturaleᷤᷤ 	43
43	quaedam cognitiuae sensitiuae, 	quedam cognitiue sensitiue 	44
44	quaedam appetitiuae, 	quedam appetitiue 	45
45	et quaedam intellectiuae. Naturales potentiae sunt illae, in quibus communicamus cum vegetabilibus, et plantis, 	et quedam intellectiue nales potencie sunt ille |et in quibus communicamus 	46|47
		cum uegetabilibus 	48
46	ut potentia nutritiua, augmentatiua, generatiua, 	et plantis |ut potentia nutritiua augmentatiua generatiua 	49|50
47	et talia quae etiam ipsis arboribus competunt. Potentiae vero cognitiuae sensitiuae, sunt visus, 	et talia que ⁊̃ ipsis ardoribus conpetunt. 	51
48|49	gustus, auditus, et talia, |in quibus communicamus cum brutis. Appetitiuae vero distinguuntur: 	potentie uero cognitiue sensitiue sunt uisus gustus tactus et talia in quibus commuicamus cunbrutis appetitiue uero distinguntur. 	52
50|51	nam quidam appetitus est in homine, |in quo non communicat cum brutis, ut est appetitus sequens intellectum: 	Nam quidam appetitus est in homine inquo non communicat cum brutis. 	53
52	quidam vero in quo communicat cum eis, 	ut appetitus sequens intellectum quidam uero inquo communicat cum eis 	54
53	ut appetitus sequens sensum. 	ut appetitus sequens sensum. 	55
54|55	Appetitus autem sequens sensum potest nominari sensualitas: |sequens intellectum nominatur voluntas: 	appetitus autem sequens sensum potest nominari senfualitas sequens intellectum nominent uoluntas 	56
56	secundum quem modum loquendi bruta habent sensualitatem, 	secundum |quem sensum modum loquendi bruta habent sensualitatem 	57|58
57	et appetitum sensitiuum, 	et appetitum sensitiuum 	59
58|59	sed non habent voluntatem, |et intellectum. Virtutes ergo, 	sed non habent uoluntatem . i. appetitum intellectiuum. 	60
		uirtutes ergo 	61
60|61	de quibus loqui intendimus, |quae sunt quidam habitus laudabiles, 	de quibus loqui intendimus que sunt quidam habitus laudabiles uelerunt 	62
