		CAP. 1. Quomodo diuiduntur potentiæ animæ, 	0
		et in quibus potentiis habent esse virtutes. 	1
0	Postquam auxiliante Deo compleuimus primam partem huius primi libri, 	Ostquam auxiliante Deo conpleuimus primam partem huius primi libri, 	2
1	in quo agitur de regimine sui, 	in quo agitur 	3
2|3	ostendentes in quo Reges et Principes |suam felicitatem debeant ponere, 	de regimine sui. Ostendentes in quo reges et principes suam felicitatem debeant ponere, 	4
4	quia non decet eos suum finem ponere in diuitiis, 	quia non decet eos suum finem ponere in diuitijs, 	5
5	nec in ciuili potentia, 	nec in ciuili potentia, 	6
6	nec in aliquibus talibus, 	nec in aliquibus talibus, 	7
7	sed omnibus his 	sed omnibus his (vt supra plenius probabatar ) 	8
8	(ut supra plenius probabatur) debent uti tanquam organis ad felicitatem. 	debent vti tanquam organis ad felicitatem. 	9
9	Suam autem felicitatem ponere debent in actu prudentiae, 	Suam autem felicitatem ponere debent in actu prudentiæ, 	10
10	prout talis actus est imperatus a charitate: 	prout talis actus est imperatus à 	11
11	nam tunc Reges habent felicitatem suo statui debitam, 	charitate:nam tuncreges habent felicitatem suo fatui debitam 	12
12	et condignam, 	et condignan, 	13
13	quando instigante Dei dilectione 	quando instigante dei dilectione 	14
14	secundum prudentiam regitiuam, 	secundum prudentiam regitiuam, 	15
15	gentem sibi commissam 	gentem sibi commissam 	16
16|17	secundum legem, |et rationem sancte, 	secundum legem et rattionem sancte 	17
18	et iuste regant. 	et iustè regant. 	18
19	Principaliter ergo Regum felicitas ponenda est in ipso Deo, 	Principaliter ergo regum felicitas ponenda est in ipso deo, 	19
20	et ex cognitione et dilectione eius studium suum, 	et ex cognitione et dilectione eius studium suum 	20
21	et vitam suam ad hoc ordinare debet, 	et vitam suam ad hoc ordinare debet, 	21
22	ut cognoscentes, 	vt cognoscentes 	22
23	et diligentes Deum, 	et diligentes deum, 	23
24|25	tanquam veri ministri eius |secundum ordinem rationis dirigant Populum sibi commissum. 	tanquam veri minstri eius secundum ordinem rationis dirigant populum sibi commissum. 	24
26	His ergo itaque peractis, 	His ergo ita peractis, 	25
27	et ostenso in quo Reges ponere debeant suum finem secundum ordinem superius praetaxatum, 	et ostenso in quo reges ponere debeant suum finem |secundum ordinem superius prætaxatum, 	26|27
28	restat ostendere quibus virtutibus Reges pollere debeant. 	restat ostendere quibus virtutibus reges pollere debeant. 	28
29	Virtutes autem quaedam sunt quidam ornatus, 	Virtutes autem quædam sunt quidam ornatus, 	29
30|31	et quaedam perfectiones animae. |Oportet ergo prius ostendere, 	et quædam perfectiones animæ. Oportet ergo prius ostendere, 	30
32	quot sunt potentiae animae, 	quot sunt potentiæ animæ, 	31
33	et in quibus potentiis habent esse virtutes. Consequenter autem manifestabitur, 	et in quibus potentijs habent esse virtutes. |Consequenter autem manifestabitur, 	32|33
34	quomodo virtutes sunt distinguendae. Postea vero ostendemus, 	quomodo virtutes sunt diftinguendæ. Postea vero ostendemus, 	34
35	quot sunt numero huiusmodi virtutes, 	quot sunt numero huiusmodi virtutes, 	35
36	et quae illarum sunt principales, 	et quæ illarum sunt principales, 	36
37|38	et secundariae. |Deinde autem declarabitur singulariter, 	et secundariæ. Deinde autem declarabitur singulariter, 	37
39	quae sit unaquaeque illarum virtutum, 	quæ |sit vnaquæ illarum virtutum, 	38|39
40|41	et quomodo decet Reges, |et Principes tales virtutes habere. Potentiae autem animae sic distingui possunt, 	et quomodo decet reges et principes tales virtutes habere. Potentiæ autem animæ 	40
		sic distingui possunt, 	41
