0	Postquam auxiliante Deo compleuimus primam partem huius primi libri, 	ues que ya con el ayuda dedios acabamos la ṕm̾a parte deste libro ṕmero 	0
1	in quo agitur de regimine sui, 	en que seẗcta dlem gou̾namiento dlem om̃e enssi/. 	1
2|3	ostendentes in quo Reges et Principes |suam felicitatem debeant ponere, 	Etmostmos en que deuem poner los Reyes et losṕnçipes la su feliçidat et la su biem andança/. 	2
4	quia non decet eos suum finem ponere in diuitiis, 	Et que non les conuiene poner la su finen riquezas 	3
5	nec in ciuili potentia, 	nin en poderio ciuil 	4
6	nec in aliquibus talibus, 	nin en miugunas oẗs cosas corporales nin tenporalsupraMas |assi conmo prouamos conplida mentedesuso 	5|6
7	sed omnibus his 	deuem husar de todas estas 	7
8	(ut supra plenius probabatur) debent uti tanquam organis ad felicitatem. 	cosasassi conmo de instrumentos |pera ganar lafeliçidat 	8|9
9	Suam autem felicitatem ponere debent in actu prudentiae, 	et la biem andança. |Mas la su bienandança deuem poner en obras de p̈dençiaet de sabiduria 	10|11
10	prout talis actus est imperatus a charitate: 	segund que tales ob̈s son regladas |por caridat et por el amor de diosCa estonçe 	12|13
11	nam tunc Reges habent felicitatem suo statui debitam, 	ham los Reyes et los ṕncipesla su feliçidit et la su felicidat biem andança 	14
12	et condignam, 	q̈l deuem auer et q̈l partenesce asuestado |q̈ndo 	15|16
13	quando instigante Dei dilectione 	ellos con el ayuda de dios etcon el amor de dios 	17
14|15	secundum prudentiam regitiuam, |gentem sibi commissam 	segund la sabiduria dlem gou̾namiento gouernam las susupragentes et los sus pueblos 	18
16|17	secundum legem, |et rationem sancte, 	que les son acomendados scam mente et derechurera mentesegunt ley 	19
18	et iuste regant. 	et segunt razon /. 	20
19|20	Principaliter ergo Regum felicitas ponenda est in ipso Deo, |et ex cognitione et dilectione eius studium suum, 	Et pues queassi es ṕnçipal mente la feliçidat et labiem andança dłos Reyes et dłos ṕnçipeses de poner en solo dios /. 	21
21	et vitam suam ad hoc ordinare debet, 	Ca deuem ellos ordenar la su uida |et el su estadaa 	22|23
22|23	ut cognoscentes, |et diligentes Deum, 	esto que por conosçimiento et por amorde dios conosçiendol 	24
24	tanquam veri ministri eius 	et amandol assi conmo oficiales u̾daderos suyos enderescem et guyem el pueblo 	25
25	secundum ordinem rationis dirigant Populum sibi commissum. 	que les es acomendado segund orden de razon et de entendimiento/ 	26
26	His ergo itaque peractis, 	Et pues que assi es estas cosas todas assi acabadas 	27
27	et ostenso in quo Reges ponere debeant suum finem secundum ordinem superius praetaxatum, 	et demosẗdo en q̈l cosa han los Reyes |et los ṕnçipes de poner su fin 	28|29
28	restat ostendere quibus virtutibus Reges pollere debeant. 	segund la orden ya dichaet assignada finca nos de demostrar enq̈les útudes deuem resplandesçer losReyes et los ṕnçipes/. 	30
29|30	Virtutes autem quaedam sunt quidam ornatus, |et quaedam perfectiones animae. 	Ca las útudesson unos hornamentos et conponimientoset hunas perfectiones 	31
31	Oportet ergo prius ostendere, 	que fazem acabada elalma/. 	32
32|33	quot sunt potentiae animae, |et in quibus potentiis habent esse virtutes. Consequenter autem manifestabitur, 	Pues que assi es conuiene mosẗrṕmero q̈ntos son los poderios dlem almaEt en q̈les poderios han de seer las útudes/. 	33
34	quomodo virtutes sunt distinguendae. Postea vero ostendemus, 	Et despues desto mosẗremos en q̈lmanera se departem las útudes/. 	34
35	quot sunt numero huiusmodi virtutes, 	Et delpues desto mosẗremos q̈ntas son porcuento çierto estas útudes/. 	35
36	et quae illarum sunt principales, 	Et q̈les dellas son ṕnçipeles/. 	36
37	et secundariae. 	Et q̈les segundarias/. 	37
38	Deinde autem declarabitur singulariter, 	Et ala postremeria declararemos espeçial mente q̈l es cada una deestas utudes/. 	38
39|40	quae sit unaquaeque illarum virtutum, |et quomodo decet Reges, 	Et en q̈l manera conuiene alos Reyes et alos ṕnçipes de auerestas útudes 	39
41	et Principes tales virtutes habere. Potentiae autem animae sic distingui possunt, 	pues que assi es lospoderios dlem alma se puedem 	40
42|43	quia potentiae animae quaedam sunt naturales, |quaedam cognitiuae sensitiuae, 	assi departirca alguons destos poderios dlem alma sonnaturales et alguos son poderios senssitiuos conosçedores/. 	41
44|45	quaedam appetitiuae, |et quaedam intellectiuae. Naturales potentiae sunt illae, in quibus communicamus cum vegetabilibus, et plantis, 	Et algunos desseadores et algunons intellectiuos et entendedores Naturales poderios son aquellos enlos q̈les partiçipamos con los arboles etcon las plantas et con todas las cosas quecresçem en la trm. 	42
