0	Postquam auxiliante Deo compleuimus primam partem huius primi libri, 	ncipit secunda pars primi libri eiusdem. 	0
1	in quo agitur de regimine sui, 	Capitulum primum quomodo potentie anime diuiduntur inquibus potentiis hab&̃ esse uirtutes. |oS TqueAUXILIANTE DEO CÕ pleuimus primam partem huiusmodi primi libri in quo agitur 	1|2
2	ostendentes in quo Reges et Principes 	de regimine sui ostendentes |in quo reges 	3|4
3	suam felicitatem debeant ponere, 	et principes suam felicitatem debeant ponere 	5
4	quia non decet eos suum finem ponere in diuitiis, 	quia non decet eos suos finem ponere in diuitis 	6
5|6	nec in ciuili potentia, |nec in aliquibus talibus, 	nec in ciuili potentia nec in aliquibus talibus. 	7
7	sed omnibus his 	sed omnibus hiis ut supra. 	8
8|9	(ut supra plenius probabatur) debent uti tanquam organis ad felicitatem. |Suam autem felicitatem ponere debent in actu prudentiae, 	plenius probantur debent uti tanquam organis ad felicitatem. suam. autem felicitatem ponere debeant in actu prudentie. 	9
10	prout talis actus est imperatus a charitate: 	prout talis actus est inperatus a caritate. 	10
11	nam tunc Reges habent felicitatem suo statui debitam, 	Nam tunc reges felicitatem hab&̃ suo statui debitam 	11
12|13	et condignam, |quando instigante Dei dilectione 	et condignam quando instigante dei dilectione 	12
14|15	secundum prudentiam regitiuam, |gentem sibi commissam 	secundum prudentiam regnatiuam sibi conmissam 	13
16|17	secundum legem, |et rationem sancte, 	secundum legem et rationem regunt 	14
18	et iuste regant. 		
19|20	Principaliter ergo Regum felicitas ponenda est in ipso Deo, |et ex cognitione et dilectione eius studium suum, 	principaliter igitur regum felicitas ponenda est in ipso do ex cogitatione et desectione eius suum studium 	15
21	et vitam suam ad hoc ordinare debet, 	et suam uitam ad hordinare studeant 	16
22	ut cognoscentes, 	et cognosecentes 	17
23|24	et diligentes Deum, |tanquam veri ministri eius 	et diligentes deum tanque ueri ministri 	18
25	secundum ordinem rationis dirigant Populum sibi commissum. 	eius |secundum ordinem rationis dirigant populum 	19|20
26	His ergo itaque peractis, 	sibi commissum hiis ergo ita peractis 	21
27	et ostenso in quo Reges ponere debeant suum finem secundum ordinem superius praetaxatum, 	et onnso in quo reges ponere debeant suum finem |secundum ordinem superius pretaxatum restat ostendere 	22|23
28|29	restat ostendere quibus virtutibus Reges pollere debeant. |Virtutes autem quaedam sunt quidam ornatus, 	quibus uirtutibus reges pollere debeant. Virtutes autem sunt quidam ornatus 	24
30	et quaedam perfectiones animae. 	et quedam perfectiones anime oportet igintur 	25
31	Oportet ergo prius ostendere, 	prius ostendere 	26
32	quot sunt potentiae animae, 	quot sunt potentie anime in quibus potentiis habent 	27
33	et in quibus potentiis habent esse virtutes. Consequenter autem manifestabitur, 	esse uirtutes consequenter autem manifestabitur 	28
34	quomodo virtutes sunt distinguendae. Postea vero ostendemus, 	quomodo uirtutes sunt distinguende postea uero ostendmus 	29
35	quot sunt numero huiusmodi virtutes, 	quot sunt nune huius medi uirtutes 	30
36	et quae illarum sunt principales, 	et que illarum sunt principales 	31
37	et secundariae. 	et que secundarie. 	32
38	Deinde autem declarabitur singulariter, 	Deinde autem declarabitur singulariter que sit 	33
39	quae sit unaquaeque illarum virtutum, 	una queque illarum uirtutum 	34
40	et quomodo decet Reges, 	et quomodo decet reges 	35
41	et Principes tales virtutes habere. Potentiae autem animae sic distingui possunt, 	et principes tales uirtutes habere. |Potentie autem anime sic distingui possunt 	36|37
42|43	quia potentiae animae quaedam sunt naturales, |quaedam cognitiuae sensitiuae, 	quia quedam cognitiue sensitiue. 	38
44	quaedam appetitiuae, 	quedam appetitiue. 	39
45	et quaedam intellectiuae. Naturales potentiae sunt illae, in quibus communicamus cum vegetabilibus, et plantis, 	sunt ille in quibus comunicamus cum uegetabilibus |et plantis 	40|41
46	ut potentia nutritiua, augmentatiua, generatiua, 	ut potentia nutritiua augumentatiua |et generatiua 	42|43
47	et talia quae etiam ipsis arboribus competunt. Potentiae vero cognitiuae sensitiuae, sunt visus, 	et talia que etiam ipsis arboribus competunt. |Potentiue uero cognitiue sensitiem sunt uisus gustus 	44|45
48	gustus, auditus, et talia, 	et tactus 	46
49	in quibus communicamus cum brutis. Appetitiuae vero distinguuntur: 	et talia cum quibus comunicamus cum brutis. Appetitiue uero distinguntur. 	47
50	nam quidam appetitus est in homine, 	Nam quidem appetitus est in homine inquo non comunicat 	48
51	in quo non communicat cum brutis, ut est appetitus sequens intellectum: 	cum brutis |ut appetitus sequens intellectum. 	49|50
52	quidam vero in quo communicat cum eis, 	Quedam uero in quo comunicat |cum eis 	51|52
53	ut appetitus sequens sensum. 	ut appetitus sequens sensum. 	53
