A	B
0|1	0
2	1
3|4	2
5	3
6	4
7|8	5
9	6|7
	8
10	9
11|12	10
13	
14|15	11
16|17	12
18|19	13
	14
20	15
21|22	16
23	17
24	18
25	19
26	20
27	21
28	22
29	23
30|31	24
32|33	25
34	26
35	27
36	28
37|38	29
39|40	30
41	31
42	32
43|44	33
45	34
46	35
47	36|37
48	38
49	39
50	40|41
51	42|43
52|53	44
54	45
55	46
56|57	47
58	48
59	49
60	50
61	51
62	52
63|64	53
65	54
66	55
67|68	56
69|70	57
71	58
72|73	59
74	60
75|76	61
77	62
78	63
79	64
80|81	65
82	66|67
83	68
84|85	69
86	70
87	71|72
88|89	73
90|91	74
92|93	75
94	76
95	77
96|97	78
98	79
99	80
100	81|82
101	83
102	84|85
103	86
104|105	87
106	88
107	89
108	90|91
109	92
110|111	93
112|113	94
114	
115|116	95
117|118	96
119|120	97
121	98
122|123	99
124	100
125	101
126|127	102
128	103
129	104|105
130	106|107
131	108
132|133	109
134	110|111
135	112
136	113
137|138	114
139	115
140	116
141|142	117
143	118
144	119
145|146	120
147	121
148|149	122
150	123|124
151	
152|153	125
154|155	126
156	
157	
158|159	127
160	128
161	129
162	130
163	131
164	132
165	133
166|167	134
168|169	135
170	136
171|172	137
173|174	138
175|176	139
177	140
178	
179	
180	141
181|182	142
183|184	143
185|186	144
187|188	145
189|190	146
191	147
192	148
193	149
194|195	150
196	151
197|198	152
199	153
200|201	154
202	
203|204	155
205|206	156
207	157|158
208	159
209|210	160
211	161
212	162
213	163|164
214|215	165
216|217	166
218	167|168
219	169
