A	B
0|1	0
2	1
3|4	2
5|6	3
7	4
8	
9	5|6
10	7
11|12	8
13	
14|15	9
16	
17|18	10
19|20	11
21|22	12
23	13
24	14
25	15
26|27	16
28	17
29	18
30	19
31|32	20
33	21
34	22
35	23
36|37	24
38	
39|40	25
41|42	26
43	27
44	28
45	29
46	30
47	31|32
48|49	33
50	34|35
51	36|37
52|53	38
54	39
55	40
56|57	41
58	42
59|60	43
61|62	44
63	45
64	46
65|66	47
67|68	48
69|70	49
71	50
72	51
73	52
74	53
75|76	54
77	55
78|79	56
80	
81|82	57
83|84	58
85|86	59
87|88	60
89	61
90|91	62
92|93	63
94	64
95	65
96	66
97|98	67
99	68
100	69|70
101	71
102	72
103	73
104|105	74
106	75
107	76
108	77
109|110	78
111	79
112	
113|114	80
115|116	81
117	
118|119	82
120|121	83
122|123	84
124|125	85
126	86
127	87
128	88
129	89
130	90
131|132	91
133	92
134	93|94
135	95
136	96
137|138	97
139	98
140	99
141|142	100
143|144	101
145|146	102
147	103
148|149	104
150|151	105
152	
153|154	106
155|156	107
157|158	108
159	109
160	110
161|162	111
163	112
164	113
165	114
166|167	115
168|169	116
170|171	117
172|173	118
174	
175|176	119
177	120
178|179	121
180	
181|182	122
183	
184	
185|186	123
187|188	124
189|190	125
191	126
192	127
193	128
194	129
195	130
196	131
197|198	132
199|200	133
201|202	134
203|204	135
205	
206|207	136
208|209	137
210|211	138
212	139
213	140|141
214|215	142
216	143|144
217	145
218|219	146
