A	B
0|1	0
2	1
3	2
4	3
5	4
6	5
7	6
8	7
9	8|9
10	10
11|12	11
13	12
14	13
15|16	14
17|18	15
19	16
20	17
21	18
22	19
23	20|21
24|25	22
26	23
27	24
28	25|26
29	27
30	28
31	29
32	30|31
33	32
34	33|34
35	35
36|37	36
38|39	37
40	38|39
41	
42	40
43	41
44|45	42
46	43
47|48	44
49|50	45
51|52	46
53	
54	
55|56	47
57|58	48
59|60	49
61	50
62	51
63	52
64	53|54
65	55
66|67	56
68	57|58
69	
70	59
71	60
72	61
73	62
74|75	63
76	64
77|78	65
79|80	66
81|82	67
83|84	68
85	69
86	70
87	71
88|89	72
90	
91	73
92	74
93	75
94	76
95	77
96	78|79
97|98	80
99|100	81
101|102	82
103	83|84
104	85
105|106	86
107	87|88
108	89
109	90
110	91
111|112	92
113	93
114	94
115	95
116|117	96
118|119	97
120|121	98
122	99|100
123|124	101
125	102
126	103
127|128	104
129|130	105
131	106|107
132	108|109
133	110
134|135	111
136|137	112
138|139	113
140	114
141	115
142	116
143	117|118
144|145	119
146	120
147|148	121
149|150	122
151	123|124
152	125
153|154	126
155	127
156|157	128
158|159	129
160	130
161	131
162|163	132
164	
165|166	133
167	134
168|169	135
	136
170	137
171	138
172|173	139
174	140
175	141
176|177	142
178	
179|180	143
181	144
182	145
183|184	146
185	147
186	148
187	149
188	150
189	151|152
190	153
191	154
192	155|156
193	157
194	158
195	159
196	160
197	161|162
198|199	163
200|201	164
202	
203|204	165
205|206	166
207	167
208|209	168
210|211	169
212|213	170
214|215	171
216|217	172
218|219	173
