A	B
0	0
1|2	1
3|4	2
5	3|4
	5
6	6
7	7
8	8
9	9
10	10
11|12	11
13|14	12
15	
16	
17	13
18|19	14
20|21	15
22	16|17
23	18
24	19
25	20|21
26	22
27	23|24
28	25|26
29	27|28
30	29
31	30
32|33	31
34	32
35	33
36|37	34
38	35
39|40	36
41|42	37
43	38
44	39
45|46	40
47	41
48|49	42
50	43
51	44
52	45
53|54	46
55	47|48
56|57	49
58	50
59	51
60	52
61|62	53
63	54
64|65	55
66|67	56
68	57|58
69	
70	59
71	60
72|73	61
74|75	62
76|77	63
78|79	64
80	65
81	66
82	67|68
83|84	69
85|86	70
87|88	71
89|90	72
91|92	73
93	74
94	75
95	76
96	77
97	78
98	79
99	80
100|101	81
102	
103	82
104|105	83
106	84
107	85|86
108	87
109	88
110	89
111	90
112|113	91
114	92
115|116	93
117|118	94
119|120	95
121	96|97
122	98|99
123	100
124	101
125	102
126	103
127	104
128	105
129	106
130|131	107
132	108
133|134	109
135	
136	110
137	111
138|139	112
140	113
141	114|115
142	116
143	117
144	118
145|146	119
147|148	120
149	121
150	122
151	123|124
152	125
153	126
154	127
155	128
156	129
157	130
158|159	131
160	132
161|162	133
163|164	134
165|166	135
167|168	136
169	137
170|171	138
172	139|140
173	
174	141|142
175|176	143
177	144
178	145
179|180	146
181	
182	147
183|184	148
185	149
186	150
187	151
188	152
189	153
190	154
191	155
192	156
193	157
194	158
195	159
196	160
197	161
198|199	162
200	
201|202	163
203	164
204|205	165
206	166
207|208	167
209|210	168
211	169
212	170
213	171|172
214	173
215	174|175
216	176
217|218	177
219	178
